"﻿变量名",type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,jumpTo,languages
默认值,0,1,1,,,,0,{},TRUE,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr>
ID,成就分类 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,任务目标类型,任务分类（客户端用）,任务目标参数(数量）,任务目标参数2（对应参数ID）,若是运营活动成就填yyID,获得成就点,任务奖励,是否显示（1显示 FALSE不显示）,任务顺序,标题,标题,标题,标题,标题_韩,描述,描述,描述,描述,描述_韩,跳转,语言区域
1001,1,1,1,40,,,20,{rmb=20;14=5},,1,Rookie trainer,初級訓練家,Rookie trainer,HLV Sơ Cấp,초급 트레이너,Attain Trainer level 40,人物等級達到40,Attain Trainer level 40,Đạt cấp độ nhân vật 40,캐릭터 40레벨 달성,10000,
1002,1,1,1,60,,,20,{rmb=30;14=5},,2,Intermediate Trainer,中級訓練家,Intermediate Trainer,HLV Trung Cấp,중급 트레이너,Attain Trainer level 60,人物等級達到60,Attain Trainer level 60,Cấp độ nhân vật đạt 60,캐릭터 60레벨 달성,10000,
1003,1,1,1,80,,,30,{rmb=30;14=10},,3,Advanced Trainer,高級訓練家,Advanced Trainer,HLV Cao Cấp,고급 트레이너,Attain Trainer level 80,人物等級達到80,Attain Trainer level 80,Cấp độ nhân vật đạt 80,캐릭터 80레벨 달성,10000,
1004,1,1,1,99,,,30,{rmb=30;14=10;2000=1},,4,Golden Trainer,黃金訓練家,Golden Trainer,HLV Hoàng Kim,골드 트레이너,Attain Trainer level 99,人物等級達到99,Attain Trainer level 99,Cấp độ nhân vật đạt 99,캐릭터 99레벨 달성,10000,
1005,1,1,1,104,,,30,{rmb=100;14=20},,5,New Start,新的起點,New Start,404,404,Attain Trainer level 104,人物等級達到104,Attain Trainer level 104,Cấp độ nhân vật đạt 104,캐릭터 104레벨 달성,10000,
1006,1,1,1,109,,,30,{rmb=100;14=30},FALSE,6," Adamant Trainer",不屈的訓練家," Adamant Trainer",404,404,Attain Trainer level 109,人物等級達到109,Attain Trainer level 109,Cấp độ nhân vật đạt 109,캐릭터 109레벨 달성,10000,
1007,1,1,1,114,,,30,{rmb=100;14=30},FALSE,7," Adamant Trainer",不屈的訓練家," Adamant Trainer",404,404,Attain Trainer level 114,人物等級達到114,Attain Trainer level 114,Cấp độ nhân vật đạt 114,캐릭터 114레벨 달성,10000,
1008,1,1,1,119,,,30,{rmb=100;14=30},FALSE,8," Adamant Trainer",不屈的訓練家," Adamant Trainer",404,404,Attain Trainer level 119,人物等級達到119,Attain Trainer level 119,Đạt cấp độ nhân vật là 119,캐릭터 119레벨 달성,10000,
1009,1,2,2,3,,,15,{rmb=30;453=5},,1,Qualified Adventurer,適格者冒險家,Qualified Adventurer,HLV Tiêu Chuẩn,공인 모험가,Adventure Pass reaches level 3,冒險執照等級達到3級,Adventure Pass reaches level 3,Đạt cấp độ 3 của giấy phép phiêu lưu,모험 허가증 3레벨 달성,trainer,
1010,1,2,2,6,,,20,{rmb=30;453=5},,2,Heroic Adventurer,勇者冒險家,Heroic Adventurer,Nhà Thám Hiểm Dũng Giả,용자 모험가,Adventure Pass reaches level 6,冒險執照等級達到6級,Adventure Pass reaches level 6,Cấp giấy phép phiêu lưu đạt cấp 6,모험 허가증 6레벨 달성,trainer,
1011,1,2,2,9,,,30,{rmb=30;453=5},,3,Gym Leader Adventurer,館長冒險家,Gym Leader Adventurer,Nhà Thám Hiểm Gym,관장 모험가,Adventure Pass reaches level 9,冒險執照等級達到9級,Adventure Pass reaches level 9,Đạt đến cấp 9 của giấy phép phiêu lưu,모험 허가증 9레벨 달성,trainer,
1012,1,2,2,12,,,30,{rmb=30;453=5},,4,Overlord Adventurer,霸主冒險家,Overlord Adventurer,Nhà Thám Hiểm Bá Chủ,패왕 모험가,Adventure Pass reaches level 12,冒險執照等級達到12級,Adventure Pass reaches level 12,Cấp giấy phép phiêu lưu lên đến cấp 12,모험 허가증 12레벨 달성,trainer,
1013,1,3,3,20,,,10,{rmb=30;453=10},,1,Intensive training,強化訓練,Intensive training,Huấn Luyện Cường Hoá,강화 훈련,Total privilege type point reaches level 20,特權屬性點累計等級達到20級,Total privilege type point reaches level 20,Mức tích lũy điểm thuộc tính đặc quyền đạt cấp 20,특권 속성 포인트 누적 20레벨 달성,trainer,
