变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,170,1000,0,0,0,0,89,89,27,27,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,228,1000,0,0,0,0,98,98,29,29,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,286,1000,0,0,0,0,106,106,32,32,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,344,1000,0,0,0,0,115,115,34,34,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,402,1000,0,0,0,0,123,123,37,37,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,460,1000,0,0,0,0,132,132,39,39,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,528,1000,0,0,0,0,141,141,42,42,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,596,1000,0,0,0,0,149,149,45,45,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,664,1000,0,0,0,0,158,158,47,47,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,732,1000,0,0,0,0,166,166,50,50,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,800,1000,0,0,0,0,175,175,53,53,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,879,1000,0,0,0,0,184,184,56,56,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,958,1000,0,0,0,0,193,193,58,58,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,1037,1000,0,0,0,0,203,203,61,61,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,1116,1000,0,0,0,0,212,212,63,63,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,1195,1000,0,0,0,0,221,221,66,66,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,1286,1000,0,0,0,0,230,230,69,69,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,1377,1000,0,0,0,0,239,239,72,72,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,1468,1000,0,0,0,0,249,249,74,74,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,1559,1000,0,0,0,0,258,258,77,77,0,0,31,,,,,,,,,,,,,,,,,,,,,,
21,1650,1000,0,0,0,0,267,267,80,80,0,0,32,,,,,,,,,,,,,,,,,,,,,,
