变量名,needLevel,needStar,needAdvance,cost,preDialog,afterDialog
默认值,0,0,0,{},,
卡牌ID,所需卡牌等级,所需星级,所需阶数,进化消耗材料序列,挑战前台词,挑战后台词
,,,,,,
2,2,,,{gold=2000},,
3,36,,6,{gold=6000},,
,,,,,,
12,2,,,{gold=2000},,
13,36,,6,{gold=6000},,
,,,,,,
22,2,,,{gold=2000},,
23,36,,6,{gold=6000},,
,,,,,,
,16,,3,{gold=3000},,
33,16,,3,{gold=3000},,
,,,,,,
,16,,3,{gold=3000},,
,36,,6,{gold=6000},,
,,,,,,
52,16,,3,{gold=3000},,
53,36,,6,{gold=6000},,
,,,,,,
62,36,,6,{gold=6000},,
72,36,,6,{gold=6000},,
82,36,,6,{gold=6000},,
92,16,,3,{gold=3000},,
93,36,,6,{gold=6000},,
102,36,,6,{gold=6000},,
112,16,,3,{gold=3000},,
113,36,,6,{gold=6000},,
122,16,,3,{gold=3000},,
123,36,,6,{gold=6000},,
132,16,,3,{gold=3000},,
133,36,,6,{gold=6000},,
152,16,,3,{gold=3000},,
153,36,,6,{gold=6000},,
162,16,,3,{gold=3000},,
163,36,,6,{gold=6000},,
172,16,,3,{gold=3000},,
173,36,,6,{gold=6000},,
192,36,,6,{gold=6000},,
222,36,,6,{gold=6000},,
232,36,,6,{gold=6000},,
242,36,,6,{gold=6000},,
262,16,,3,{gold=3000},,
263,36,,6,{gold=6000},,
,56,,9,{gold=9000},,
272,16,,3,{gold=3000},,
273,36,,6,{gold=6000},,
282,16,,3,{gold=3000},,
283,36,,6,{gold=6000},,
302,16,,3,{gold=3000},,
303,36,,6,{gold=6000},,
332,16,,3,{gold=3000},,
333,36,,6,{gold=6000},,
352,36,,6,{gold=6000},,
372,36,,6,{gold=6000},,
382,36,,6,{gold=6000},,
392,16,,3,{gold=3000},,
393,36,,6,{gold=6000},,
402,36,,6,{gold=6000},,
452,36,,6,{gold=6000},,
462,16,,3,{gold=3000},,
463,16,,3,{gold=3000},,
464,16,,3,{gold=3000},,
472,36,,6,{gold=6000},,
482,36,,6,{gold=6000},,
492,16,,3,{gold=3000},,
493,36,,6,{gold=6000},,
502,16,,3,{gold=3000},,
503,36,,6,{gold=6000},,
542,36,,6,{gold=6000},,
552,36,,6,{gold=6000},,
572,36,,6,{gold=6000},,
592,16,,3,{gold=3000},,
593,36,,6,{gold=6000},,
602,16,,3,{gold=3000},,
603,36,,6,{gold=6000},,
,36,,6,{gold=6000},,
692,36,,6,{gold=6000},,
712,36,,6,{gold=6000},,
752,16,,3,{gold=3000},,
753,36,,6,{gold=6000},,
782,16,,3,{gold=3000},,
783,36,,6,{gold=6000},,
792,16,,3,{gold=3000},,
793,36,,6,{gold=6000},,
802,16,,3,{gold=3000},,
803,36,,6,{gold=6000},,
882,16,,3,{gold=3000},,
883,36,,6,{gold=6000},,
,56,,9,{gold=9000},,
862,16,,3,{gold=3000},,
863,36,,6,{gold=6000},,
892,16,,3,{gold=3000},,
893,36,,6,{gold=6000},,
972,36,,6,{gold=6000},,
1032,36,,6,{gold=6000},,
1082,36,,6,{gold=6000},,
1172,36,,6,{gold=6000},,
1252,16,,3,{gold=3000},,
1253,36,,6,{gold=6000},,
1292,16,,3,{gold=3000},,
1293,36,,6,{gold=6000},,
1302,16,,3,{gold=3000},,
1303,36,,6,{gold=6000},,
1312,16,,3,{gold=3000},,
1313,36,,6,{gold=6000},,
,56,,9,{gold=9000},,
1352,16,,3,{gold=3000},,
1353,36,,6,{gold=6000},,
1392,16,,3,{gold=3000},,
1393,36,,6,{gold=6000},,
1394,36,,6,{gold=6000},,
1422,16,,3,{gold=3000},,
1423,36,,6,{gold=6000},,
1442,16,,3,{gold=3000},,
1443,36,,6,{gold=6000},,
1502,16,,3,{gold=3000},,
1503,36,,6,{gold=6000},,
1612,36,,6,{gold=6000},,
1772,36,,6,{gold=6000},,
1802,36,,6,{gold=6000},,
1812,16,,3,{gold=3000},,
1813,36,,6,{gold=6000},,
1852,36,,6,{gold=6000},,
1853,36,,6,{gold=6000},,
1862,16,,3,{gold=3000},,
1863,36,,6,{gold=6000},,
1892,16,,3,{gold=3000},,
1893,36,,6,{gold=6000},,
1902,16,,3,{gold=3000},,
1903,36,,6,{gold=6000},,
2012,16,,3,{gold=3000},,
2013,36,,6,{gold=6000},,
2022,16,,3,{gold=3000},,
2023,36,,6,{gold=6000},,
2032,16,,3,{gold=3000},,
2033,36,,6,{gold=6000},,
2072,16,,3,{gold=3000},,
2073,36,,6,{gold=6000},,
2232,16,,3,{gold=3000},,
2233,36,,6,{gold=6000},,
2242,36,,6,{gold=6000},,
2272,36,,6,{gold=6000},,
2302,16,,3,{gold=3000},,
2472,16,,3,{gold=3000},,
2473,36,,6,{gold=6000},,
2482,16,,3,{gold=3000},,
2483,36,,6,{gold=6000},,
2592,16,,3,{gold=3000},,
2593,36,,6,{gold=6000},,
2612,36,,6,{gold=6000},,
2632,16,,3,{gold=3000},,
2633,36,,6,{gold=6000},,
2682,16,,3,{gold=3000},,
2683,36,,6,{gold=6000},,
2722,16,,3,{gold=3000},,
2723,36,,6,{gold=6000},,
2822,36,,6,{gold=6000},,
2842,16,,3,{gold=3000},,
2843,36,,6,{gold=6000},,
2872,16,,3,{gold=3000},,
2873,36,,6,{gold=6000},,
2923,16,,3,{gold=3000},,
2924,16,,3,{gold=3000},,
2962,16,,3,{gold=3000},,
2963,36,,6,{gold=6000},,
2992,16,,3,{gold=3000},,
2993,36,,6,{gold=6000},,
3002,16,,3,{gold=3000},,
3003,36,,6,{gold=6000},,
3012,36,,6,{gold=6000},,
3142,16,,3,{gold=3000},,
3143,36,,6,{gold=6000},,
3152,36,,6,{gold=6000},,
3282,16,,3,{gold=3000},,
3283,36,,6,{gold=6000},,
3292,16,,3,{gold=3000},,
3293,36,,6,{gold=6000},,
3302,16,,3,{gold=3000},,
3303,36,,6,{gold=6000},,
3342,36,,6,{gold=6000},,
3352,16,,3,{gold=3000},,
