变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6,levelExp7,levelExp8,levelExp9,levelExp10,levelExp11,levelExp12
默认值,,,,,,,,,,,,
等级,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6,升级经验序列7,升级经验序列8,升级经验序列9,升级经验序列10,升级经验序列11,升级经验序列12
1,15,30,45,18,36,54,30,60,90,30,60,90
2,20,40,60,24,48,72,40,80,120,40,80,120
3,25,50,75,30,60,90,50,100,150,50,100,150
4,30,60,90,36,72,108,60,120,180,60,120,180
5,35,70,105,42,84,126,70,140,210,70,140,210
6,40,80,120,48,96,144,80,160,240,80,160,240
7,45,90,135,54,108,162,90,180,270,90,180,270
8,50,100,150,60,120,180,100,200,300,100,200,300
9,60,120,180,72,144,216,120,240,360,120,240,360
10,80,160,240,96,192,288,160,320,480,160,320,480
11,100,200,300,120,240,360,200,400,600,200,400,600
12,120,240,360,144,288,432,240,480,720,240,480,720
13,140,280,420,168,336,504,280,560,840,280,560,840
14,160,320,480,192,384,576,320,640,960,320,640,960
15,200,400,600,240,480,720,400,800,1200,400,800,1200
16,250,500,750,300,600,900,500,1000,1500,500,1000,1500
17,300,600,900,360,720,1080,600,1200,1800,600,1200,1800
18,350,700,1050,420,840,1260,700,1400,2100,700,1400,2100
19,400,800,1200,480,960,1440,800,1600,2400,800,1600,2400
20,450,900,1350,540,1080,1620,900,1800,2700,900,1800,2700
