变量名,default,common,elites
默认值,2,1,1
角色等级,默认的实际等级,common,elites
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,2,6,6
7,2,7,7
8,2,8,8
9,2,9,9
10,2,10,10
11,3,11,11
12,3,12,12
13,3,13,13
14,3,14,14
15,3,15,15
16,4,16,16
17,4,17,17
18,4,18,18
19,4,19,19
20,4,20,20
21,5,21,21
22,5,22,22
23,5,23,23
24,5,24,24
25,5,25,25
26,6,26,26
27,6,27,27
28,6,28,28
29,6,29,29
30,6,30,30
31,7,31,31
32,7,32,32
33,7,33,33
34,7,34,34
35,7,35,35
36,8,36,36
37,8,37,37
38,8,38,38
39,8,39,39
40,8,40,40
41,9,41,41
42,9,42,42
43,9,43,43
44,9,44,44
45,9,45,45
46,10,46,46
47,10,47,47
48,10,48,48
49,10,49,49
50,10,50,50
51,11,51,51
52,11,52,52
53,11,53,53
54,11,54,54
55,11,55,55
56,12,56,56
57,12,57,57
58,12,58,58
59,12,59,59
60,12,60,60
61,13,61,61
62,13,62,62
63,13,63,63
64,13,64,64
65,13,65,65
66,14,66,66
67,14,67,67
68,14,68,68
69,14,69,69
70,14,70,70
71,15,71,71
72,15,72,72
73,15,73,73
74,15,74,74
75,15,75,75
76,16,76,76
77,16,77,77
78,16,78,78
79,16,79,79
80,16,80,80
81,17,81,81
82,17,82,82
83,17,83,83
84,17,84,84
85,17,85,85
86,18,86,86
87,18,87,87
88,18,88,88
89,18,89,89
90,18,90,90
91,19,91,91
92,19,92,92
93,19,93,93
94,19,94,94
95,19,95,95
96,20,96,96
97,20,97,97
98,20,98,98
99,20,99,99
100,20,100,100
101,21,101,101
102,21,102,102
103,21,103,103
104,21,104,104
105,21,105,105
106,22,106,106
107,22,107,107
108,22,108,108
109,22,109,109
110,22,110,110
111,23,111,111
112,23,112,112
113,23,113,113
114,23,114,114
115,23,115,115
116,24,116,116
117,24,117,117
118,24,118,118
119,24,119,119
120,24,120,120
121,25,121,121
122,25,122,122
123,25,123,123
124,25,124,124
125,25,125,125
126,26,126,126
127,26,127,127
128,26,128,128
129,26,129,129
130,26,130,130
131,27,131,131
132,27,132,132
133,27,133,133
134,27,134,134
135,27,135,135
136,28,136,136
137,28,137,137
138,28,138,138
139,28,139,139
140,28,140,140
141,29,141,141
142,29,142,142
143,29,143,143
144,29,144,144
145,29,145,145
146,30,146,146
147,30,147,147
148,30,148,148
149,30,149,149
150,30,150,150
151,31,151,151
152,31,152,152
153,31,153,153
154,31,154,154
155,31,155,155
156,32,156,156
157,32,157,157
158,32,158,158
159,32,159,159
160,32,160,160
161,33,161,161
162,33,162,162
163,33,163,163
164,33,164,164
165,33,165,165
166,34,166,166
167,34,167,167
168,34,168,168
169,34,169,169
170,34,170,170
171,35,171,171
172,35,172,172
173,35,173,173
174,35,174,174
175,35,175,175
176,36,176,176
177,36,177,177
178,36,178,178
179,36,179,179
180,36,180,180
181,37,181,181
182,37,182,182
183,37,183,183
184,37,184,184
185,37,185,185
186,38,186,186
187,38,187,187
188,38,188,188
189,38,189,189
190,38,190,190
191,39,191,191
192,39,192,192
193,39,193,193
194,39,194,194
195,39,195,195
196,40,196,196
197,40,197,197
198,40,198,198
199,40,199,199
200,40,200,200
201,41,201,201
202,41,202,202
203,41,203,203
204,41,204,204
205,41,205,205
206,42,206,206
207,42,207,207
208,42,208,208
209,42,209,209
210,42,210,210
211,43,211,211
212,43,212,212
213,43,213,213
214,43,214,214
215,43,215,215
216,44,216,216
217,44,217,217
218,44,218,218
219,44,219,219
220,44,220,220
221,45,221,221
222,45,222,222
223,45,223,223
224,45,224,224
225,45,225,225
226,46,226,226
227,46,227,227
228,46,228,228
229,46,229,229
230,46,230,230
231,47,231,231
232,47,232,232
233,47,233,233
234,47,234,234
235,47,235,235
236,48,236,236
237,48,237,237
238,48,238,238
239,48,239,239
240,48,240,240
241,49,241,241
242,49,242,242
243,49,243,243
244,49,244,244
245,49,245,245
246,50,246,246
247,50,247,247
248,50,248,248
249,50,249,249
