变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,26,1000,0,0,0,0,71,71,8,8,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,35,1000,0,0,0,0,78,78,9,9,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,43,1000,0,0,0,0,85,85,10,10,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,52,1000,0,0,0,0,92,92,10,10,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,60,1000,0,0,0,0,99,99,11,11,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,69,1000,0,0,0,0,106,106,12,12,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,79,1000,0,0,0,0,113,113,13,13,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,89,1000,0,0,0,0,120,120,14,14,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,100,1000,0,0,0,0,126,126,14,14,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,110,1000,0,0,0,0,133,133,15,15,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,120,1000,0,0,0,0,140,140,16,16,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,132,1000,0,0,0,0,147,147,17,17,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,144,1000,0,0,0,0,155,155,18,18,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,155,1000,0,0,0,0,162,162,18,18,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,167,1000,0,0,0,0,170,170,19,19,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,179,1000,0,0,0,0,177,177,20,20,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,193,1000,0,0,0,0,184,184,21,21,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,207,1000,0,0,0,0,192,192,22,22,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,220,1000,0,0,0,0,199,199,22,22,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,234,1000,0,0,0,0,207,207,23,23,0,0,31,,,,,,,,,,,,,,,,,,,,,,
21,248,1000,0,0,0,0,214,214,24,24,0,0,32,,,,,,,,,,,,,,,,,,,,,,
