变量名,_beizhu,normal,fire,water,grass,electricity,ice,combat,poison,ground,fly,super,worm,rock,ghost,dragon,evil,steel,fairy
默认值,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
属性ID,属性备注（攻击类型/防御类型）,一般,火,水,草,电,冰,格斗,毒,地面,飞行,超能,虫,岩石,幽灵,龙,恶,钢,妖精
1,generally,,,,,,,,,,,,,0.8,0.8,,,0.8,
2,fire,,0.8,0.8,1.2,,1.2,,,,,,1.2,0.8,,0.8,,1.2,
3,water,,1.2,0.8,0.8,,,,,1.2,,,,1.2,,0.8,,,
4,Grass,,0.8,1.2,0.8,,,,0.8,1.2,0.8,,0.8,1.2,,0.8,,0.8,
5,Electricity,,,1.2,0.8,0.8,,,,0.8,1.2,,,,,0.8,,,
6,ice,,0.8,0.8,1.2,,0.8,,,1.2,1.2,,,,,1.2,,0.8,
7,fighting,1.2,,,,,1.2,,0.8,,0.8,0.8,0.8,1.2,0.8,,1.2,1.2,0.8
8,poison,,,,1.2,,,,0.8,0.8,,,,0.8,0.8,,,0.8,1.2
9,ground,,1.2,,0.8,1.2,,,1.2,,0.8,,0.8,1.2,,,,1.2,
10,flight,,,,1.2,0.8,,1.2,,,,,1.2,0.8,,,,0.8,
11,Super,,,,,,,1.2,1.2,,,0.8,,,,,0.8,0.8,
12,insect,,0.8,,1.2,,,0.8,0.8,,0.8,1.2,,,0.8,,1.2,0.8,0.8
13,rock,,1.2,,,,1.2,0.8,,0.8,1.2,,1.2,,,,,0.8,
14,ghost,0.8,,,,,,,,,,1.2,,,1.2,,0.8,,
15,dragon,,,,,,,,,,,,,,,1.2,,0.8,0.8
16,evil,,,,,,,0.8,,,,1.2,,,1.2,,0.8,,0.8
17,steel,,0.8,0.8,,0.8,1.2,,,,,,,1.2,,,,0.8,1.2
18,goblin,,0.8,,,,,1.2,0.8,,,,,,,1.2,1.2,0.8,
