变量名,levelExp,staminaMax,staminaGive,rmbGoldGive,featureUnlock,featureUnlock_tw,featureUnlock_en,featureUnlock_vn,benchUnlock,lianJinGold,cardLevelMax,equipAdvanceMax,runeUnlock,unionTrainingFix,explorePointMax,skillPointMax,languages
默认值,,,,,"""""","""""","""""","""""",-1,,,,0,1,,20,<cn;tw;en;vn;th;kr>
等级,升级经验,体力上限,升级回复体力值,升级赠送元宝数量,升级后解锁的功能,升级后解锁的功能,升级后解锁的功能,升级后解锁的功能,升级后解锁的替补阵位,炼金获得的金币数量,卡牌等级上限,装备强化等级上限,升级后解锁符文位,公会训练经验修正,探索点恢复上限,技能点上限,语言区域
1,6,60,12,0,,,,,,23200,1,1,,10,20,20,
2,6,62,12,0,,,,,,23600,2,2,,10,20,20,
3,6,64,12,0,,,,,,24000,3,3,,10,20,20,
4,6,66,12,0,,,,,,24400,4,4,,10,20,20,
5,6,68,12,0,,,,,,24800,5,5,,10,20,20,
6,6,70,12,0,,,,,,25200,6,6,,10,20,20,
7,6,72,12,0,,,,,,25600,7,7,,10,20,20,
8,12,74,12,0,,,,,,26000,8,8,,10,20,20,
9,12,76,12,0,,,,,,26400,9,9,,10,20,20,
10,12,78,12,0,,,,,0,26800,10,10,,10,20,25,
11,18,80,12,0,,,,,,27200,11,11,,10,20,25,
12,30,82,12,0,,,,,,27600,12,12,,10,20,25,
13,40,84,12,0,,,,,,28000,13,13,,10,20,25,
14,50,86,12,0,,,,,,28400,14,14,,10,20,25,
15,60,88,12,0,,,,,1,28800,15,15,,10,20,25,
16,70,90,12,0,,,,,,29200,16,16,,10,20,25,
17,80,92,12,0,,,,,,29600,17,17,,10,20,25,
18,90,94,12,0,,,,,,30000,18,18,,10,20,25,
19,100,96,12,0,,,,,,30400,19,19,,10,20,25,
20,120,98,12,0,,,,,2,30800,20,20,,10,20,30,
21,150,100,12,0,,,,,,31200,21,21,,10,20,30,
22,190,101,15,0,,,,,,31600,22,22,,10,20,30,
23,250,102,15,0,,,,,,32000,23,23,,10,20,30,
24,320,103,15,0,,,,,,32400,24,24,,10,20,30,
25,360,104,60,0,,,,,,32800,25,25,,10,20,30,
26,400,105,60,0,,,,,,33200,26,26,,10,20,30,
