变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
默认值,,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
ID,场景ID正数左边负数右边,初始怒气,初始Mp2(预留),攻击固定恢复怒气（限定前3回合）,损血怒气修正（与lostOnePercentHpAddMp相乘）,击杀怒气修正,血量修正,mp1魔法值修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物攻修正,特攻修正,物防修正,特防修正,防御忽视修正,特防忽视修正,暴击等级修正,暴击伤害修正,暴击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避等级修正,命中等级修正,伤害加成修正,伤害减免修正,伤害加深修正,伤害降低修正,吸血,反弹,大招伤害加成,大招伤害抗性,速度修正,治疗效果,属性克制修正,进场BUFF组 <{id=buff表ID;lifeTime=持续时间;prob=加BUFF成功概率;value=BUFF的相应值，同skill_process表}>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10101,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-10101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,999999,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-999999,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-60201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
11,-60202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
12,-60203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
13,-60204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
14,-60205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
15,-60206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
16,-60207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900023;lifeTime=99;prob=1;value=<2>}>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-60251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
21,-60252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
22,-60253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
23,-60254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
24,-60255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
25,-60256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
26,-60257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{id=900024;lifeTime=99;prob=1;value=<4>}>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,-30101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
102,-30102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
103,-30103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
104,-30201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
105,-30202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
106,-30203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
107,-30301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
108,-30302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
109,-30303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
110,-30304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
111,-30401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
112,-30402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
113,-30403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
114,-30404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
115,-30501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
116,-30502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
117,-30503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
118,-30504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
119,-30505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,-9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,-10,-200,,100,0.3,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,10,-200,,100,0.3,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,-11,-200,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,-13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,-14,-200,,100,0.3,,2.25,,,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,
1042,14,-200,,100,0.3,,2.25,,,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,-7001,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,<>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,-17,,,,,<1;0.35>,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,17,,,,,<1;0.35>,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,-21,100,,,,,2,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,
1072,21,100,,,,,2,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,-19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,-20,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,20,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,-23,-200,,50,0.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,23,-200,,50,0.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,-25,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,25,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,-26,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,26,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,-100028,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,100028,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,-100029,-200,,50,0.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,100029,-200,,50,0.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,-100030,-200,,100,0.3,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,100030,-200,,100,0.3,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80001,-80001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80002,-80002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80003,-80003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80004,-80004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
