变量名,range,award
默认值,,{}
ID,区间,结算奖励
1,<1;2>,{gold=200000;54=3;4001=5;4101=5}
2,<2;3>,{gold=100000;54=2;4001=4;4101=4}
3,<3;4>,{gold=100000;54=2;4001=4;4101=4}
4,<4;5>,{gold=100000;54=2;4001=4;4101=4}
5,<5;6>,{gold=100000;54=2;4001=4;4101=4}
6,<6;7>,{gold=80000;54=1;53=3;4001=3;4101=3}
7,<7;8>,{gold=80000;54=1;53=3;4001=3;4101=3}
8,<8;9>,{gold=80000;54=1;53=3;4001=3;4101=3}
9,<9;10>,{gold=80000;54=1;53=3;4001=3;4101=3}
10,<10;11>,{gold=80000;54=1;53=3;4001=3;4101=3}
11,<11;21>,{gold=70000;54=1;53=2;4001=2;4101=2}
12,<21;51>,{gold=70000;54=1;53=2;4001=2;4101=2}
13,<51;101>,{gold=60000;54=1;4001=2;4101=2}
14,<101;201>,{gold=60000;54=1;4001=2;4101=2}
15,<201;501>,{gold=50000;53=4;4002=3;4103=3}
16,<501;1001>,{gold=40000;53=3;4002=2;4103=2}
17,<1001;2001>,{gold=30000;53=2;4002=1;4103=1}
18,<2001;5001>,{gold=30000;53=2;4002=1;4103=1}
19,<5001;10001>,{gold=30000;53=2;4002=1;4103=1}
20,<10001;9999999>,{gold=30000;53=2;4002=1;4103=1}
