"﻿变量名",_beizhu,cardID,desc,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc2,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
默认值,,0,"""""",,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,"""""","""""",0,0,0,1,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn>
ID,备注,卡牌ID,描述,分组,星级解锁档位,额外属性,未解锁条件描述,解锁达成描述,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;3-获得指定id徽章;4-通关指定id的关卡  5根据周期内天数解锁),解锁目标,上锁标记,稀有度,等级,星级,突破阶数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,z觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言
10263,Anniversary_Initial _ _ _,263,Hu Di,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10572,Anniversary_Initial _ _ _,572,Giant Pincer Mantis,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10593,Anniversary_Initial _ _ _,593,Electric Shock Monster,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11503,Anniversary_Initial _ _ _,1503,Boss Cordora,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13021,Anniversary_Initial _ _ _,3021,geometric snowflake,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13353,Anniversary_Initial _ _ _,3353,Mrs. Huajie,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13413,Anniversary_Initial _ _ _,3413,Shield Sword Monster Shield,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12242,Anniversary_Initial _ _ _,2242,lucario,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11893,Anniversary_Initial _ _ _,1893,Tyrannosaurus _,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
