变量名,firstMonters,repeatMonters,name,monsterDesc,desc,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax
默认值,<>,<>,"""""","""""","""""",stage/znq.csv,1,1,1,1,1,{},{},{},500,500
ID,首次挑战阵容,后续挑战阵容,关卡名字,阵容信息,关卡介绍,关卡背景,血量修正系数,双攻修正系数,双防修正系数,速度修正系数,层数标记,首通奖励,通关奖励,额外奖励,单角色最高伤害限制,副本总伤害限制
1,<111>,<111;11>,Level 1,,it's up to you,,0.5,0.5,0.5,0.5,1,{515=3;5000=10;452=30;6393=10;},{gold=50000},,,
2,<112>,<112;12>,Level 2,,Welcome to the research base,,0.55,0.55,0.55,0.55,2,{900=20;930=10;850=50;6393=10;},{gold=50000},,,
3,<113>,<113;13>,Level 3,,what to expect in a blizzard,,0.61,0.61,0.61,0.61,3,{519=1;5000=15;452=40;6393=10;},{gold=50000},,,
4,<114>,<114;14>,Level 4,,beyond the rainbow,,0.68,0.68,0.68,0.68,4,{901=20;930=15;850=60;6393=10;},{gold=50000},,,
5,<115>,<115;15>,Level 5,,Transformation battle,,0.76,0.76,0.76,0.76,5,{rmb=128;5000=20;452=50;6393=10;},{gold=50000},,,
6,<116>,<116;16>,Level 6,,song of pikachu,,0.85,0.85,0.85,0.85,6,{500=1;930=20;850=80;6393=10;},{gold=50000},,,
7,<117>,<117;17>,Level 7,,"Chaomeng, I'm here",,0.95,0.95,0.95,0.95,7,{502=5;5000=25;452=60;6393=10;},{gold=50000},,,
8,<118>,<118;18>,Level 8,,Hero from another world,,1.06,1.06,1.06,1.06,8,{503=2;930=25;850=100;6393=10;},{gold=50000},,,
9,<119>,<119;19>,Level 9,,Toward the strongest road,,1.18,1.18,1.18,1.18,9,{520=2;5000=30;452=80;6393=10;},{gold=50000},,,
10,<120>,<120;20>,Level 10,,Symbol of Friendship: The First Elves,,1.31,1.31,1.31,1.31,10,{973=1;930=30;850=120;6393=10;},{gold=50000},,,
11,<121>,<121;21>,Level 11,,final battle,,1.35,1.35,1.35,1.35,11,{2415=1;rmb=188;521=3;6393=30;},{gold=50000},{2415=1;rmb=188;521=3;6393=30;},,
,,,,,,,,,,,,,,,,
101,<111>,<111;11>,Level 1,,it's up to you,,0.6,0.6,0.6,0.6,1,{gold=100000;5000=50;talent_point=1;},{gold=50000},,,
102,<112>,<112;12>,Level 2,,Welcome to the research base,,0.66,0.66,0.66,0.66,2,{gold=100000;930=50;502=1;},{gold=50000},,,
103,<113>,<113;13>,Level 3,,what to expect in a blizzard,,0.73,0.73,0.73,0.73,3,{gold=100000;951=10;talent_point=1;},{gold=50000},,,
104,<114>,<114;14>,Level 4,,beyond the rainbow,,0.85,0.85,0.85,0.85,4,{gold=100000;452=50;502=1;},{gold=50000},,,
105,<115>,<115;15>,Level 5,,Transformation battle,,0.97,0.97,0.97,0.97,5,{gold=100000;stamina=100;talent_point=1;},{gold=50000},,,
106,<116>,<116;16>,Level 6,,song of pikachu,,1.09,1.09,1.09,1.09,6,{gold=100000;501=1;502=1;},{gold=50000},,,
107,<117>,<117;17>,Level 7,,"Chaomeng, I'm here",,1.24,1.24,1.24,1.24,7,{gold=100000;4000=200;talent_point=1;},{gold=50000},,,
108,<118>,<118;18>,Level 8,,Hero from another world,,1.39,1.39,1.39,1.39,8,{gold=100000;529=1000;502=1;},{gold=50000},,,
109,<119>,<119;19>,Level 9,,Toward the strongest road,,1.56,1.56,1.56,1.56,9,{gold=100000;111=200;talent_point=1;},{gold=50000},,,
110,<120>,<120;20>,Level 10,,Symbol of Friendship: The First Elves,,1.73,1.73,1.73,1.73,10,{gold=100000;527=2;502=1;},{gold=50000},,,
111,<121>,<121;21>,Level 11,,final battle,,1.79,1.79,1.79,1.79,11,{gold=100000;501=1;521=1;},{gold=50000},,,
,,,,,,,,,,,,,,,,
201,<111>,<111;11>,Level 1,,Phantom Pokémon Assemble,,0.69,0.69,0.69,0.69,1,{gold=100000;5000=50;talent_point=1;},{gold=50000},,,
202,<112>,<112;12>,Level 2,,Phantom Pokémon Assemble,,0.76,0.76,0.76,0.76,2,{gold=100000;930=50;502=1;},{gold=50000},,,
203,<113>,<113;13>,Level 3,,Phantom Pokémon Assemble,,0.84,0.84,0.84,0.84,3,{gold=100000;951=10;talent_point=1;},{gold=50000},,,
204,<114>,<114;14>,Level 4,,Phantom Pokémon Assemble,,0.98,0.98,0.98,0.98,4,{gold=100000;452=50;502=1;},{gold=50000},,,
205,<115>,<115;15>,Level 5,,Phantom Pokémon Assemble,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1;},{gold=50000},,,
206,<116>,<116;16>,Level 6,,Phantom Pokémon Assemble,,1.25,1.25,1.25,1.25,6,{gold=100000;501=1;502=1;},{gold=50000},,,
207,<117>,<117;17>,Level 7,,Phantom Pokémon Assemble,,1.43,1.43,1.43,1.43,7,{gold=100000;4000=200;talent_point=1;},{gold=50000},,,
208,<118>,<118;18>,Level 8,,Phantom Pokémon Assemble,,1.6,1.6,1.6,1.6,8,{gold=100000;529=1000;502=1;},{gold=50000},,,
209,<119>,<119;19>,Level 9,,Phantom Pokémon Assemble,,1.79,1.79,1.79,1.79,9,{gold=100000;111=200;talent_point=1;},{gold=50000},,,
210,<120>,<120;20>,Level 10,,Phantom Pokémon Assemble,,1.99,1.99,1.99,1.99,10,{gold=100000;527=2;502=1;},{gold=50000},,,
211,<121>,<121;21>,Level 11,,Phantom Pokémon Assemble,,2.06,2.06,2.06,2.06,11,{gold=100000;501=1;521=1;},{gold=50000},,,
,,,,,,,,,,,,,,,,
301,<111>,<111;11>,Level 1,,Dragon Clan Assemble,,0.69,0.69,0.69,0.69,1,{gold=100000;5000=50;talent_point=1;},{gold=50000},,,
302,<112>,<112;12>,Level 2,,Dragon Clan Assemble,,0.76,0.76,0.76,0.76,2,{gold=100000;930=50;502=1;},{gold=50000},,,
303,<113>,<113;13>,Level 3,,Dragon Clan Assemble,,0.84,0.84,0.84,0.84,3,{gold=100000;951=10;talent_point=1;},{gold=50000},,,
304,<114>,<114;14>,Level 4,,Dragon Clan Assemble,,0.98,0.98,0.98,0.98,4,{gold=100000;452=50;502=1;},{gold=50000},,,
305,<115>,<115;15>,Level 5,,Dragon Clan Assemble,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1;},{gold=50000},,,
306,<116>,<116;16>,Level 6,,Dragon Clan Assemble,,1.25,1.25,1.25,1.25,6,{gold=100000;501=1;502=1;},{gold=50000},,,
307,<117>,<117;17>,Level 7,,Dragon Clan Assemble,,1.43,1.43,1.43,1.43,7,{gold=100000;4000=200;talent_point=1;},{gold=50000},,,
308,<118>,<118;18>,Level 8,,Dragon Clan Assemble,,1.6,1.6,1.6,1.6,8,{gold=100000;529=1000;502=1;},{gold=50000},,,
309,<119>,<119;19>,Level 9,,Dragon Clan Assemble,,1.79,1.79,1.79,1.79,9,{gold=100000;111=200;talent_point=1;},{gold=50000},,,
310,<120>,<120;20>,Level 10,,Dragon Clan Assemble,,1.99,1.99,1.99,1.99,10,{gold=100000;527=2;502=1;},{gold=50000},,,
311,<121>,<121;21>,Level 11,,Dragon Clan Assemble,,2.06,2.06,2.06,2.06,11,{gold=100000;501=1;521=1;},{gold=50000},,,
,,,,,,,,,,,,,,,,
401,<111>,<111;11>,Level 1,,fight rally,,0.69,0.69,0.69,0.69,1,{gold=100000;5000=50;talent_point=1;},{gold=50000},,,
402,<112>,<112;12>,Level 2,,fight rally,,0.76,0.76,0.76,0.76,2,{gold=100000;930=50;502=1;},{gold=50000},,,
403,<113>,<113;13>,Level 3,,fight rally,,0.84,0.84,0.84,0.84,3,{gold=100000;951=10;talent_point=1;},{gold=50000},,,
404,<114>,<114;14>,Level 4,,fight rally,,0.98,0.98,0.98,0.98,4,{gold=100000;452=50;502=1;},{gold=50000},,,
405,<115>,<115;15>,Level 5,,fight rally,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1;},{gold=50000},,,
406,<116>,<116;16>,Level 6,,fight rally,,1.25,1.25,1.25,1.25,6,{gold=100000;501=1;502=1;},{gold=50000},,,
407,<117>,<117;17>,Level 7,,fight rally,,1.43,1.43,1.43,1.43,7,{gold=100000;4000=200;talent_point=1;},{gold=50000},,,
408,<118>,<118;18>,Level 8,,fight rally,,1.6,1.6,1.6,1.6,8,{gold=100000;529=1000;502=1;},{gold=50000},,,
