变量名,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
默认值,,1,100000,0,<>,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,索引类型ID,星级,升星金币消耗,升星本体卡牌消耗,万能整卡CardID消耗,升星道具消耗,血量成长,速度成长,物攻成长,物防成长,特攻成长,特防成长,血量修正,速度修正,物攻修正,物防修正,特攻修正,特防修正,mp1魔法值修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,防御忽视修正,特防忽视修正,暴击等级修正,暴击伤害修正,暴击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避等级修正,命中等级修正,伤害加成修正,伤害减免修正,伤害加深修正,伤害降低修正,吸血,反弹,大招伤害加成,大招伤害抗性,治疗效果,属性克制修正
101,1,1,5000,0,,{},0,0,0,0,0,0,37.526,0.9,8.01,3.21,8.01,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,25000,1,<9001>,{},7.505,0.18,1.602,0.642,1.602,0.642,300.204,7.2,64.08,25.68,64.08,25.68,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,3,100000,1,<9001>,{},15.01,0.36,3.204,1.284,3.204,1.284,562.883,13.5,120.15,48.15,120.15,48.15,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,4,150000,2,<9001>,{},26.268,0.63,5.607,2.247,5.607,2.247,1050.714,25.2,224.28,89.88,224.28,89.88,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,5,200000,3,<9001>,{},39.402,0.945,8.411,3.371,8.411,3.371,1538.546,36.9,328.41,131.61,328.41,131.61,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,6,250000,3,<9001>,{},56.288,1.35,12.015,4.815,12.015,4.815,2101.428,50.4,448.56,179.76,448.56,179.76,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,7,300000,4,<9001>,{},75.051,1.8,16.02,6.42,16.02,6.42,2664.311,63.9,568.71,227.91,568.71,227.91,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,8,400000,4,<9001>,{},93.814,2.25,20.025,8.025,20.025,8.025,3414.821,81.9,728.91,292.11,728.91,292.11,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,9,500000,5,<9001>,{},112.577,2.7,24.03,9.63,24.03,9.63,4165.331,99.9,889.11,356.31,889.11,356.31,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,10,600000,5,<9001>,{},131.339,3.15,28.035,11.235,28.035,11.235,4915.841,117.9,1049.31,420.51,1049.31,420.51,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,11,800000,6,<9001>,{},150.102,3.6,32.04,12.84,32.04,12.84,5666.351,135.9,1209.51,484.71,1209.51,484.71,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,12,0,0,,{},168.865,4.05,36.045,14.445,36.045,14.445,6416.861,153.9,1369.71,548.91,1369.71,548.91,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,1,8000,0,,{},0,0,0,0,0,0,37.526,0.9,8.01,3.21,8.01,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,2,40000,1,<9001>,{},7.505,0.18,1.602,0.642,1.602,0.642,300.204,7.2,64.08,25.68,64.08,25.68,,,,,,,,,,,,,,,,,,,,,,,,,
203,2,3,160000,1,<9001>,{},15.01,0.36,3.204,1.284,3.204,1.284,562.883,13.5,120.15,48.15,120.15,48.15,,,,,,,,,,,,,,,,,,,,,,,,,
204,2,4,240000,2,<9001>,{},26.268,0.63,5.607,2.247,5.607,2.247,1050.714,25.2,224.28,89.88,224.28,89.88,,,,,,,,,,,,,,,,,,,,,,,,,
205,2,5,320000,2,<9001>,{},39.402,0.945,8.411,3.371,8.411,3.371,1538.546,36.9,328.41,131.61,328.41,131.61,,,,,,,,,,,,,,,,,,,,,,,,,
206,2,6,400000,3,<9001>,{},56.288,1.35,12.015,4.815,12.015,4.815,2101.428,50.4,448.56,179.76,448.56,179.76,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,7,480000,3,<9001>,{},75.051,1.8,16.02,6.42,16.02,6.42,2664.311,63.9,568.71,227.91,568.71,227.91,,,,,,,,,,,,,,,,,,,,,,,,,
208,2,8,640000,4,<9001>,{},93.814,2.25,20.025,8.025,20.025,8.025,3414.821,81.9,728.91,292.11,728.91,292.11,,,,,,,,,,,,,,,,,,,,,,,,,
209,2,9,800000,4,<9001>,{},112.577,2.7,24.03,9.63,24.03,9.63,4165.331,99.9,889.11,356.31,889.11,356.31,,,,,,,,,,,,,,,,,,,,,,,,,
210,2,10,960000,4,<9001>,{},131.339,3.15,28.035,11.235,28.035,11.235,4915.841,117.9,1049.31,420.51,1049.31,420.51,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,11,1280000,5,<9001>,{},150.102,3.6,32.04,12.84,32.04,12.84,5666.351,135.9,1209.51,484.71,1209.51,484.71,,,,,,,,,,,,,,,,,,,,,,,,,
212,2,12,0,0,,{},168.865,4.05,36.045,14.445,36.045,14.445,6416.861,153.9,1369.71,548.91,1369.71,548.91,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,1,10000,0,,{},0,0,0,0,0,0,45.031,1.08,9.612,3.852,9.612,3.852,,,,,,,,,,,,,,,,,,,,,,,,,
302,3,2,50000,0,,{},8.256,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,3,200000,1,<9002>,{},16.511,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,4,300000,1,<9002>,{},28.895,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,5,400000,2,<9002>,{},43.342,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,6,500000,2,<9002>,{},61.917,1.485,13.217,5.297,13.217,5.297,2521.714,60.48,538.272,215.712,538.272,215.712,,,,,,,,,,,,,,,,,,,,,,,,,
307,3,7,600000,2,<9002>,{},82.556,1.98,17.622,7.062,17.622,7.062,3197.173,76.68,682.452,273.492,682.452,273.492,,,,,,,,,,,,,,,,,,,,,,,,,
308,3,8,800000,3,<9002>,{},103.195,2.475,22.028,8.828,22.028,8.828,4097.785,98.28,874.692,350.532,874.692,350.532,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,9,1000000,3,<9002>,{},123.834,2.97,26.433,10.593,26.433,10.593,4998.397,119.88,1066.932,427.572,1066.932,427.572,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,10,1200000,3,<9002>,{},144.473,3.465,30.839,12.359,30.839,12.359,5899.009,141.48,1259.172,504.612,1259.172,504.612,,,,,,,,,,,,,,,,,,,,,,,,,
311,3,11,1600000,4,<9002>,{},165.112,3.96,35.244,14.124,35.244,14.124,6799.621,163.08,1451.412,581.652,1451.412,581.652,,,,,,,,,,,,,,,,,,,,,,,,,
312,3,12,0,0,,{},185.751,4.455,39.65,15.89,39.65,15.89,7700.233,184.68,1643.652,658.692,1643.652,658.692,,,,,,,,,,,,,,,,,,,,,,,,,
401,4,1,15000,0,,{},0,0,0,0,0,0,67.546,1.62,14.418,5.778,14.418,5.778,,,,,,,,,,,,,,,,,,,,,,,,,
402,4,2,75000,0,,{},10.507,0.252,2.243,0.899,2.243,0.899,540.367,12.96,115.344,46.224,115.344,46.224,,,,,,,,,,,,,,,,,,,,,,,,,
403,4,3,300000,0,<9003>,{},21.014,0.504,4.486,1.798,4.486,1.798,1013.189,24.3,216.27,86.67,216.27,86.67,,,,,,,,,,,,,,,,,,,,,,,,,
404,4,4,450000,1,<9003>,{},36.775,0.882,7.85,3.146,7.85,3.146,1891.285,45.36,403.704,161.784,403.704,161.784,,,,,,,,,,,,,,,,,,,,,,,,,
405,4,5,600000,1,<9003>,{},55.162,1.323,11.775,4.719,11.775,4.719,2769.382,66.42,591.138,236.898,591.138,236.898,,,,,,,,,,,,,,,,,,,,,,,,,
406,4,6,750000,2,<9003>,{},78.804,1.89,16.821,6.741,16.821,6.741,3782.57,90.72,807.408,323.568,807.408,323.568,,,,,,,,,,,,,,,,,,,,,,,,,
407,4,7,900000,2,<9003>,{},105.071,2.52,22.428,8.988,22.428,8.988,4795.759,115.02,1023.678,410.238,1023.678,410.238,,,,,,,,,,,,,,,,,,,,,,,,,
408,4,8,1200000,2,<9003>,{},131.339,3.15,28.035,11.235,28.035,11.235,6146.677,147.42,1312.038,525.798,1312.038,525.798,,,,,,,,,,,,,,,,,,,,,,,,,
409,4,9,1500000,3,<9003>,{},157.607,3.78,33.642,13.482,33.642,13.482,7497.595,179.82,1600.398,641.358,1600.398,641.358,,,,,,,,,,,,,,,,,,,,,,,,,
410,4,10,1800000,3,<9003>,{},183.875,4.41,39.249,15.729,39.249,15.729,8848.513,212.22,1888.758,756.918,1888.758,756.918,,,,,,,,,,,,,,,,,,,,,,,,,
411,4,11,2400000,3,<9003>,{},210.143,5.04,44.856,17.976,44.856,17.976,10199.431,244.62,2177.118,872.478,2177.118,872.478,,,,,,,,,,,,,,,,,,,,,,,,,
412,4,12,0,0,,{},236.411,5.67,50.463,20.223,50.463,20.223,11550.349,277.02,2465.478,988.038,2465.478,988.038,,,,,,,,,,,,,,,,,,,,,,,,,
501,5,1,20000,0,,{},0,0,0,0,0,0,93.814,2.25,20.025,8.025,20.025,8.025,,,,,,,,,,,,,,,,,,,,,,,,,
502,5,2,100000,0,,{},12.759,0.306,2.723,1.091,2.723,1.091,750.51,18,160.2,64.2,160.2,64.2,,,,,,,,,,,,,,,,,,,,,,,,,
503,5,3,400000,0,<9003>,{},25.517,0.612,5.447,2.183,5.447,2.183,1407.206,33.75,300.375,120.375,300.375,120.375,,,,,,,,,,,,,,,,,,,,,,,,,
504,5,4,600000,1,<9003>,{},44.655,1.071,9.532,3.82,9.532,3.82,2626.785,63,560.7,224.7,560.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,
505,5,5,800000,1,<9003>,{},66.983,1.607,14.298,5.73,14.298,5.73,3846.364,92.25,821.025,329.025,821.025,329.025,,,,,,,,,,,,,,,,,,,,,,,,,
506,5,6,1000000,2,<9003>,{},95.69,2.295,20.426,8.186,20.426,8.186,5253.57,126,1121.4,449.4,1121.4,449.4,,,,,,,,,,,,,,,,,,,,,,,,,
507,5,7,1200000,2,<9003>,{},127.587,3.06,27.234,10.914,27.234,10.914,6660.776,159.75,1421.775,569.775,1421.775,569.775,,,,,,,,,,,,,,,,,,,,,,,,,
508,5,8,1600000,2,<9003>,{},159.483,3.825,34.043,13.643,34.043,13.643,8537.051,204.75,1822.275,730.275,1822.275,730.275,,,,,,,,,,,,,,,,,,,,,,,,,
509,5,9,2000000,3,<9003>,{},191.38,4.59,40.851,16.371,40.851,16.371,10413.326,249.75,2222.775,890.775,2222.775,890.775,,,,,,,,,,,,,,,,,,,,,,,,,
510,5,10,2400000,3,<9003>,{},223.277,5.355,47.66,19.1,47.66,19.1,12289.601,294.75,2623.275,1051.275,2623.275,1051.275,,,,,,,,,,,,,,,,,,,,,,,,,
511,5,11,3200000,3,<9003>,{},255.173,6.12,54.468,21.828,54.468,21.828,14165.876,339.75,3023.775,1211.775,3023.775,1211.775,,,,,,,,,,,,,,,,,,,,,,,,,
512,5,12,0,0,,{},287.07,6.885,61.277,24.557,61.277,24.557,16042.151,384.75,3424.275,1372.275,3424.275,1372.275,,,,,,,,,,,,,,,,,,,,,,,,,
601,6,1,0,0,,{},0,0,0,0,0,0,53.8,1.2,10.68,4.28,10.68,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
602,6,2,0,0,,{},0,0,0,0,0,0,53.8,1.2,10.68,4.28,10.68,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,12,1,8000,0,,{},0,0,0,0,0,0,45.031,1.08,9.612,3.852,9.612,3.852,,,,,,,,,,,,,,,,,,,,,,,,,
1202,12,2,40000,1,<9001>,{},8.256,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,,,,,,,,,,,,,,,,,,,,,,,,,
1203,12,3,160000,1,<9001>,{},16.511,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,,,,,,,,,,,,,,,,,,,,,,,,,
1204,12,4,240000,2,<9001>,{},28.895,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,,,,,,,,,,,,,,,,,,,,,,,,,
1205,12,5,320000,2,<9001>,{},43.342,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,,,,,,,,,,,,,,,,,,,,,,,,,
