变量名,name,languages,drawlanguages,name_tw,name_en,name_vn,name_kr,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,introduction_tw,introduction_en,introduction_vn,introduction_kr,location,location_tw,location_en,location_vn,location_kr
默认值,"""""",<cn;tw;en;vn;th;kr>,<cn;tw;en;vn;th;kr>,"""""","""""","""""","""""",,1,<7;8>,1,0,1,0,TRUE,3,0,0,0,5000,,1,<2;15>,1,<39;65;52;43;60;50;309>,1,1,1,1,<601;602;603>,21,<1;1;8;16;22;28;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145>,1,92,104,{},60003,<60001;60002;60003;61101;61102>,9001,100,<11032;11132;11232;11332;>,21002,1,1,{drawcard=false;gain=false},1,1,1,1,1,<>,0,10,1,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,未知,未知,未知,未知,미지
卡牌ID,名字,语言区域,抽卡语言区域,名字,名字,名字_越南,名字_韩,卡牌标识ID,卡牌类型（1-常规；2-素材）,进攻类型：7物攻，8特攻,进化状态,分支,分支形态类型(1多分支2多形态),超进化索引,能否进化到当前阶段,分支切换消耗类型,z觉醒未开启标记,Z觉醒ID,Z觉醒碎片ID,雄性出生概率(10000为分母基数),性别(0-无性别；1-雄性；2-雌性),性格随机,推荐性格,个体值随机,种族值,战斗力计算系数id,升星类型ID,进阶类型ID,好感度标示,好感度消耗道具,进阶上限,进阶等级要求,卡牌升级经验序列ID,卡牌对应unitID,卡牌等级上限,皮肤技能表(skinID=<skillID;>),大招技能ID,技能ID列表,满星技能索引,最大极限属性等级,初始饰品列表,卡牌碎片ID,卡牌碎片数量类型,初始星级,分别表示在抽卡，恭喜获得时额外特效,升星效果索引,特性索引,努力值索引,宝石槽索引,宝石品质索引,羁绊,家园技能,精力,精力修正,简介,简介,简介,简介_越南,简介_韩,定位,定位,定位,定位_越南,定位_韩
1,Bulbasaur,,,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,1,,<8>,1,,,,TRUE,,1,1,50001,5000,,1,<22;24;18;20>,1,<45;45;49;49;65;65;318>,1,2,11,2,<609;610;611;602;603>,,,2,1,,,13,<11;12;13;16;61151;61152>,1,,<11002;11102;11202;11302;>,20001,2,2,,1,20,2,2,2,<11;12;13>,,,,"Bulbasaur, the Seed Pokémon. A young Bulbasaur uses the nutrients from its seed for the energy it needs to grow.",妙蛙種子，種子寶可夢。出生後有一段期間會從背上的種子得到營養並且長大。,"Bulbasaur, the Seed Pokémon. A young Bulbasaur uses the nutrients from its seed for the energy it needs to grow.","Bulbasaur, Seed Pokémon. Sau khi ra đời cần một khoảng thời gian hấp thụ dinh dưỡng từ cái cây trên lưng và trưởng thành.","""이상해씨, 씨앗 포켓몬, 태어나서부터 얼마 동안은 등의 씨앗으로부터 영양을 공급받아 크게 성장한다.""",Healing power,治癒之力,Healing power,Khả năng Trị Liệu,치유의 힘
2,Ivysaur,,,妙蛙草,Ivysaur,404404,이상해풀,1,,<8>,2,,,,TRUE,,1,1,50001,5000,,1,<22;24;18;20>,1,<60;60;62;63;80;80;405>,1,2,11,2,<609;610;611;602;603>,,,2,2,,,23,<21;22;23;26;61151;61152>,1,,<11002;11102;11202;11302;>,20001,2,2,,1,20,2,2,2,<11;12;13>,,,,"The Seed Pokémon, Ivysaur, Bulbasaur's evolved form. The bulb on its back absorbs nourishment and blooms into a large flower.",妙蛙草，種子寶可夢，是妙蛙種子的進化形，背上背著花苞，當花苞吸取養分之後，就會開出巨大的花朵。,"The Seed Pokémon, Ivysaur, Bulbasaur's evolved form. The bulb on its back absorbs nourishment and blooms into a large flower.","Ivysaur, Seed Pokémon. Dạng tiến hóa của Bulbasaur, trên lưng có một nụ hoa, sau khi hấp thụ chất dinh dưỡng hoa sẽ nở","""이상해풀, 씨앗 포켓몬, 이상해씨의 진화형, 등에 있는 봉오리가 양분을 흡수한 후 커다란 꽃을 피운다.""",Healing power,治癒之力,Healing power,Khả năng Trị Liệu,치유의 힘
3,Venusaur,,,妙蛙花,Venusaur,404404,이상해꽃,1,,<8>,3,,,,TRUE,,1,1,50001,5000,,1,<22;24;18;20>,1,<80;80;82;83;100;100;525>,1,2,11,2,<609;610;611;602;603>,,,2,3,,,33,<31;32;33;36;61151;61152>,1,,<11002;11102;11202;11302;>,20001,2,2,,1,20,2,2,2,<11;12;13>,,,,"Venusaur, the Seed Pokémon and the evolved form of Ivysaur. When it is catching the sun's rays, it often remains quiet and still. Some say that its collects large amounts of sunlight, which it can turn into energy.",妙蛙花，種子寶可夢，是妙蛙草的進化形，經常在有陽光的地方定住不動，有人猜測它是在進行光合作用。吸取陽光以便獲取能量。,"Venusaur, the Seed Pokémon and the evolved form of Ivysaur. When it is catching the sun's rays, it often remains quiet and still. Some say that its collects large amounts of sunlight, which it can turn into energy.","Venusaur, Seed Pokémon, dạng tiến hóa của Ivysaur, thường thường nằm im ở những nơi có ánh nắng, có người đoán đây là cách nó quang hợp, hấp thụ ánh nắng đồng thời hấp thụ được năng lượng luôn.","""이상해꽃, 씨앗 포켓몬, 이상해풀의 진화형, 자주 햇살이 있는 곳에서 움직이지 않으며, 사람들은 광합성을 하는 것이라고 생각한다. 빛을 흡수해 에너지를 얻을 수 있다.""",Healing power,治癒之力,Healing power,Khả năng Trị Liệu,치유의 힘
4,Mega Venusaur,<cn;kr;en;tw>,,超級妙蛙花,Mega Venusaur,404404,메가이상해꽃,1,,<8>,4,,,10,TRUE,,2,,50001,5000,,1,<22;24;18;20>,2,<80;80;100;123;122;120;625>,1,12,11,2,<609;610;611;602;603>,,,2,4,,,43,<41;42;43;46;61151;61152>,1,,<11002;11102;11202;11302;>,20001,2,10,,1,20,2,2,2,<11;12;13>,,,,"Adequate nutrition and sunlight makes the colors of the flowers more vivid, fragrance of the flowers heals people&apos;s hearts.",據說充足的營養和陽光會讓花兒的顏色變得更加鮮豔，花香會治癒人心。,"Adequate nutrition and sunlight makes the colors of the flowers more vivid, fragrance of the flowers heals people&apos;s hearts.",404404,"충분한 영양분과 태양의 빛은 꽃의 색을 선명하게 만든다고 하며, 꽃의 향기는 사람의 마음을 치유한다.",Healing Power & Poison Control,治癒之力&毒傷控制,Healing Power & Poison Control,404404,치유의 힘&독 피해 제어
11,Charmander,,,小火龍,Charmander,Tiểu hỏa long,파이리,11,,<8>,1,,,,TRUE,,11,11,50011,5000,,1,<6;7;18;19>,1,<39;65;52;43;60;50;309>,1,2,11,2,<618;619;620;602;603>,,,2,11,,,113,<111;112;113;116;61101;61102>,11,,<11032;11132;11232;11332;>,20011,2,2,,11,16,2,2,2,<111;112;113>,,,,Charmander. A flame burns on the tip of its tail from birth. It is said that a Charmander dies if its flame ever goes out.,小火龍，蜥蜴寶可夢。尾巴上的火焰是生命之火，充滿活力的時候，火焰會猛烈燃燒，火焰消失就是死亡的時候。,Charmander. A flame burns on the tip of its tail from birth. It is said that a Charmander dies if its flame ever goes out.,404404,"""파이리, 도마뱀 포켓몬, 꼬리의 불꽃은 생명의 상징이다. 활력이 충만할 때는 왕성하게 불타오르며, 화염이 꺼지는 것은 곧 생명이 다하는 때이다.""",Flame Burn,火焰灼燒,Flame Burn,Ngọn Lửa Thiêu Đốt,화염 연소
12,Charmeleon,,,火恐龍,Charmeleon,404404,리자드,11,,<8>,2,,,,TRUE,,11,11,50011,5000,,1,<6;7;18;19>,1,<58;80;64;58;80;65;405>,1,2,11,2,<618;619;620;602;603>,,,2,12,,,123,<121;122;123;126;61101;61102>,11,,<11032;11132;11232;11332;>,20011,2,2,,11,16,2,2,2,<111;112;113>,,,,"Charmeleon, the Flame Pokémon and the evolved form of Charmander. Charmeleon knocks down opponents with its tail, then defeats them using razor-sharp claws?",火恐龍，火焰寶可夢，是小火龍的進化形，會用尾巴將敵人掃倒，然後用尖銳的爪子將敵人切裂。,"Charmeleon, the Flame Pokémon and the evolved form of Charmander. Charmeleon knocks down opponents with its tail, then defeats them using razor-sharp claws?",404404,"리자드, 화염 포켓몬, 파이리의 진화형, 꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.",Flame Burn,火焰灼燒,Flame Burn,Ngọn Lửa Thiêu Đốt,화염 연소
13,Charizard,,,噴火龍,Charizard,404404,리자몽,11,,<8>,3,,,,TRUE,,11,11,50011,5000,,1,<6;7;18;19>,1,<78;100;84;78;109;85;534>,1,2,11,2,<618;619;620;602;603>,,,2,13,,,133,<131;132;133;136;61101;61102>,11,,<11032;11132;11232;11332;>,20011,2,2,,11,16,2,2,2,<111;112;113>,,,,"Charizard, the Flame Pokémon. Spits fire that is hot enough to melt boulders.",噴火龍，火焰寶可夢。強力的噴射火焰，甚至可以把岩石熔化掉。,"Charizard, the Flame Pokémon. Spits fire that is hot enough to melt boulders.",404404,"""리자몽, 화염 포켓몬, 강력한 화염을 뿜어 암석도 태워버릴 수 있다.""",Flame Burn,火焰灼燒,Flame Burn,Ngọn Lửa Thiêu Đốt,화염 연소
14,Mega Charizard X,<cn;kr;en;tw>,,超級噴火龍X,Mega Charizard X,404404,메가리자몽X,11,,<7>,4,1,,111,TRUE,3,12,,50011,5000,,1,<10;11;13;9>,2,<78;100;130;111;130;85;634>,1,12,11,2,<618;619;620;602;603>,,,2,14,,,143,<141;142;143;146;61101;61102>,11,,<11032;11132;11232;11332;>,20011,2,10,,11,16,2,2,2,<111;112;113>,,,,The overwhelming power that fills its entire body causes it to turn black and create intense blue flames.,全身充斥著非比尋常的力量，這種力量染黑了它的身體，燃燒出熾熱的藍色火焰。,The overwhelming power that fills its entire body causes it to turn black and create intense blue flames.,"Toàn bộ cơ thể mang một năng lượng, sức mạnh đó đã khiến cơ thể nó cháy đen , tạo nên một ngọn lửa xanh vô cùng mạnh mẽ.","""온몸에 넘치는 엄청난 힘이 몸을 검게 물들였고, 푸른 불꽃을 태운다.""",Flame Burn & Flame Splash,火焰灼燒&熱焰濺射,Flame Burn & Flame Splash,404404,화염 연소&불꽃튀기기
