变量名,name,name_tw,name_en,name_kr,attrMap,res
默认值,"""""","""""","""""","""""",{},""""""
ID,性格名字,性格名字,性格名字,性格名字_韩,属性加成,资源
1,Quirky,浮躁,Quirky,방정맞음,,
2,Hardy,勤奮,Hardy,근면함,,
3,Bashful,害羞,Bashful,수줍어함,,
4,Docile,坦率,Docile,솔직함,,
5,Serious,認真,Serious,진지함,,
6,Timid,膽小,Timid,겁이 많음,{13=110%;7=90%},
7,Hasty,急躁,Hasty,조급함,{13=110%;9=90%},
8,Jolly,爽朗,Jolly,유쾌함,{13=110%;8=90%},
9,Naive,天真,Naive,천진난만함,{13=110%;10=90%},
10,Lonely,怕寂寞,Lonely,외로워함,{7=110%;9=90%},
11,Brave,勇敢,Brave,용감함,{7=110%;13=90%},
12,Adamant,固執,Adamant,고집이 강함,{7=110%;8=90%},
13,Naughty,頑皮,Naughty,장난이 심함,{7=110%;10=90%},
14,Bold,大膽,Bold,대담함,{9=110%;7=90%},
15,Relaxed,悠閒,Relaxed,여유로움,{9=110%;13=90%},
16,Impish,淘氣,Impish,말썽쟁이,{9=110%;8=90%},
17,Lax,樂天,Lax,낙천적,{9=110%;10=90%},
18,Modest,內斂,Modest,내성적,{8=110%;7=90%},
19,Mild,慢吞吞,Mild,느림,{8=110%;9=90%},
20,Quiet,冷靜,Quiet,냉정함,{8=110%;13=90%},
21,Rash,馬虎,Rash,건성건성함,{8=110%;10=90%},
22,Calm,溫和,Calm,온화함,{10=110%;7=90%},
23,Gentle,溫順,Gentle,온순함,{10=110%;9=90%},
24,Sassy,自大,Sassy,자만함,{10=110%;13=90%},
25,Careful,慎重,Careful,신중함,{10=110%;8=90%},
