变量名,type,param,groupID,priority,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,0,<>,0,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
ID,共鸣条件类型：1品质2等级,共鸣条件参数<数量;条件>  条件类型2条件指大于等于条件数值,效果分组id,触发优先级(越大优先级越高),共鸣属性类型1,共鸣属性数值1,共鸣属性类型2,共鸣属性数值2,共鸣属性类型3,共鸣属性数值3,共鸣属性类型4,共鸣属性数值4,共鸣属性类型5,共鸣属性数值5,共鸣属性类型6,共鸣属性数值6
1,1,<6;2>,101,9,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
2,1,<6;3>,101,99,1,4%,13,4%,7,4%,8,4%,9,4%,10,4%
3,1,<6;4>,101,999,1,7%,13,7%,7,7%,8,7%,9,7%,10,7%
4,1,<6;5>,101,9999,1,10%,13,10%,7,10%,8,10%,9,10%,10,10%
5,1,<6;6>,101,99999,1,15%,13,15%,7,15%,8,15%,9,15%,10,15%
6,2,<6;15>,102,9,92,200,93,200,,,,,,,,
7,2,<6;30>,102,99,92,400,93,400,,,,,,,,
8,2,<6;45>,102,999,92,600,93,600,,,,,,,,
9,2,<6;60>,102,9999,92,800,93,800,,,,,,,,
10,2,<6;75>,102,99999,92,1000,93,1000,,,,,,,,
11,2,<6;90>,102,999999,92,1200,93,1200,,,,,,,,
