变量名,_beizhu,weight,type,group,res,position,position_tw,position_en,position_vn,position_kr,zOrder,touchSize,scale,action,randLib,unfreezeAward,shape_shifter,baibianRandLib,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,offPos,overture,activityIds,activityPosition,activityScale,active
默认值,"""""",10,1,1,"""""",{x=0;y=2},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,,2,TRUE,0,{},TRUE,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{x=0;y=0},FALSE,<>,{x=0;y=0},2,TRUE
ID,Remark,权值,同type互斥,所属组（用于集体动作展示；尽量只新增不减少；减少可能导致线上出问题；下个刷新节点后会回复正常）,spine资源,位置坐标,位置坐标,位置坐标,位置坐标,位置坐标,层级,点击交互范围,缩放,是否有交互(TRUE/FALSE),奖励随机库,解冻奖励,是否可以成为百变怪,变成百变怪奖励随机库,交互对话1,交互对话1,交互对话1,交互对话1_越南,交互对话1_韩,交互对话2,交互对话2,交互对话2,交互对话2_越南,交互对话2_韩,交互对话3,交互对话3,交互对话3,交互对话3_越南,交互对话3_韩,对话框的位置偏移,对话气泡是否需要翻转,活动id,活动中对话框的位置偏移,活动中缩放,激活状态
1,Snorlax,,1,11,zhuchangjing/zjm_kbs.skel,{x=190;y=470},{x=190;y=470},{x=190;y=470},{x=190;y=470},{x=190;y=470},10,,,,130,,,131,emmm,emmm,emmm,emmm,emmm,emmmm,emmmm,emmmm,emmmm,emmmm,Zzzzzzz,Zzzzzzz,Zzzzzzz,Zzzzzzz,Zzzzzzz,{x=240;y=80},TRUE,,,,FALSE
2,Positive beat,,2,21,zhuchangjing/zjm_zdpp.skel,{x=938;y=228},{x=938;y=228},{x=938;y=228},{x=1000;y=228},{x=938;y=228},15,,,,130,,,131,bilibili！~,bilibili！~,bilibili！~,bilibili！~,bilibili！~,,,,,,,,,,,{x=-200;y=30},,,,,
3,dauntless boy,,2,21,zhuchangjing/zjm_sb_br.skel,{x=1338;y=235},{x=1338;y=235},{x=1338;y=235},{x=1400;y=235},{x=1338;y=235},12,,,,130,,,131,Oho！,哦豁！,Oho！,Oho！,Oho！,,,,,,,,,,,{x=-180;y=140},,,,,
4,Negative beat,,2,21,zhuchangjing/zjm_fdpp.skel,{x=1480;y=236},{x=1480;y=236},{x=1480;y=236},{x=1540;y=236},{x=1480;y=236},13,,,,130,,,131,bilibili！~,bilibili！~,bilibili！~,bilibili！~,bilibili！~,,,,,,,,,,,{x=180;y=30},TRUE,,,,
5,Sandcastle Lord,,2,21,zhuchangjing/shadiao.skel,{x=1107;y=245},{x=1107;y=245},{x=1107;y=245},{x=1165;y=245},{x=1107;y=245},13,,,,130,,,131,GAAAWU！,嘎唔！,GAAAWU！,GAAAWU！,GAAAWU！,,,,,,,,,,,{x=-90;y=60},,,,,
6,up to duck,,3,31,zhuchangjing/zjm_kdy.skel,{x=2450;y=235},{x=2450;y=235},{x=2450;y=235},{x=2450;y=235},{x=2450;y=235},13,,,,130,,,131,Gua？~,呱？~,Gua？~,Gua？~,Gua？~,Ga？！！~,嘎？！！~,Ga？！！~,Ga？！！~,Ga？！！~,,,,,,{x=120;y=0},TRUE,<100105>,{x=3400;y=620},3,
7,ball sea lion,,4,41,zhuchangjing/zjm_qqhs.skel,{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},14,,,,130,,,131,mua~,mua~,mua~,mua~,mua~,,,,,,,,,,,{x=-130;y=50},,,,,
8,pikachu,,4,41,zhuchangjing/zjm_pkq.skel,{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},13,,,,130,,,131,pika,皮卡？~！~,pika,pika,pika,pi,皮 皮卡丘~,pi,pi,pi,pi pi ka,皮？~,pi pi ka,pi pi ka,pi pi ka,{x=-140;y=40},,,,,
9,wood owl,,4,41,zhuchangjing/zjm_mmx.skel,{x=1958;y=424},{x=1958;y=424},{x=1958;y=424},{x=1958;y=424},{x=1958;y=424},13,,,,130,,,131,Yaaaaa~！~,咿呀~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,,,,,,,,,,,{x=-140;y=40},,,,,
10,Patch Leeds,,4,41,zhuchangjing/zjm_pqlz.skel,{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},13,,,,130,,,131,Rua~,略略略~,Rua~,Rua~,Rua~,,,,,,,,,,,{x=80;y=0},TRUE,<100105>,{x=3617;y=372},4,
11,Slowpoke,,5,51,zhuchangjing/zjm_dds.skel,{x=3610;y=648},{x=3610;y=648},{x=3610;y=648},{x=3610;y=648},{x=3610;y=648},12,,,,130,,,131,Wauuuu~~~~~~,嗚哇~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,,,,,,,,,,,,,,,,
12,nonsense tree,,6,61,zhuchangjing/zjm_scg.skel,{x=684;y=326},{x=765;y=326},{x=684;y=326},{x=684;y=326},{x=684;y=326},12,,,,130,,,131,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,,,,,,,,,,,{x=-130;y=50},,,,,
13,Archaeopteryx,,6,61,zhuchangjing/zjm_trq.skel,{x=813;y=581},{x=895;y=581},{x=813;y=581},{x=813;y=581},{x=813;y=581},13,,,,130,,,131,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),,,,,,,,,,,{x=-100;y=-100},,,,,
14,baby bear,,6,61,zhuchangjing/zjm_xbb.skel,{x=551;y=304},{x=630;y=304},{x=551;y=304},{x=551;y=304},{x=551;y=304},13,,,,130,,,131,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),,,,,,,,,,,{x=-100;y=0},,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
