变量名,_beizhu,catalogType,number,name,name_tw,name_en,name_vn,name_kr,contain,content,content_tw,content_en,content_vn,content_kr
默认值,,2,,"""""","""""","""""","""""","""""",<>,"""""","""""","""""","""""",""""""
ID,备注,类型\t1.一级类型\t2.二级类型,序号,目录名称,目錄名稱,目录名称,目录名称,目录名称,包含的二级目录ID,内容,内容,内容,内容,内容
1,,1,1,Battle interface,戰鬥介面,Battle interface,,전투 화면,,"""\t#L00000010#Function button#L00000000#\n\n\t\tAuto battle, switch speed, skip Ult, pause\n\n\t#L00000010#Middle combat area#L00000000#\n\n\t\tPokémon image, HP, anger, current status, buff icon, action bar (including the interpretation of action bar), restraint and resistance on the target, and other information\n\n\t#L00000010#Manual Operation#L00000000#\n\n\t\tThe bottom display shows Pokémon skills being operated, cooldown of the skills and the anger status""","""\t#L00000010#功能按鈕#L00000000#\n\n\t\t自動戰鬥、切換播放速度、大招跳過、暫停\n\n\t#L00000010#中間戰鬥區域#L00000000#\n\n\t\t精靈形象、血量、怒氣、當前狀態、buff圖示、行動條（包括行動條的解讀）、目標身上的克制和抵抗等資訊\n\n\t#L00000010#手動操作下#L00000000#\n\n\t\t底部顯示正在操作的精靈技能、技能的冷卻與怒氣狀況""","""\t#L00000010#Function button#L00000000#\n\n\t\tAuto battle, switch speed, skip Ult, pause\n\n\t#L00000010#Middle combat area#L00000000#\n\n\t\tPokémon image, HP, anger, current status, buff icon, action bar (including the interpretation of action bar), restraint and resistance on the target, and other information\n\n\t#L00000010#Manual Operation#L00000000#\n\n\t\tThe bottom display shows Pokémon skills being operated, cooldown of the skills and the anger status""",,""" #L00000010#기능버튼#L00000000#\n\n  자동 전투, 재생 속도 전환, 필살기 스킵, 일시 정지\n\n #L00000010#중간 전투 구역#L00000000#\n\n  포켓몬 이미지, HP, 분노, 현재 상태, 버프 아이콘, 행동 순서 (행동 순서에 대한 해석 포함), 목표물에 대한 상성 및 저항 등의 정보\n\n #L00000010#수동 모드#L00000000#\n\n  하단에는 조작 중인 포켓몬 스킬, 스킬의 쿨타임 및 분노 현황이 표시된다."""
2,,1,2,Waves and battle rounds,波次和戰鬥回合,Waves and battle rounds,,파 및 전투 라운드,,"""\t#L00000010#Wave#L00000000#\n\n\t\tAfter fighting a wave of enemies in the level battle, load the next wave of enemies\n\n\t\t In Indigo/Cross-server Indigo, change players is the same situation of changing waves\n\n\t#L00000010#Own round#L00000000#\n\n\t\tEach Pokémon's own action represents an own round\n\n\t\tRegular buff effect It is also counted according to its own round\n\n\t#L00000010#big round#L00000000#\n\n\t\tThe battle interface TOPUI shows the big round\n\n\t\tUnder normal circumstances: when all pokémon own round ended, counted as a big round\n\n\t#L00000010#Full round#L00000000#\n\n\t\tThere are round restrictions in battle. After the round is reached, there are different rules according to the gameplay.""","""\t#L00000010#波次#L00000000#\n\n\t\t關卡戰鬥中打完一波怪物，載入下一波怪物\n\n\t\t石英/跨服石英中，換人時為換波次的情況\n\n\t#L00000010#自身回合#L00000000#\n\n\t\t每個精靈自身行動代表一個自身回合\n\n\t\t常規的buff效果也是按照自身回合計數\n\n\t#L00000010#大回合#L00000000#\n\n\t\t戰鬥介面TOPUI顯示大回合\n\n\t\t常規情況下：所有精靈自身當前行動回合全部結束記為一個大回合\n\n\t#L00000010#滿回合#L00000000#\n\n\t\t戰鬥中有回合的限制，達到回合後根據玩法不同有不同的判定規則""","""\t#L00000010#Wave#L00000000#\n\n\t\tAfter fighting a wave of enemies in the level battle, load the next wave of enemies\n\n\t\t In Indigo/Cross-server Indigo, change players is the same situation of changing waves\n\n\t#L00000010#Own round#L00000000#\n\n\t\tEach Pokémon's own action represents an own round\n\n\t\tRegular buff effect It is also counted according to its own round\n\n\t#L00000010#big round#L00000000#\n\n\t\tThe battle interface TOPUI shows the big round\n\n\t\tUnder normal circumstances: when all pokémon own round ended, counted as a big round\n\n\t#L00000010#Full round#L00000000#\n\n\t\tThere are round restrictions in battle. After the round is reached, there are different rules according to the gameplay.""",,""" #L00000010#파#L00000000#\n\n  스테이지 전투에서 한 파의 몬스터를 다 치고 다음 파의 몬스터가 나타날 것이다.\n\n  석영/글로벌 석영 대회에서 출전 포켓몬을 교체 시에는 파가 교환된 상황이다.\n\n #L00000010#자체 라운드#L00000000#\n\n  각 포켓몬의 자신 행동은 자체 라운드 1회를 대표한다.\n\n  일반 버프 효과도 자체 라운드 수에 따라 계산한다.\n\n #L00000010#대 라운드#L00000000#\n\n  전투 화면 TOPUI는 대 라운드를 표시한다.\n\n  일반적으로는 모든 포켓몬 자신의 현재 행동 라운드가 모두 끝날 때 대 라운드 1회를 대표한다. \n\n #L00000010#풀 라운드#L00000000#\n\n  전투 중에는 라운드의 제한이 있으며, 라운드가 되면 플레이 방법에 따라 다른 판정 규칙이 있다."""
3,,1,3,Winning conditions,勝負條件,Winning conditions,,승부 조건,,"""\tRegular battle judgments have these following conditions\n\n\t\t1) The battle round ends\n\n\t\t2) All Pokémons on your side are defeated\n\n\t\t3) The higher HP percentage side wins\n\n\tIn different battle scenes, with different win-loss judging conditions\n\n\t\t1) Main stages, Elite stages, Nightmare stages, Adventure Road, Arena, Friends battle, Aether Paradise, Element Challenge can be judged if condition 1 or condition 2 is met\n\n\t\t2) Event dungeon (coins, EXP, shard, gifts), World BOSS, Holiday Dungeon, etc., meeting condition 1 or condition 2 can judge as the end of the battle (no victory or defeat)\n\n\t\t3) Indigo Conference, Cross-Server Indigo Conference, Guild War, Cross-Server Arena Normally, if condition 2 is met, it will be judged as defeat. When condition 1 is met , Determine the result according to Condition 3\n\n\t\t4) Indigo and Cross-server Indigo's special circumstances: In Indigo and Cross-server Indigo, if both sides have not been defeated after the last round of battle, if both sides HP are higher than 90%, the one that dealt higher damage will win. If one of them has a HP percentage lower than 90%, the one with the higher final HP percentage will win.\n\n\t\t5) Ho-Oh VS Ho-Oh, Lugia VS Lugia, in the situation of a full round, battle result is determined by whether to trigger immunity or resurrection. If one party has triggered, and the other party has not triggered, then victory belongs to player that has not been triggered; none of them have been triggered. Or if both have been triggered, follow other ways of judging the result.""","""\t常規的戰鬥判定有以下幾個條件\n\n\t\t1）戰鬥回合耗盡\n\n\t\t2）己方精靈全部陣亡\n\n\t\t3）血量百分比高的一方勝出\n\n\t不同的戰鬥場景，有不同的勝負判定條件\n\n\t\t1）主線關卡，精英關卡，噩夢關卡，冒險之路，競技場，好友切磋，乙太樂園，元素挑戰中滿足條件1或條件2即可判負\n\n\t\t2）活動副本（金幣，經驗，碎片，禮物），世界BOSS，節日副本等，滿足條件1或條件2即可判定戰鬥結束（不判定勝負）\n\n\t\t3）石英大會，跨服石英大會，公會戰，跨服競技場通常情況下滿足條件2即可判負，滿足1條件時，根據條件3判定勝負\n\n\t\t4）石英和跨服石英的特殊情況下的勝負判定：石英和跨服石英戰鬥滿回合的情況下雙方都未陣亡，若雙方血量都高於90%，則按照造成傷害較高的一方勝出，若其中只要有一方血量百分比低於90%，則按照最終血量百分比較高的一方勝出\n\n\t\t5）鳳王VS鳳王、洛奇亞VS洛奇亞，在滿回合的情況下優先判斷是否觸發過免死或者復活，一方觸發過，一方未觸發過，則判定未觸發過的勝利；都未觸發過或者都觸發過，則遵循其他勝負判斷方式""","""\tRegular battle judgments have these following conditions\n\n\t\t1) The battle round ends\n\n\t\t2) All Pokémons on your side are defeated\n\n\t\t3) The higher HP percentage side wins\n\n\tIn different battle scenes, with different win-loss judging conditions\n\n\t\t1) Main stages, Elite stages, Nightmare stages, Adventure Road, Arena, Friends battle, Aether Paradise, Element Challenge can be judged if condition 1 or condition 2 is met\n\n\t\t2) Event dungeon (coins, EXP, shard, gifts), World BOSS, Holiday Dungeon, etc., meeting condition 1 or condition 2 can judge as the end of the battle (no victory or defeat)\n\n\t\t3) Indigo Conference, Cross-Server Indigo Conference, Guild War, Cross-Server Arena Normally, if condition 2 is met, it will be judged as defeat. When condition 1 is met , Determine the result according to Condition 3\n\n\t\t4) Indigo and Cross-server Indigo's special circumstances: In Indigo and Cross-server Indigo, if both sides have not been defeated after the last round of battle, if both sides HP are higher than 90%, the one that dealt higher damage will win. If one of them has a HP percentage lower than 90%, the one with the higher final HP percentage will win.\n\n\t\t5) Ho-Oh VS Ho-Oh, Lugia VS Lugia, in the situation of a full round, battle result is determined by whether to trigger immunity or resurrection. If one party has triggered, and the other party has not triggered, then victory belongs to player that has not been triggered; none of them have been triggered. Or if both have been triggered, follow other ways of judging the result.""",,""" 일반적인 전투 판정에는 다음과 같은 조건이 있습니다.\n\n  1) 전투 라운드 소진\n\n  2) 아군 포켓몬 모두 사망\n\n  3) HP 퍼센트가 높은 쪽 승리\n\n 전투 장소에 따라 다른 승부 판정 조건이 있다.\n\n  1) 메인 스테이지, 정예 스테이지,악몽 스테이지, 모험의 길, 아레나, 친구 배틀, 에테르파라다이스, 엘리멘탈 챌린지 중에 조건1 또는 조건2를 만족하면 패배로 판정할 수 있다.\n\n  2) 이벤트 던전 (골드, 경험치, 조각, 선물), 월드보스, 기념일 던전 등은 조건1 또는 조건2를 만족하면 전투 종료로 판정할 수 있다(승부 판정 안함).\n\n  3) 석영 대회, 글로벌 석영 대회, 길드전, 글로벌 아레나는 일반적으로 조건2를 만족하면 패배로 판정할 수 있으며, 조건1을 만족 시 조건3에 따라 승부를 판정한다.\n\n  4) 석영 및 글로벌 석영 특수 상황에서의 승부 판정: 석영과 글로벌 석영 전투는 풀 라운드의 상황에서 양측이 모두 사망하지 않았을 경우 쌍방 HP가 모두 90% 이상이면 입힌 피해가 높은 쪽이 승리하며, 이 중 어느 한 쪽만 HP 퍼센트가 90% 미만이면 최종 HP 퍼센트 높은 쪽이 승리한다.\n\n  5) 칠색조VS칠색조, 루기아VS루기아, 풀 라운드가 된 상황에서 죽음면역 또는 부활을 촉발했는지 먼저 판단하여 한쪽이 촉발된 적이 있고 한쪽이 촉발된 적이 없는 경우에는 촉발되지 않은 쪽이 승리로 판정한다. 양측이 촉발된 적이 없거나 촉발된 적이 있다면 다른 방식으로 승부를 판정한다."""
4,,1,4,Anger rules,怒氣規則,Anger rules,,분노의 규칙,,"""\tUnder normal circumstances\n\n\tUpper limit of anger: 1000 points\n\n\tPokémon regular initial anger: 400 points\n\n\tDifferent battle scenes have different initial anger correction rules\n\n \tThere are the following anger-regeneration rules in the battle\n\n\t\t1) Attack anger: Pokémon  casts basic attacks/basic skills to restore its own anger\n\n\t\t2) Anger regenerates when being attacked: Anger restores for each  1 percent of HP lost\n\n\t\t3) Defeat anger reward: Every time the target is defeated, a certain anger reward will be  given to the damage dealer\n\n\t\t4) Combat effect regeneration: Anger regeneration effect of regular Pokémon skills, held items, potential effect\n\n\tAnger regeneration speed will affect the amount of attack anger, HP lost anger, defeat anger, Combat effect anger""","""\t常規情況下\n\n\t怒氣上限：1000點\n\n\t精靈常規初始怒氣：400點\n\n\t不同戰鬥場景有不同的初始怒氣修正規則\n\n\t戰鬥中有以下回怒機制\n\n\t\t1）攻擊怒氣：精靈發動普攻/小技能可恢復自身怒氣\n\n\t\t2）受擊扣血回怒：每損失百分之一的血量恢復的怒氣值\n\n\t\t3）擊殺怒氣獎勵：每次擊殺目標時，給予傷害來源者一定怒氣獎勵\n\n\t\t4）戰鬥效果回怒：常規的精靈技能、攜帶道具、潛能效果等的回怒效果\n\n\t怒氣恢復速度均會影響攻擊怒氣、受擊扣血回怒、擊殺怒氣獎勵、戰鬥效果回怒""","""\tUnder normal circumstances\n\n\tUpper limit of anger: 1000 points\n\n\tPokémon regular initial anger: 400 points\n\n\tDifferent battle scenes have different initial anger correction rules\n\n \tThere are the following anger-regeneration rules in the battle\n\n\t\t1) Attack anger: Pokémon  casts basic attacks/basic skills to restore its own anger\n\n\t\t2) Anger regenerates when being attacked: Anger restores for each  1 percent of HP lost\n\n\t\t3) Defeat anger reward: Every time the target is defeated, a certain anger reward will be  given to the damage dealer\n\n\t\t4) Combat effect regeneration: Anger regeneration effect of regular Pokémon skills, held items, potential effect\n\n\tAnger regeneration speed will affect the amount of attack anger, HP lost anger, defeat anger, Combat effect anger""",,""" 일반적인 상황\n\n 분노치 상한: 1000\n\n 포켓몬 일반 초기 분노치: 400\n\n 전투 장소에 따라 다른 초기 분노 수정 규칙이 있다.\n\n 전투에서 다음과 같은 분노 회복 시스템이 있다.\n\n  1) 공격 분노: 포켓몬이 일반 공격/일반 스킬로 자신의 본노를  회복할 수 있다.\n\n  2) 공격을 받고 HP 감소하여 분노 회복: 매 1퍼센트의 HP를 손실하여 회복되는 분노치.\n\n  3) 격살 분노치 보상: 매번 목표물을 격살할 때마다 일정한 분노치 보상을 지급한다.\n\n  4) 전투 효과 분노 회복: 포켓몬 일반 스킬, 휴대 아이템, 잠재력 효과 등의 분노 회복 효과.\n\n 분노 회복 속도는 분노 공격, 공격을 받고 HP 감소하여 분노 회복, 격살 분노치 보상, 전투 효과 분노 회복에 영향을 줄 수 있다."""
5,,1,5,Pokémon skills,精靈技能,Pokémon skills,,포켓몬 스킬,,"""\t#L00000010#Active Skill#L00000000#\n\n\t\tBasic Attack: Normally, unconditionally restricted\n\n\t\tBasic Skill: Cooldown round restriction\n\n\t\tUltimate skills: When in full anger, you can release Ultimate skill. After releasing it, you can consume all your own anger.\n\n\t#L00000010#Passive skills#L00000000#\n\n\t\t Passive skills of Pokémon itself: aura skills, regular passive skills\n\n\t\tExplorer, held item, potential, image skills, special scene effects, etc.\n\n\tIf Pokémon is under control, there will be a disabled mark indicating that Pokémon cannot use certain Skills\n\n\tIf all active skills of Pokémon are not available, skip the current action round\n\n\tThe buffs or debuffs given to Pokémons by the aura can not be dispelled by the dispelling buffs or dispelling debuffs , The effect given by the holder of the aura skills will disappear after being defeated.\n\n\tPVP damage bonus and PVP damage reduction are only effective in PvP feature, friend battles, etc.\n\n\tThe trigger rounds/times restriction of Orange held item, are accumulative  in solo feature(Indigo Conference, Cross-Server Indigo, some stage feature, wave changing does not refresh), changing waves in stages or cross-server arena feature will refreshes affect rounds or effect attempts""","""\t#L00000010#主動技能#L00000000#\n\n\t\t普通攻擊：通常情況下無條件限制\n\n\t\t小技能：有冷卻回合\n\n\t\t必殺技：滿怒時可釋放必殺技，釋放後消耗自身全部怒氣值\n\n\t#L00000010#被動技能#L00000000#\n\n\t\t精靈自身的被動技能：光環技、常規被動技能\n\n\t\t探險器、攜帶道具、潛能、形象技能、特殊場景效果等\n\n\t若精靈處於控制狀態下，則會有禁用標記說明精靈無法使用某個技能\n\n\t若精靈當前所有主動技能都不可使用則跳過當前自身行動回合\n\n\t光環技賦予精靈的增益效果或者減益效果無法被驅散增益或者驅散減益所驅散，光環技的添加者死亡後賦予的效果將會消失\n\n\tPVP傷害加成、PVP傷害減免僅在競技玩法、好友對戰等玩法中生效\n\n\t橙色攜帶道具的大回合生效和次數生效限制，在單挑模式（石英大會、跨服石英大會、部分關卡玩法）玩法下全場累計（換波次不刷新），在關卡和跨服競技場玩法換波次會重新計算生效回合或者生效次數""","""\t#L00000010#Active Skill#L00000000#\n\n\t\tBasic Attack: Normally, unconditionally restricted\n\n\t\tBasic Skill: Cooldown round restriction\n\n\t\tUltimate skills: When in full anger, you can release Ultimate skill. After releasing it, you can consume all your own anger.\n\n\t#L00000010#Passive skills#L00000000#\n\n\t\t Passive skills of Pokémon itself: aura skills, regular passive skills\n\n\t\tExplorer, held item, potential, image skills, special scene effects, etc.\n\n\tIf Pokémon is under control, there will be a disabled mark indicating that Pokémon cannot use certain Skills\n\n\tIf all active skills of Pokémon are not available, skip the current action round\n\n\tThe buffs or debuffs given to Pokémons by the aura can not be dispelled by the dispelling buffs or dispelling debuffs , The effect given by the holder of the aura skills will disappear after being defeated.\n\n\tPVP damage bonus and PVP damage reduction are only effective in PvP feature, friend battles, etc.\n\n\tThe trigger rounds/times restriction of Orange held item, are accumulative  in solo feature(Indigo Conference, Cross-Server Indigo, some stage feature, wave changing does not refresh), changing waves in stages or cross-server arena feature will refreshes affect rounds or effect attempts""",,""" #L00000010#액티브 스킬#L00000000#\n\n  일반공격: 보통 조건 제한이 없다\n\n  일반 스킬: 쿨타임이 있다\n\n  필살기: 분노치가 가득 차야만 발동 가능, 발동 후 자신의 분노치를 전부 소모한다\n\n #L00000010#패시브 스킬#L00000000#\n\n  포캣몬 자신의 패시브 스킬: 아우라 스킬, 일반 패시브 스킬\n\n  탐지기, 휴대 아이템, 잠재력, 아바타 스킬, 특수 지역 효과 등\n\n 포켓몬이 제어 상태가 될 시, 사용 불가능한 스킬은 금지표식으로 표시 된다\n\n 만약 포켓몬의 모든 스킬이 사용 불가일 시 해당 보켓몬의 턴은 자동으로 건너뛰게 된다\n\n 아우라 스킬로 부가한 버프 혹은 디버프 효과는 디스펠 불가, 아우라 스킬 사용자가 사망 후 부가한 효과가 사라진다.\n\n PVP피해 보너스, PVP피해 감소는 아레나 전투, 친구 도전 등 플레이에서 유효하다.\n\n 주황색 휴대 아이템의 라운드 발동과 횟수 발동 제한은 1대1 모드(석영 대회, 글로벌 석영 대회, 일부 스테이지)에서 전체 계산(파 교환 시 리셋 하지 않음), 스테이지와 아레나 석영 대회 중 파 교환 시 발동 라운드 혹은 발동 횟수를 다시 계산한다."""
6,,1,6,Special effect & moves,特殊效果行為,Special effect & moves,,특수 효과 행위,<601;602;603;604;605;606;607;608;609;610;611;612>,"""\tThere are some special effect behaviors in the game, such as: resurrection, ally resurrection, avoid death, transformation, synaesthesia, stealth, etc.""","""\t遊戲中有一些特殊的效果行為例如：復活、復活隊友、免死、變身、通感、隱身等""","""\tThere are some special effect behaviors in the game, such as: resurrection, ally resurrection, avoid death, transformation, synaesthesia, stealth, etc.""",,""" 게임에서 부활, 아군 부활, 죽음 면역, 변신, 공감각, 은신 등 특수 효과 행위가 있다."""
7,,1,7,Control effect,控制效果,Control effect,,제어 효과,<701;702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719>,"""\tThe regular control effects in battle are divided into\n\n\tStun, Stoned, Frozen, Tangled, Silence, Paralysis, Confuse, Charm, Provoke, Taunt, Sleep, Deep sleep, Nightmare, Binded, Slimy, Black Hole, Blow off, Diamond Seal, Transported, etc.\n\n\tThe special control effects are divided into Blow off, Diamond Seal, Transported, etc., which cannot be dispelled.\n\n\tThe dominant control effects include Black Holes, Transported, etc.""","""\t戰鬥中的常規控制效果分為\n\n\t眩暈、石化、冰凍、纏繞、沉默、麻痹、混亂、魅惑、挑釁、嘲諷、睡眠、深度睡眠、夢魘、束縛、黏液、黑洞、吹飛、鑽石封印、傳送等\n\n\t其中特殊控制效果分為吹飛、鑽石封印、傳送等，不可被驅散\n\n\t支配性控制效果有黑洞、傳送等""","""\tThe regular control effects in battle are divided into\n\n\tStun, Stoned, Frozen, Tangled, Silence, Paralysis, Confuse, Charm, Provoke, Taunt, Sleep, Deep sleep, Nightmare, Binded, Slimy, Black Hole, Blow off, Diamond Seal, Transported, etc.\n\n\tThe special control effects are divided into Blow off, Diamond Seal, Transported, etc., which cannot be dispelled.\n\n\tThe dominant control effects include Black Holes, Transported, etc.""",,""" 전투 중의 일반 제어 효과는 기절, 석화, 얼음, 휘감기, 침묵, 마비, 혼란, 유혹, 도발, 조롱, 수면, 심층 수면, 나이트메어, 속박, 해감액, 블랙홀, 날려버리기, 다이아 봉인, 공간이동 등이 있고 \n\n  그중 특수 제어 효과는 날려버리기, 다이아 봉인, 공간이동 등으로 디스펠이 불가능 하고 \n\n  지배성 제어효과는 블랙홀, 공간이동 등이 있다"""
8,,1,8,Negative effect,負面效果,Negative effect,,디버프 효과,<801;802;803;804;805;806;807;808;809;810>,"""\tNegative effects in battle can be divided into debuff effects and continuous negative effects, etc., which can be dispelled\n\n\tDebuff effects: status reduction debuff effects, Blind, Heal reduction, Heal immune, Cringe\n\nContinuous negative effects: burning, poisoning, bleeding, tearing, etc.\n\n\tDragon negative: dealt by the first type or second type that is Dragon type Pokémon""","""\t戰鬥中的負面效果可以分為減益效果和持續性負面效果等，可被驅散\n\n\t減益效果：屬性降低類減益效果、致盲、降療、禁療、畏縮\n\n持續性負面效果：灼燒、中毒、流血、撕裂等\n\n\t龍系負面：第一屬性或者第二屬性為龍系的精靈所添加的負面效果""","""\tNegative effects in battle can be divided into debuff effects and continuous negative effects, etc., which can be dispelled\n\n\tDebuff effects: status reduction debuff effects, Blind, Heal reduction, Heal immune, Cringe\n\nContinuous negative effects: burning, poisoning, bleeding, tearing, etc.\n\n\tDragon negative: dealt by the first type or second type that is Dragon type Pokémon""",,""" 존투 중의 디버프 효과는 일반 디버프 효과와 지속 디버프 효과 등이 있고, 디스펠가능 \n\n  이버프 효과: 속성 감소 디버프 효과, 실명, 치료 감소, 치료 불가, 풀죽음 \n\n 지속 디버프 효과: 연소, 맹독, 출혈, 크러시 등 \n\n  드래곤 타입 디버프: 첫번째 타입 혹은 두번째 타입이 드래곤 타입인 포켓몬이 부가 하는 디버프 효과"""
