变量名,name,_desc,value,valueArray
默认值,"""""","""""",0,<>
ID,变量名,本字段专供策划参考,常量值,常量数组
1,drawCardCostPrice,Diamond draw single draw consumption,200,
2,draw10CardCostPrice,Consumption of 10 consecutive diamond draws,1800,
3,drawGoldCostPrice,Consumption of gold coin draw card single draw,20000,
4,draw10GoldCostPrice,Consumption of 10 consecutive draws of gold coins,180000,
5,drawGoldFreeLimit,Daily free gold coin single draw times,5,
6,drawGoldFreeRefreshDuration,Free gold coin single draw time interval (seconds),600,
7,dropEquipStarNeedRmb,Jewelry drop star consumes diamonds,30,
8,trainerAttrSkillsResetRMB,Trainer attribute skill reset consumes diamonds,200,
9,heldItemExpNeedGold,The gold coins required for each experience point of carrying props,50,
10,effortSwapCostRmb,Elves' effort value inheritance consumes diamonds,100,
11,nvalueSwapCostRmb,The elf individual value inheritance consumes diamonds,100,
12,characterSwapCostRmb,Elf character inheritance consumes diamonds,100,
13,dispatchTaskRefreshCostRMB,Dispatch tasks to refresh the unit price and consume diamonds,10,
14,dispatchTaskDoneAtOnceCostRMB,Dispatch tasks to complete immediately Time Price (Diamonds),2,
15,dispatchTaskDoneAtOnceSecond,Immediate completion time unit of the dispatch task (seconds),300,
16,staminaBuyRecover,Physical power purchase increase value,120,
17,cardBagCapacity,Initial card backpack capacity,150,
18,cardBagCapacityIncrease,The capacity of the card backpack is increased by one purchase,10,
19,unionTrainingSpeedUpGold,Guild training center accelerates the gold coins you get,20000,
20,cardRenameRMBCost,Modify card name diamond consumption,20,
21,unionRenameRMBCost,Modify Guild Name Diamond Consumption,500,
22,unionCreateRMBCost,Create Guild Diamond Consumption,300,
23,stashCardMailCountMax,Maximum number of temporary emails,50,
24,rebirthRetrunProportion1,Regenerated materials return to scale 1,1,
25,rebirthRetrunProportion2,Breakdown material returns scale 2,1,
26,rebirthRetrunProportion3,Bring props back to scale 3,1,
27,rebirthRMBCostLimit,Rebirth diamond consumption cap,100,
28,heldItemRebirthRMBCostLimit,The upper limit of diamond consumption for rebirth with props,50,
29,rebirthRMBCostByGold,Diamond consumption unit for respawn to gain gold coins,20000,
30,citySpriteBaibianProbability,Probability of Ditto triggering in the main city scene (100 is the denominator),10,
31,citySpriteBaibianCD,Dittomon trigger CD in the main city scene (seconds),600,
32,citySpriteBaibianPeriodDay,Ditto cycle time in the main city scene (days),3,
33,citySpriteBaibianTimeMax,The maximum number of times rewards can be claimed in the Dittoman cycle of the main city scene,1,
34,citySpriteMiniQProbability,Probability of triggering puzzle quasi-Q in the main city scene (100 is the denominator),10,
35,citySpriteMiniQCD,Mysterious Q trigger CD in the main city scene (seconds),600,
36,citySpriteMiniQPeriodDay,Main city scene enigma Q cycle time (days),1,
37,citySpriteMiniQTimeMax,The maximum number of times rewards can be collected in the main city scene puzzle Q cycle,1,
38,citySpriteMax,The maximum number of sprites in the main city scene,20,
39,drawItemCostPrice,Treasure hunt single draw consumption,160,
40,draw5ItemCostPrice,Treasure hunt 5 consecutive draw consumption,680,
41,unionCreateNeedVip,VIP level required to create a guild,0,
42,talentResetCost,talent reset consumption,80,
43,drawEquipCostPrice,Jewelry card draw single draw consumes diamonds,80,
44,draw10EquipCostPrice,Jewelry drawing card 10 consecutive draws consume diamonds,680,
45,cardRebirthRMBCostMin,Card rebirth diamond consumption minimum value,20,
46,heldItemRebirthRMBCostMin,The minimum consumption of diamonds for rebirth with props,20,
47,unionRobRedpacketDailyLimit,Guild members' red envelopes can grab the upper limit of times per day (excluding system red envelopes),40,
48,newbieUnionQuitProtectDays,New number of free guild building CD days (refresh at 5 points),2,
49,randomTowerBoxLimit1,Trial ordinary treasure chests add a limit on the number of consumption,0,
50,randomTowerBoxLimit2,Trial Deluxe Treasure Chest adds consumption limit,5,
51,craftBetNormalGold,Time-limited PVP ordinary betting amount,60000,
52,craftBetAdvanceGold,Time-limited PVP advanced betting limit,200000,
53,shareTimesLimit,Various share limits,5,
54,equipShopRefreshDays,Accessory store refresh days,5,
55,universalFragGeneral,Ordinary universal fragment identification,502,
56,universalFragSpecial,Divine Beast Universal Fragment Logo,521,
57,universalFragSwitch,Universal Fragment Ratio,3,
58,cloneRobotTime,Time limit for elemental challenge bots to appear (minutes),120,
59,cloneRobotRefreshTime,How long before the end of the elemental challenge can a robot appear immediately (minutes),360,
60,dropEquipAwakeNeedRmb,Jewelry Awakening Downgrading Consumes Diamonds,30,
61,rebirthRetrunProportion4,Carry props universal props return scale 4,1,
62,unionFragDonateTimes,The number of times the guild shards can be given per day,3,
63,unionFragDonateSingleMaxTimes,Guild shards can be given to the same wish every day at most,1,
64,unionFightBetNormalGold,Guild Wars Normal Betting Amount,60000,
65,unionFightBetAdvanceGold,Guild Wars Advanced Bet Limits,200000,
66,unionFightLastWinRolePoint,The guild points for the final victory in the guild battle qualifiers,10,
67,rebirthRetrunProportion5,Card Rebirth Skill Point Return Ratio,1,
68,skillPointLimitMax,Maximum Skill Points,2000,
69,autoSilentDuration,Automatic mute time (seconds),3600,
70,autoSilentSameNum,Automatically ban the number of the same text,7,
71,chatSilent,Full service ban,0,
72,unionCreateNeedGateStar,Level star rating required for creating a guild,35,
73,gemRebirthRetrunProportion,gem respawn return scale,1,
74,gemRebirthRMBCostLimit,Gem Rebirth Diamond Consumption Cap,10,
75,unionFubenMaxDamageMultiple,The maximum damage multiplier of the guild instance,400,
76,cardStarSkillResetCostRMB,Card full of stars skill reset consumes diamonds,100,
77,endlessCheatSilent,Adventure Road cheat limit time (seconds),10800,
78,gemRebirthRMBCostMin,Gem Rebirth Diamond Consumption Lower Limit,0,
79,drawGemCostPrice,Gem Diamond Single Draw Consumption,98,
80,draw10GemCostPrice,Gems and Diamonds Ten Consumption Consumption,880,
81,drawGemGoldCostPrice,Gem coin single draw consumption,60000,
82,draw10GemGoldCostPrice,Ten consecutive consumption of gems and gold coins,500000,
83,pvpPassCostRmb,Arena crushing 5 times fixed consumption of diamonds,30,
84,worldBossMaxDamageMultiple,World Boss maximum damage multiplier,500,
85,feelSwapCostRmb,The favorability of elves inherits the consumption of diamonds,100,
86,rebirthRetrunProportion6,Ultimate skill point return ratio 4,1,
87,fishingDailyTimes,Fishing times per day,20,
88,crossArenaPassCostRmb,Cross-service arena rolling 5 times fixed consumption of diamonds,30,
89,fishingLowestWaitTimes,Minimum waiting time for fishing,3,
90,megaCommonConvertTimes,Keystone conversion restores a fixed amount every day,10,
91,megaConvertTimes,Evolution stone conversion restores a fixed amount every day,10,
92,fishingAutoDuration,How often does automatic fishing trigger once,120,
93,gymBattleTimes,The daily number of successful challenges in the Gym,10,
