变量名,service,_comment,seqParam,mapParam
默认值,,,<>,{}
ID,服务名,note,序列参数,字典参数
1,pvpshop_refresh_cost,Arena store refresh cost,<20;30;50;50;80;80;100>,
2,pvppw_buy_cost,Number of qualifying purchases,<10;15;20;30;40;55;70;85;100>,
3,stamina_buy_cost,Purchase stamina times,<50;50;100;100;100;100;200;200;200;400;400;800;800;1000;1200;1500;2000>,
4,herogate_buy_cost,Reset the number of elite levels,<30;100;150;200;300>,
5,pvppw_cd_buy_cost,Reset qualifying cooldown,<10;10;20>,
6,lianjin_cost,Daily Alchemy Consumption,<0;0;0;10;10;20;20;20;30;30;30;30;30;40;40;40;40;40;50;50;50;50;50;60;60;60;60;60;70;70;70;70;70;80;80;80;80;80;90;90;90;90;90;100;100;100;100;100;110;110;110;110;110;120;120;120;120;120;130;130;130;130;130;140;140;140;140;140;150;150;150;150;150;160;160;160;160;160;170;170;170;170;170;180;180;180;180;180;190;190;190;190;190;200;200;200;200;200;210;210;210;210;210;220;220;220;220;220;230;230;230;230;230;240;240;240;240;240;250;250;250;250;250;260;260;260;260;260;270;270;270;270;270;280;280;280;280;280;290;290;290;290;290;300;300;300;300;300;310;310;310;310;310;320;320;320;320;320;330;330;330>,
7,lianjin_gold_rate,Alchemy is modified by the number of times,<1;1.005;1.01;1.015;1.02;1.025;1.03;1.035;1.04;1.045;1.05;1.055;1.06;1.065;1.07;1.075;1.08;1.085;1.09;1.095;1.1;1.105;1.11;1.115;1.12;1.125;1.13;1.135;1.14;1.145;1.15;1.155;1.16;1.165;1.17;1.175;1.18;1.185;1.19;1.195;1.2;1.205;1.21;1.215;1.22;1.225;1.23;1.235;1.24;1.245;1.25;1.255;1.26;1.265;1.27;1.275;1.28;1.285;1.29;1.295;1.3;1.305;1.31;1.315;1.32;1.325;1.33;1.335;1.34;1.345;1.35;1.355;1.36;1.365;1.37;1.375;1.38;1.385;1.39;1.395;1.4;1.405;1.41;1.415;1.42;1.425;1.43;1.435;1.44;1.445;1.45;1.455;1.46;1.465;1.47;1.475;1.48;1.485;1.49;1.495;1.5;1.505;1.51;1.515;1.52;1.525;1.53;1.535;1.54;1.545;1.55;1.555;1.56;1.565;1.57;1.575;1.58;1.585;1.59;1.595;1.6;1.605;1.61;1.615;1.62;1.625;1.63;1.635;1.64;1.645;1.65;1.655;1.66;1.665;1.67;1.675;1.68;1.685;1.69;1.695;1.7;1.705;1.71;1.715;1.72;1.725;1.73;1.735;1.74;1.745;1.75;1.755;1.76;1.765;1.77;1.775;1.78;1.785;1.79;1.795>,
8,fixshop_refresh_cost,Fixed shop refresh cost,<20;30;50;50;80;80;100>,
9,unionshop_refresh_cost,Guild store refresh consumption,<20;30;50;50;80;80;100>,
10,skill_point_buy_cost,Purchase skill points,<20;20;20;30;30;30;50;50;50;100>,
11,pvp_enermys_fresh_cost,Change a batch of consumption in the arena,<0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;5;5;5;5;5;10;10;10;20>,
12,luckyegg_cost,Guild gashapon game consumption,<10;10;20;20;30;30;30;40;40;40;50>,
13,mysteryshop_refresh_cost,Mystery shop refresh consumption,<100>,
14,cardbag_buy_cost,Card backpack corresponding number of purchase consumption,<20;20;20;50;50;50;100;100;100;150;150;150;150;150;150;200;200;200;200;200;200;250;250;250;250;250;250;300;300;300;300;300;300;400;400;400;400;400;400;500;500;500;500;500;500>,
15,rename_cost,Rename consumption,<0;50;100;200;200;500>,
101,sign_in_buy,Supplementary visa,<0;0;0;10;20;30;50;50;50;100;100;100;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200>,
102,explorershop_refresh_cost,Treasure hunt store refresh consumption,<20;30;50;50;80;80;100>,
103,fragshop_refresh_cost,Fragment store refresh consumption,<20;30;50;50;80;80;100>,
104,random_tower_box_cost1,Trial Common Treasure Chest Added,<10;20;40;80;80;120;200>,
105,random_tower_box_cost2,Trial luxury treasure chest added,<10;10;20;20;40;40;40;40;40;40>,
106,randomTowerShop_refresh_cost,Random tower shop refresh cost,<20;30;50;50;80;80;100>,
107,clone_box_draw_cost,Elemental Experiment Opening Treasure Chest Diamond Consumption,<50>,
108,endless_tower_reset_times_cost,Adventure Road reset times consumption,<0;150>,
109,world_boss_buy_cost,World boss purchase times,<50;100>,
110,cross_arena_fresh_cost,The cost of changing opponents across server arenas,<0;0;0;0;0;5000;5000;5000;5000;5000;7500;7500;7500;7500;7500;10000>,
111,cross_arena_pw_buy_cost,Cross-server arena qualifying purchases,<10;15;20;30;40;55;70;85;100>,
112,fishingshop_refresh_cost,Fishing shop refresh consumption,<20;30;50;50;80;80;100>,
113,mega_item_convert_cost,super stone conversion consumption,<50;100;200>,
114,mega_commonitem_convert_cost,Keystone conversion consumption,<50;100;200>,
115,gym_talent_point_buy_cost,Gym challenge bonus points purchase consumption,<20;30;50;100;100>,
116,gym_battle_buy_cost,Gym dungeon challenge purchase consumption,<20;30;50;100;100>,
117,gym_talent_reset_cost,Gym Talent Reset Consumption,<20;50;100;100>,
118,figure_skill_unlock_cost,Image skill slot unlock consumption,<500;1000>,
119,equip_drop_cost,Ornament downgrade consumption,<10;20;30;40;50>,
120,cross_mine_rob_buy_cost,Buy grabs,<10;20;30;50;50;70;70;100;100;200;200;200;400;400;400;800>,
121,cross_mine_revenge_buy_cost,Buy Revenge Count,<10;20;30;50;50;70;70;100;100;200;200;200;400;400;400;800>,
122,cross_mine_boss_buy_cost,Purchase of cross-server resource battle Boss challenges,<10;20;30;50;100;100>,
123,cross_mine_enemy_fresh_cost,Cross-server resource battle for a batch of consumption,<0;0;0;0;0;500;500;500;500;500;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;5000>,
124,union_qa_buy_cost,Consumption of guild question and answer purchase times,<50>,
125,play_passport_buy_cost2,Game pass level purchase times consumption Daily task activity,<50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;200;200;200;200;200;200;200>,
126,play_passport_buy_cost3,The number of purchases of the play pass level consumes the number of layers of ether paradise,<50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;200;200;200;200;200;200;200>,
127,play_passport_buy_cost4,"The number of purchases of the game pass level is consumed, and the cumulative completion times of the Gym Dungeon",<50;50;50;50;50;75;75;75;75;75;100;100;100;100;100;100;100;100;100;100;150>,
128,hunting_box_cost,The Expedition Treasure Chest consumes part of the times,<30;50>,
129,draw_card_up_change_cost,Consumption of optional limited number of drawing card switching times,<0;50;100;200>,
