变量名,rankMax,award,award_kr,award_en,award_tw,version
默认值,,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,0
ID,最大排名,排名奖励,排名奖励,排名奖励,排名奖励,奖励版本
1,1,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;150;{6005=6;21271=1;502=1;gold=100000}>>,<<1;150;{6005=6;21271=1;502=1;gold=100000}>>,
2,2,<<1;72;{6005=5;21271=1;502=1;gold=90000}>;<73;150;{6007=5;21271=1;502=1;gold=90000;112=90}>>,<<1;72;{6005=5;21271=1;502=1;gold=90000}>;<73;150;{6007=5;21271=1;502=1;gold=90000;112=90}>>,<<1;150;{6005=5;21271=1;502=1;gold=90000}>>,<<1;150;{6005=5;21271=1;502=1;gold=90000}>>,
3,3,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;150;{6005=5;21891=1;502=1;gold=80000}>>,<<1;150;{6005=5;21891=1;502=1;gold=80000}>>,
4,4,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=75}>>,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=75}>>,<<1;150;{6005=4;21891=1;502=1;gold=80000}>>,<<1;150;{6005=4;21891=1;502=1;gold=80000}>>,
5,8,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;150;{6005=3;951=1;6006=1;gold=70000}>>,<<1;150;{6005=3;951=1;6006=1;gold=70000}>>,
6,16,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;150;{6005=2;950=1;6006=1;gold=60000}>>,<<1;150;{6005=2;950=1;6006=1;gold=60000}>>,
7,32,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;150;{6005=1;950=1;6006=1;gold=60000}>>,<<1;150;{6005=1;950=1;6006=1;gold=60000}>>,
8,127,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;150;{6006=2;950=1;gold=50000}>>,<<1;150;{6006=2;950=1;gold=50000}>>,
9,9999,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;150;{6006=2;gold=50000}>>,<<1;150;{6006=2;gold=50000}>>,
,,,,,,
101,1,<<1;72;{6005=7;21271=1;502=1;gold=120000}>;<73;150;{6007=7;21271=1;502=1;gold=120000;112=110}>>,<<1;72;{6005=7;21271=1;502=1;gold=120000}>;<73;150;{6007=7;21271=1;502=1;gold=120000;112=110}>>,<<1;150;{6005=7;21271=1;502=1;gold=120000}>>,<<1;150;{6005=7;21271=1;502=1;gold=120000}>>,101
102,2,<<1;72;{6005=6;21271=1;502=1;gold=110000}>;<73;150;{6007=6;21271=1;502=1;gold=110000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=110000}>;<73;150;{6007=6;21271=1;502=1;gold=110000;112=100}>>,<<1;150;{6005=6;21271=1;502=1;gold=110000}>>,<<1;150;{6005=6;21271=1;502=1;gold=110000}>>,101
103,3,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;150;{6005=6;21271=1;502=1;gold=100000}>>,<<1;150;{6005=6;21271=1;502=1;gold=100000}>>,101
104,4,<<1;72;{6005=5;21271=1;502=1;gold=100000}>;<73;150;{6007=5;21271=1;502=1;gold=100000;112=90}>>,<<1;72;{6005=5;21271=1;502=1;gold=100000}>;<73;150;{6007=5;21271=1;502=1;gold=100000;112=90}>>,<<1;150;{6005=5;21271=1;502=1;gold=100000}>>,<<1;150;{6005=5;21271=1;502=1;gold=100000}>>,101
105,5,<<1;72;{6005=5;21891=1;502=1;gold=90000}>;<73;150;{6007=5;21891=1;502=1;gold=90000;112=90}>>,<<1;72;{6005=5;21891=1;502=1;gold=90000}>;<73;150;{6007=5;21891=1;502=1;gold=90000;112=90}>>,<<1;150;{6005=5;21891=1;502=1;gold=90000}>>,<<1;150;{6005=5;21891=1;502=1;gold=90000}>>,101
106,6,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;150;{6005=5;21891=1;502=1;gold=80000}>>,<<1;150;{6005=5;21891=1;502=1;gold=80000}>>,101
107,8,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=70}>>,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=70}>>,<<1;150;{6005=4;21891=1;502=1;gold=80000}>>,<<1;150;{6005=4;21891=1;502=1;gold=80000}>>,101
108,12,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;150;{6005=3;951=1;6006=1;gold=70000}>>,<<1;150;{6005=3;951=1;6006=1;gold=70000}>>,101
109,16,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;150;{6005=2;950=1;6006=1;gold=60000}>>,<<1;150;{6005=2;950=1;6006=1;gold=60000}>>,101
110,32,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;150;{6005=1;950=1;6006=1;gold=60000}>>,<<1;150;{6005=1;950=1;6006=1;gold=60000}>>,101
111,127,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;150;{6006=2;950=1;gold=50000}>>,<<1;150;{6006=2;950=1;gold=50000}>>,101
112,9999,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;150;{6006=2;gold=50000}>>,<<1;150;{6006=2;gold=50000}>>,101
