变量名,levelRange
默认值,
天数ID,角色等级区间
1,<30;35>
2,<30;35>
3,<30;35>
4,<30;35>
5,<30;35>
6,<30;35>
7,<30;35>
8,<30;35>
9,<30;35>
10,<30;35>
11,<31;36>
12,<32;37>
13,<33;38>
14,<34;39>
15,<35;40>
16,<36;41>
17,<37;42>
18,<38;43>
19,<39;44>
20,<40;45>
21,<41;46>
22,<41;46>
23,<42;47>
24,<42;47>
25,<43;48>
26,<43;48>
27,<44;49>
28,<44;49>
29,<45;50>
30,<45;50>
31,<46;51>
32,<46;51>
33,<47;52>
34,<47;52>
35,<48;53>
36,<48;53>
37,<49;54>
38,<49;54>
39,<50;55>
40,<50;55>
41,<50;55>
42,<51;56>
43,<51;56>
44,<51;56>
45,<52;57>
46,<52;57>
47,<52;57>
48,<53;58>
49,<53;58>
50,<53;58>
51,<54;59>
52,<54;59>
53,<54;59>
54,<55;60>
55,<55;60>
56,<55;60>
57,<56;61>
58,<56;61>
59,<56;61>
60,<57;62>
61,<57;62>
62,<57;62>
63,<58;63>
64,<58;63>
65,<58;63>
66,<59;64>
67,<59;64>
68,<59;64>
69,<60;65>
70,<60;65>
71,<60;65>
72,<60;65>
73,<61;66>
74,<61;66>
75,<61;66>
76,<61;66>
77,<62;67>
78,<62;67>
79,<62;67>
80,<62;67>
81,<63;68>
82,<63;68>
83,<63;68>
84,<63;68>
85,<64;69>
86,<64;69>
87,<64;69>
88,<64;69>
89,<65;70>
90,<65;70>
91,<65;70>
92,<65;70>
93,<66;71>
94,<66;71>
95,<66;71>
96,<66;71>
97,<67;72>
98,<67;72>
99,<67;72>
100,<67;72>
101,<68;73>
102,<68;73>
103,<68;73>
104,<68;73>
105,<69;74>
106,<69;74>
107,<69;74>
108,<69;74>
109,<70;75>
110,<70;75>
111,<70;75>
112,<70;75>
113,<70;75>
114,<71;76>
115,<71;76>
116,<71;76>
117,<71;76>
118,<71;76>
119,<72;77>
120,<72;77>
121,<72;77>
122,<72;77>
123,<72;77>
124,<73;78>
125,<73;78>
126,<73;78>
127,<73;78>
128,<73;78>
129,<74;79>
130,<74;79>
131,<74;79>
132,<74;79>
133,<74;79>
134,<75;80>
135,<75;80>
136,<75;80>
137,<75;80>
138,<75;80>
139,<76;81>
140,<76;81>
141,<76;81>
142,<76;81>
143,<76;81>
144,<77;82>
145,<77;82>
146,<77;82>
147,<77;82>
148,<77;82>
149,<78;83>
150,<78;83>
151,<78;83>
152,<78;83>
153,<78;83>
154,<79;84>
155,<79;84>
156,<79;84>
157,<79;84>
158,<79;84>
159,<80;85>
160,<80;85>
161,<80;85>
162,<80;85>
163,<80;85>
164,<80;85>
165,<80;85>
166,<80;85>
167,<80;85>
168,<80;85>
169,<81;86>
170,<81;86>
171,<81;86>
172,<81;86>
173,<81;86>
174,<81;86>
175,<81;86>
176,<81;86>
177,<81;86>
178,<81;86>
179,<82;87>
