变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,sweet ice water,{11=5},{coin6=1500},5,12,,,,,,,,<>
2,refreshing soda,{12=10},{coin6=300},,,,,,,,,,<>
3,delicious water,{13=5},{coin6=1500},,,,,,,,,,<>
4,moo moo milk,{14=10},{coin6=600},,,,,,,,,,<>
5,juice milk,{15=5},{coin6=900},,,,,,,,,,<>
6,tree juice,{16=10},{coin6=1000},,,,,,,4,1,,<>
7,magic capsule,{19=5},{coin7=900},,,,,,,3,1,,<>
8,potential device,{800=3},{coin7=600},,,,,,,2,1,,<>
9,Xi Ziyi's token,{2209=1},{coin7=20000},,,,,,,1,1,,<>
10,Primary Favorability Gift Box,{900=30},{coin7=1000},5,1,,,,,1,1,,<>
,,,,,,,,,,,,,
101,Baby Dragon Fragment,{21891=2},{coin6=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
102,Fragment of Young Geras,{21251=2},{coin6=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
103,Kitty Monster Fragment,{22071=2},{coin6=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
104,Ice Dragon Fragment,{23501=2},{coin6=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
111,Baby Dragon Fragment,{21891=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
112,Fragment of Young Geras,{21251=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
113,Kitty Monster Fragment,{22071=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
114,Ice Dragon Fragment,{23501=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
201,Baby Dragon Fragment,{21891=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
202,Fragment of Young Geras,{21251=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
203,flame bird,{20741=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
204,night watch,{21811=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
205,Snorlax,{20711=2},{coin6=1000},,,,,,,,,,<cn;kr>
206,wood owl,{23661=2},{coin6=1000},,,,,,,,,,<cn;kr>
,,,,,,,,,,,,,
221,Kitty Monster Fragment,{22071=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
222,Ice Dragon Fragment,{23501=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
223,stone balls,{22591=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
301,Baby Dragon Fragment,{21891=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
302,Fragment of Young Geras,{21251=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
303,flame bird,{20741=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
304,night watch,{21811=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
321,Kitty Monster Fragment,{22071=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
322,Ice Dragon Fragment,{23501=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
323,stone balls,{22591=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
600,experience potion,{15=1},{coin6=200},,,,,,,,,,<cn;en;tw;kr>
610,gold,{514=10},{coin6=500},,,,,,,,,,<cn;en;tw;kr>
620,energy potion,{5000=10},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1001,Accessory Awakening Random Box,{6050=1},{coin6=32000},,,,,,,3,1,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1101,Homiga,{2214=1},{coin6=24000},,,,,,,4,1,,<cn;en;tw;kr>
