变量名,daysRange,fightingPoint,level,num
默认值,<>,0,1,12000
ID,开服天数区间（左闭右开）,机器人标杆战力,机器人战队等级,机器人数量
1,<1;50>,412500,58,
2,<50;54>,412500,59,
3,<54;58>,412500,60,
4,<58;62>,440000,61,
5,<62;66>,467500,62,
6,<66;70>,495000,63,
7,<70;74>,522500,64,
8,<74;78>,550000,65,
9,<78;82>,577500,66,
10,<82;86>,605000,67,
11,<86;90>,632500,68,
12,<90;94>,660000,69,
13,<94;98>,687500,70,
14,<98;102>,715000,71,
15,<102;106>,742500,72,
16,<106;110>,770000,73,
17,<110;114>,797500,74,
18,<114;118>,825000,75,
19,<118;122>,852500,76,
20,<122;126>,880000,77,
21,<126;130>,907500,78,
22,<130;134>,935000,79,
23,<134;138>,962500,80,
24,<138;142>,990000,81,
25,<142;146>,1017500,82,
26,<146;150>,1045000,83,
27,<150;154>,1072500,84,
28,<154;158>,1100000,85,
29,<158;162>,1127500,86,
30,<162;166>,1155000,87,
31,<166;170>,1182500,88,
32,<170;174>,1210000,89,
33,<174;178>,1237500,90,
34,<178;182>,1265000,91,
35,<182;186>,1292500,92,
36,<186;200>,1320000,93,
37,<200;500>,1347500,94,
38,<500;1500>,1375000,95,
