"﻿变量名",unitID,name,name_tw,name_en,name_vn,name_kr,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
默认值,0,"""""","""""","""""","""""","""""",0,100,50,100.1,10.5,10.5,10,2,1.5,1
ID,选手ID,选手名称,选手名称,选手名称,选手名称,选手名称,选手组,选手随机权重,初始速度(1s),体力,体力每0.1秒消耗,体力每0.1秒回复,冲刺概率（0-100）,冲刺每0.1秒随机一次,冲刺影响速度倍数,冲刺维持时长(多少个0.1s)
,,,,,,,,,,,,,,,,
1,721,Articuno,急凍鳥,Articuno,404404,프리져,1,,500,150,1.5,1,38,12,,18
2,741,Moltres,火焰鳥,Moltres,404404,파이어,1,,560,145,1.5,1,35,14,,16
3,731,Zapdos,閃電鳥,Zapdos,404404,썬더,1,,590,140,1.5,1,32,15,,15
4,753,Dragonite,快龍,Dragonite,404404,망나뇽,1,,630,135,1.5,1,30,16,,14
5,1893,Salamence,暴飛龍,Salamence,404404,보만다,2,,500,150,1.5,1,38,12,,18
6,863,Togekiss,波克基斯,Togekiss,404404,토게키스,2,,560,145,1.5,1,35,14,,16
7,1951,Latios,拉帝歐斯,Latios,404404,라티오스,2,,590,140,1.5,1,32,15,,15
8,1941,Latias,拉帝亞斯,Latias,404404,라티아스,2,,630,135,1.5,1,30,16,,14
9,2401,Cresselia,克雷色利亞,Cresselia,404404,크레세리아,3,,425,150,1.5,1,38,12,,18
10,1395,Gardevoir,沙奈朵,Gardevoir,404404,가디안,3,,481,145,1.5,1,35,14,,16
11,2843,Gothitelle,哥德小姐,Gothitelle,404404,고디모아젤,3,,502,140,1.5,1,32,15,,15
12,2993,Chandelure,水晶燈火靈,Chandelure,404404,샹델라,3,,536,135,1.5,1,30,16,,14
13,1261,Lugia,洛奇亞,Lugia,404404,루기아,4,,598,150,1.5,1,38,12,,18
14,1271,Ho-Oh,鳳王,Ho-Oh,404404,칠색조,4,,672,145,1.5,1,35,14,,16
15,1961,Kyogre,蓋歐卡,Kyogre,404404,가이오가,4,,708,140,1.5,1,32,15,,15
16,1971,Groudon,固拉多,Groudon,404404,그란돈,4,,756,135,1.5,1,30,16,,14
17,242,Arcanine,風速狗,Arcanine,404404,윈디,5,,500,150,1.5,1,38,12,,18
18,1171,Houndour,戴魯比,Houndour,404404,델빌,5,,560,145,1.5,1,35,14,,16
19,1841,Absol,阿勃梭魯,Absol,404404,앱솔,5,,590,140,1.5,1,32,15,,15
20,2242,Lucario,路卡利歐,Lucario,404404,루카리오,5,,630,135,1.5,1,30,16,,14
21,23,Blastoise,水箭龜,Blastoise,404404,거북왕,6,,425,150,1.5,1,38,12,,18
22,641,Lapras,拉普拉斯,Lapras,404404,라프라스,6,,481,145,1.5,1,35,14,,16
23,2033,Empoleon,帝王拿波,Empoleon,404404,엠페르트,6,,502,140,1.5,1,32,15,,15
24,803,Feraligatr,大力鱷,Feraligatr,404404,장크로다일,6,,536,135,1.5,1,30,16,,14
25,1313,Swampert,巨沼怪,Swampert,404404,대짱이,7,,425,150,1.5,1,38,12,,18
26,552,Starmie,寶石海星,Starmie,404404,아쿠스타,7,,481,145,1.5,1,35,14,,16
