变量名,_beizhu,attrType1,attrFix1,attrType2,attrFix2,attrType3,attrFix3,attrType4,attrFix4,attrType5,attrFix5,attrType6,attrFix6
默认值,,1,1,7,1,8,1,9,1,10,1,13,1
ID,备注,修正属性类型1,修正属性数值1,修正属性类型2,修正属性数值2,属性类型3,修正属性数值3,属性类型4,修正属性数值4,属性类型5,修正属性数值5,属性类型5,修正属性数值5
761,Mew-two,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1261,Rogia,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1271,Phoenix King,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1281,rabbi,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1961,Gayoka,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1971,Gulardo,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1972,Original Gulardo,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1981,Rift seat,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
1982,Super Rift Seat,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
1991,Kiraqi,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
2351,Dialga,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2361,Palkia,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2381,Regichkas,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2391,Giratina,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2431,Darkley,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2441,shemi,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
2442,shami sky,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3211,Rashiram,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3221,czech rom,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3241,Kyurem,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3261,Meloetta Song,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3262,Meloetta Dance Step,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3271,Genesect,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3601,Cernias,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3611,Yveltal,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
3631,Tianxi,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3641,Punish Hoopa,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3642,Liberate Hoopa,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
4161,Teraola,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
4171,Meltan,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
4172,Melmetta,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8
