"﻿变量名",name,name_tw,name_en,name_vn,name_kr,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,"""""","""""","""""","""""","""""",1,,,1,"""""",100,1,"""""","""""","""""","""""",""""""
ID,名称,名称,名称,名称,名称,类型,组别,同组别提升权重,品质-底与标题1.绿.2.黄.3.蓝4.橙.5.粉.6.紫.7.红,图标,随机权重,被动技能ID,描述,描述,描述,描述,描述
1,Warriors I,無雙I,Warriors I,404,404,101,1,300,7,city/adventure/random_tower/icon/icon_gj.png,,81001,"Increase the double attack of all elves on your side by 10%, and last for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect will get an additional 5%)#L0##C0xFF3D3D#",己方全體精靈雙攻提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,404,404,404
2,Warriors II,無雙II,Warriors II,404,404,201,1,200,7,city/adventure/random_tower/icon/icon_gj.png,,81002,"The double attack of the elves in the back row of your own team is increased by 15%, and lasts for the entire field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect will be additionally obtained by 8%) #L0##C0xFF3D3D#",己方後排精靈雙攻提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,404,404,404
3,Warriors III,無雙III,Warriors III,404,404,301,1,100,7,city/adventure/random_tower/icon/icon_gj.png,,81003,"The unit with the highest attack of one's side increases the double attack by 20%#L0##C0xFF3D3D# (with the effect of Wushuang I, Wushuang II and Wushuang III at the same time doubled) #L0##C0xFF3D3D#",己方攻擊最高的單位雙攻提升20%#L0##C0xFF3D3D#（同時擁有無雙I、無雙II、無雙III效果翻倍）#L0##C0xFF3D3D#,404,404,404
4,Cold Blood I,冷血I,Cold Blood I,404,404,201,2,300,4,city/adventure/random_tower/icon/icon_bj.png,,81004,"The crit rate of the back row of one's own side is increased by 10% #L0##C0xFF3D3D# (with other same series, the effect is doubled) #L0##C0xFF3D3D#",己方後排暴擊率提升10%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
5,Cold Blood II,冷血II,Cold Blood II,404,404,301,2,200,4,city/adventure/random_tower/icon/icon_bj.png,,81005,"The crit damage of one's own back row is increased by 20% #L0##C0xFF3D3D# (with the same series, the effect is doubled) #L0##C0xFF3D3D#",己方後排暴擊傷害提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
6,Bloodthirsty I,嗜血I,Bloodthirsty I,404,404,1201,3,300,7,city/adventure/random_tower/icon/icon_xx.png,,81006,"The blood-sucking rate of the back row of one's own party is increased by 8% #L0##C0xFF3D3D# (Owning the other same series, the blood-sucking effect is increased by 4%) #L0##C0xFF3D3D#",己方後排吸血率提升8%#L0##C0xFF3D3D#（擁有其他同一系列，吸血效果提升4%）#L0##C0xFF3D3D#,404,404,404
7,Bloodthirsty II,嗜血II,Bloodthirsty II,404,404,1301,3,200,7,city/adventure/random_tower/icon/icon_xx.png,,81007,"When one's own attack comes with stealing 5% double attack, the maximum can be superimposed 2 layers #L0##C0xFF3D3D# (With other same series, the effect is doubled)#L0##C0xFF3D3D#",己方攻擊時附帶偷取5%雙攻，最高可疊加2層#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
8,Edge I,鋒芒I,Edge I,404,404,101,4,300,7,city/adventure/random_tower/icon/icon_sh1.png,,81008,"Increase the damage bonus of all elves on your side by 10%, and last for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect will get an additional 5%)#L0##C0xFF3D3D#",己方全體精靈傷害加成提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,404,404,404
9,Edge II,鋒芒II,Edge II,404,404,201,4,200,7,city/adventure/random_tower/icon/icon_sh1.png,,81009,"The damage bonus of the elves in the back row of your own side is increased by 15%, and lasts for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect will get an additional 8%)#L0##C0xFF3D3D#",己方後排精靈傷害加成提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,404,404,404
10,Edge III,鋒芒III,Edge III,404,404,301,4,100,7,city/adventure/random_tower/icon/icon_sh1.png,,81010,"The damage bonus of the unit with the highest attack of one's own side is increased by 15% #L0##C0xFF3D3D# (At the same time, the effect of edge I, edge II and edge III is doubled) #L0##C0xFF3D3D#",己方攻擊最高的單位傷害加成提升15%#L0##C0xFF3D3D#（同時擁有鋒芒I、鋒芒II、鋒芒III效果翻倍）#L0##C0xFF3D3D#,404,404,404
11,Element Force I,元素之力I,Element Force I,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81011,"The fire and fighting systems of one's own side increase the critical strike rate by 20% and the damage bonus by 15% #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方火系、鬥系提升暴擊率20%與傷害加成15%#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
12,Element Force II,元素之力II,Element Force II,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81012,"One's ground system and rock system increase 15% damage bonus and 15% damage reduction #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方地面系、岩石系提升15%傷害加成與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
13,Element Force III,元素之力III,Element Force III,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81013,"20% dodge rate and 15% speed of normal, grass, and flight types of your own side #L0##C0xFF3D3D# (When you have more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方普通系、草系、飛行系20%閃避率與15%速度#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
14,Element Force IV,元素之力IV,Element Force IV,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81014,"One's own water and ice elements increase 20% crit resistance and 20% crit rate #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方水系、冰系提升20%暴擊抗性與20%暴擊率#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
15,Element Force V,元素之力V,Element Force V,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81015,"Poison, Bug, and Steel allies increase damage reduction by 15% and crit damage by 20% #L0##C0xFF3D3D# (When there are more than 3 elements, the effect becomes all) #L0##C0xFF3D3D#",己方毒系、蟲系、鋼系提升15%傷害減免與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
16,Element Force VI,元素之力VI,Element Force VI,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81016,"One's own electric and dragon elements increase 15% anger recovery speed and 15% damage bonus #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方電系、龍系提升15%怒氣回復速度與15%傷害加成#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
17,Element Force VII,元素之力VII,Element Force VII,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81017,"One's own ghost type and evil type increase 20% dodge rate and 15% damage reduction #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方幽靈系、惡系提升20%閃避率與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
18,Element Force VIII,元素之力VIII,Element Force VIII,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81018,"One's own super energy system and demon system increase 20% crit resistance and 20% crit damage #L0##C0xFF3D3D# (When there are more than 3 kinds of elemental power, the effect becomes all) #L0##C0xFF3D3D#",己方超能系、妖系提升20%暴擊抗性與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
19,Protection I,靈山I,Protection I,404,404,101,6,300,1,city/develop/talent/icon_wf.png,,81019,"Increase the dual defense of all elves on your side by 20%, and last for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect coefficient will increase by 10%)#L0##C0xFF3D3D#",己方全體精靈雙防提升20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升10%）#L0##C0xFF3D3D#,404,404,404
20,Protection II,靈山II,Protection II,404,404,201,6,200,1,city/develop/talent/icon_wf.png,,81020,"The double defense of the elves in the front row of one's own side is increased by 30%, and it lasts for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect coefficient increases by 15%)#L0##C0xFF3D3D#",己方前排精靈雙防提升30%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升15%）#L0##C0xFF3D3D#,404,404,404
21,Protection III,靈山III,Protection III,404,404,301,6,100,1,city/develop/talent/icon_wf.png,,81021,"The unit with the highest defense of one's own party has a double defense increase of 50%#L0##C0xFF3D3D# (with Lingshan I, Lingshan II, and Lingshan III at the same time, the effect is doubled) #L0##C0xFF3D3D#",己方防禦最高的單位雙防提升50%#L0##C0xFF3D3D#（同時擁有靈山I、靈山II、靈山III效果翻倍）#L0##C0xFF3D3D#,404,404,404
22,Block I,禦守I,Block I,404,404,201,7,300,3,city/adventure/random_tower/icon/icon_jh.png,,81022,"The resistance rate of the front row of one's own side is increased by 20% #L0##C0xFF3D3D# (with other same series, the effect coefficient is increased by 10%) #L0##C0xFF3D3D#",己方前排抵禦率提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升10%）#L0##C0xFF3D3D#,404,404,404
23,Block II,禦守II,Block II,404,404,301,7,200,3,city/adventure/random_tower/icon/icon_jh.png,,81023,"The resistance strength of the front row of one's own side is increased by 30% #L0##C0xFF3D3D# (with other same series, the effect coefficient is increased by 15%) #L0##C0xFF3D3D#",己方前排抵禦強度提升30%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升15%）#L0##C0xFF3D3D#,404,404,404
24,Thorns I,荊棘I,Thorns I,404,404,1201,8,300,2,city/develop/talent/icon_shjm.png,,81024,"The rebound of the unit with the highest double attack of one's own side is increased by 20% #L0##C0xFF3D3D# (when it has other effects of the same series, the rebound effect is doubled) #L0##C0xFF3D3D#",己方雙攻最高的單位反彈提升20%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果翻倍）#L0##C0xFF3D3D#,404,404,404
25,Thorns II,荊棘II,Thorns II,404,404,1301,8,200,2,city/develop/talent/icon_shjm.png,,81025,"The rebound of your front row unit is increased by 10% #L0##C0xFF3D3D# (When you have other effects of the same series, the rebound effect is increased by 5%) #L0##C0xFF3D3D#",己方前排單位反彈提升10%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果提升5%）#L0##C0xFF3D3D#,404,404,404
