变量名,routeTag,type,boxDropLibs,boxDropLibs2,supplyGroup,gateIDs,lastCanPass,historyCanPass,version
默认值,1,1,{},{},0,<>,0,0,0
ID,线路标志 (1=普通 2=进阶),节点类型 (1=战斗;2=宝箱;3=救援;4=多选),宝箱首次掉落,宝箱加开掉落,救援组,关卡ID,上次可碾压X节点（包含）,历史可碾压X节点（包含）,路线版本
1,1,1,,,,<101001>,0,0,
2,1,1,,,,<101002>,0,0,
3,1,1,,,,<101011>,0,0,
4,1,4,,,1,<101003>,0,0,
5,1,2,{libs=<22109;22113>},{libs=<22110;22106;22106;22106;22106;22106>},,,0,0,
6,1,1,,,,<101004>,3,3,
7,1,1,,,,<101012>,3,3,
8,1,4,,,1,<101005>,4,3,
9,1,2,{libs=<22109;22113;22118>},{libs=<22110;22107;22107;22107;22107;22107>},,,5,4,
10,1,4,,,,<101006;101013>,6,4,
11,1,1,,,,<101007>,7,4,
12,1,4,,,2,<101008>,8,4,
13,1,1,,,,<101014>,8,6,
14,1,2,{libs=<22109;22113;22118>},{libs=<22110;22108;22108;22108;22108;22108;22108>},,,8,6,
15,1,1,,,,<101021>,10,6,
,,,,,,,,,
101,2,1,,,,<102001>,0,0,
102,2,1,,,,<102002>,0,0,
103,2,1,,,,<102011>,0,0,
104,2,4,,,1,<102003>,0,0,
105,2,2,{libs=<22111;22114>},{libs=<22112;22106;22106;22106;22106;22106;22106>},,,0,0,
106,2,1,,,,<102004>,3,3,
107,2,1,,,,<102012>,3,3,
108,2,4,,,1,<102005>,4,3,
109,2,2,{libs=<22111;22114;22119>},{libs=<22112;22107;22107;22107;22107;22107;22107>},,,4,3,
110,2,4,,,,<102006;102013>,6,4,
111,2,1,,,,<102014>,6,4,
112,2,4,,,2,<102007>,7,4,
113,2,1,,,,<102021>,7,6,
114,2,2,{libs=<22111;22114;22119>},{libs=<22112;22108;22108;22108;22108;22108;22108;22108>},,,8,6,
115,2,1,,,,<102022>,8,6,
,,,,,,,,,
1001,1,1,,,,<101001>,0,0,1001
1002,1,1,,,,<101002>,0,0,1001
1003,1,1,,,,<101011>,0,0,1001
1004,1,4,,,1,<101003>,0,0,1001
1005,1,2,{libs=<22109;22113>},{libs=<22110;22106;22106;22106;22106;22106>},,,0,0,1001
1006,1,1,,,,<101004>,3,3,1001
1007,1,1,,,,<101012>,3,3,1001
1008,1,4,,,1,<101005>,4,3,1001
1009,1,2,{libs=<22109;22113;22118>},{libs=<22110;22107;22107;22107;22107;22107>},,,5,4,1001
1010,1,4,,,,<101006;101013>,6,4,1001
1011,1,3,,,2,,6,4,1001
1012,1,1,,,,<101007>,7,4,1001
1013,1,4,,,2,<101008>,8,4,1001
1014,1,1,,,,<101014>,8,6,1001
1015,1,3,,,2,,8,6,1001
1016,1,2,{libs=<22109;22113;22118>},{libs=<22110;22108;22108;22108;22108;22108;22108>},,,8,6,1001
1017,1,1,,,,<101021>,10,6,1001
,,,,,,,,,
2001,2,1,,,,<102001>,0,0,2001
2002,2,1,,,,<102002>,0,0,2001
2003,2,1,,,,<102011>,0,0,2001
2004,2,4,,,1,<102003>,0,0,2001
2005,2,2,{libs=<22111;22114>},{libs=<22112;22106;22106;22106;22106;22106;22106>},,,0,0,2001
2006,2,1,,,,<102004>,3,3,2001
2007,2,1,,,,<102012>,3,3,2001
2008,2,4,,,1,<102005>,4,3,2001
2009,2,2,{libs=<22111;22114;22119>},{libs=<22112;22107;22107;22107;22107;22107;22107>},,,4,3,2001
2010,2,4,,,,<102006;102013>,6,4,2001
2011,2,3,,,2,,6,4,2001
2012,2,1,,,,<102014>,6,4,2001
2013,2,4,,,2,<102007>,7,4,2001
2014,2,1,,,,<102021>,7,6,2001
2015,2,3,,,2,,7,6,2001
2016,2,2,{libs=<22111;22114;22119>},{libs=<22112;22108;22108;22108;22108;22108;22108;22108>},,,8,6,2001
2017,2,1,,,,<102022>,8,6,2001
