变量名,ServerOpenDays,hpFix
默认值,0,100
ID,开服天数,血量修正系数百分比
1,1,100
2,2,100
3,3,100
4,4,100
5,5,100
6,6,100
7,7,100
8,8,100
9,9,100
10,10,100
11,11,100
12,12,100
13,13,100
14,14,100
15,15,100
16,16,100
17,17,100
18,18,100
19,19,100
20,20,100
21,21,100
22,22,100
23,23,100
24,24,100
25,25,100
26,26,100
27,27,100
28,28,100
29,29,100
30,30,100
31,31,100
32,32,100
33,33,100
34,34,100
35,35,100
36,36,100
37,37,110
38,38,120
39,39,130
40,40,140
41,41,150
42,42,160
43,43,170
44,44,180
45,45,190
46,46,200
47,47,210
48,48,220
49,49,230
50,50,240
51,51,250
52,52,260
53,53,270
54,54,280
55,55,290
56,56,300
57,57,310
58,58,320
59,59,330
60,60,340
61,61,350
62,62,360
63,63,370
64,64,380
65,65,390
66,66,400
67,67,410
68,68,420
69,69,430
70,70,440
71,71,450
72,72,460
73,73,470
74,74,480
75,75,490
76,76,500
77,77,510
78,78,520
79,79,530
80,80,540
81,81,550
82,82,560
83,83,570
84,84,580
85,85,590
86,86,600
87,87,609
88,88,618
89,89,627
90,90,636
91,91,645
92,92,654
93,93,663
94,94,672
95,95,681
96,96,690
97,97,699
98,98,708
99,99,717
100,100,726
101,101,735
102,102,744
103,103,753
104,104,762
105,105,771
106,106,780
107,107,789
108,108,798
109,109,807
110,110,816
111,111,825
112,112,834
113,113,843
114,114,852
115,115,861
116,116,870
117,117,879
118,118,888
119,119,897
120,120,906
121,121,915
122,122,924
123,123,933
124,124,942
125,125,951
126,126,960
127,127,969
128,128,978
129,129,987
130,130,996
131,131,1005
132,132,1014
133,133,1023
134,134,1032
135,135,1041
136,136,1050
137,137,1058
138,138,1066
139,139,1074
140,140,1082
141,141,1090
142,142,1098
143,143,1106
144,144,1114
145,145,1122
146,146,1130
147,147,1138
148,148,1146
149,149,1154
150,150,1162
151,151,1170
152,152,1178
153,153,1186
154,154,1194
155,155,1202
156,156,1210
157,157,1218
158,158,1226
159,159,1234
160,160,1242
161,161,1250
162,162,1258
163,163,1266
164,164,1274
165,165,1282
166,166,1290
167,167,1298
168,168,1306
169,169,1314
170,170,1322
171,171,1330
172,172,1338
173,173,1346
174,174,1354
175,175,1362
176,176,1370
177,177,1378
178,178,1386
179,179,1394
180,180,1402
181,181,1410
182,182,1418
183,183,1426
184,184,1434
185,185,1442
186,186,1450
187,187,1457
188,188,1464
189,189,1471
190,190,1478
191,191,1485
192,192,1492
193,193,1499
194,194,1506
195,195,1513
196,196,1520
197,197,1527
198,198,1534
199,199,1541
200,200,1548
201,201,1555
202,202,1562
203,203,1569
204,204,1576
205,205,1583
206,206,1590
207,207,1597
208,208,1604
209,209,1611
210,210,1618
211,211,1625
212,212,1632
213,213,1639
214,214,1646
215,215,1653
216,216,1660
217,217,1667
218,218,1674
219,219,1681
220,220,1688
221,221,1695
222,222,1702
223,223,1709
224,224,1716
225,225,1723
226,226,1730
227,227,1737
228,228,1744
229,229,1751
230,230,1758
231,231,1765
232,232,1772
233,233,1779
234,234,1786
235,235,1793
236,236,1800
237,237,1806
238,238,1812
239,239,1818
240,240,1824
241,241,1830
242,242,1836
243,243,1842
244,244,1848
245,245,1854
246,246,1860
247,247,1866
248,248,1872
249,249,1878
250,250,1884
251,251,1890
252,252,1896
253,253,1902
254,254,1908
255,255,1914
256,256,1920
257,257,1926
258,258,1932
259,259,1938
260,260,1944
261,261,1950
262,262,1956
263,263,1962
264,264,1968
265,265,1974
266,266,1980
267,267,1986
268,268,1992
269,269,1998
270,270,2004
271,271,2010
272,272,2016
273,273,2022
274,274,2028
275,275,2034
276,276,2040
277,277,2046
278,278,2052
279,279,2058
280,280,2064
281,281,2070
282,282,2076
283,283,2082
284,284,2088
285,285,2094
286,286,2100
287,287,2105
288,288,2110
289,289,2115
290,290,2120
291,291,2125
292,292,2130
293,293,2135
294,294,2140
295,295,2145
296,296,2150
297,297,2155
298,298,2160
299,299,2165
300,300,2170
301,301,2175
302,302,2180
303,303,2185
304,304,2190
305,305,2195
306,306,2200
307,307,2205
308,308,2210
309,309,2215
310,310,2220
311,311,2225
312,312,2230
313,313,2235
314,314,2240
315,315,2245
316,316,2250
317,317,2255
318,318,2260
319,319,2265
320,320,2270
321,321,2275
322,322,2280
323,323,2285
324,324,2290
325,325,2295
326,326,2300
327,327,2305
328,328,2310
329,329,2315
330,330,2320
331,331,2325
332,332,2330
333,333,2335
334,334,2340
335,335,2345
336,336,2350
337,337,2355
338,338,2360
339,339,2365
340,340,2370
341,341,2375
342,342,2380
343,343,2385
344,344,2390
345,345,2395
346,346,2400
347,347,2405
348,348,2410
349,349,2415
350,350,2420
351,351,2425
352,352,2430
353,353,2435
354,354,2440
355,355,2445
356,356,2450
357,357,2455
358,358,2460
359,359,2465
360,360,2470
361,361,2475
362,362,2480
363,363,2485
364,364,2490
365,365,2495
366,366,2500
367,367,2505
368,368,2510
369,369,2515
370,370,2520
371,371,2525
372,372,2530
373,373,2535
374,374,2540
375,375,2545
376,376,2550
377,377,2555
378,378,2560
379,379,2565
380,380,2570
381,381,2575
382,382,2580
383,383,2585
384,384,2590
385,385,2595
386,386,2600
387,387,2605
388,388,2610
389,389,2615
390,390,2620
391,391,2625
392,392,2630
393,393,2635
394,394,2640
395,395,2645
396,396,2650
397,397,2655
398,398,2660
399,399,2665
400,400,2670
