﻿变量名,rank,award,score,version
默认值,,{},0,0
ID,名次内,排行奖励,积分奖励,奖励版本
1,1,{coin13=12000;14=20;gold=150000},5000,1
2,2,{coin13=10000;14=16;gold=125000},4000,1
3,3,{coin13=8000;14=12;gold=100000},3000,1
4,6,{coin13=7000;14=10;gold=90000},2000,1
5,10,{coin13=6000;14=8;gold=80000},1000,1
6,30,{coin13=5000;14=6;gold=70000},,1
7,99999,{coin13=4000;14=4;gold=60000},,1
,,,,
101,1,{coin13=18000;14=30;gold=225000},7500,2
102,2,{coin13=15000;14=24;gold=187500},6000,2
103,3,{coin13=12000;14=18;gold=150000},4500,2
104,6,{coin13=10500;14=15;gold=135000},3000,2
105,10,{coin13=9000;14=12;gold=120000},1500,2
106,30,{coin13=7500;14=9;gold=105000},,2
107,99999,{coin13=6000;14=6;gold=90000},,2
,,,,
201,1,{coin13=30000;14=50;gold=375000},10000,3
202,2,{coin13=25000;14=40;gold=312500},8000,3
203,3,{coin13=20000;14=30;gold=250000},6000,3
204,6,{coin13=17500;14=25;gold=225000},4000,3
205,10,{coin13=15000;14=20;gold=200000},2000,3
206,30,{coin13=12500;14=15;gold=175000},,3
207,99999,{coin13=10000;14=10;gold=150000},,3
