变量名,rankMax,point,minuteCoin13,byRobLimit,version
默认值,,,,,0
ID,最大排名,积分,每分钟产出资源,单次被抢夺上限,版本
1,1,8000,240,40000,
2,2,7680,235.5,40000,
3,3,7360,232.5,40000,
4,4,7040,230.5,40000,
5,5,6720,228.5,40000,
6,6,6400,225.5,40000,
7,7,6080,223.5,40000,
8,8,5760,221,40000,
9,9,5440,218.5,40000,
10,10,5120,216,40000,
11,11,4960,214.5,40000,
12,12,4800,213.5,40000,
13,13,4640,212,40000,
14,14,4480,210.5,40000,
15,15,4320,209,40000,
16,16,4160,207.5,40000,
17,17,4000,206,40000,
18,18,3840,204.5,40000,
19,19,3680,203,40000,
20,20,3520,201.5,40000,
21,21,3440,200.5,40000,
22,22,3360,199,40000,
23,23,3280,197.5,40000,
24,24,3200,196,40000,
25,25,3120,194.5,40000,
26,26,3040,194,40000,
27,27,2960,194,40000,
28,28,2880,193,40000,
29,29,2800,193,40000,
30,30,2720,192.5,40000,
31,31,2640,192.5,40000,
32,32,2560,191.5,40000,
33,33,2525,191.5,40000,
34,34,2495,191,40000,
35,35,2460,191,40000,
36,36,2430,190,40000,
37,37,2400,190,40000,
38,38,2365,189.5,40000,
39,39,2335,189.5,40000,
40,40,2300,188.5,40000,
41,41,2270,188.5,40000,
42,42,2240,188,40000,
43,43,2220,188,40000,
44,44,2205,187.5,40000,
45,45,2190,187.5,40000,
46,46,2175,186.5,40000,
47,47,2160,186.5,40000,
48,48,2140,186,40000,
49,49,2125,186,40000,
50,50,2110,185,40000,
51,51,2095,185,40000,
52,52,2080,184.5,40000,
53,53,2060,184.5,40000,
54,54,2045,183.5,40000,
55,55,2030,183.5,40000,
56,56,2015,183,40000,
57,57,2000,183,40000,
58,58,1980,182,40000,
59,59,1965,182,40000,
60,60,1950,181.5,40000,
61,61,1935,181.5,40000,
62,62,1920,181,40000,
63,63,1900,181,40000,
64,64,1885,180,40000,
65,65,1870,180,40000,
66,66,1865,179.5,40000,
67,67,1855,179.5,40000,
68,68,1845,178.5,40000,
69,69,1840,178.5,40000,
70,70,1830,178,40000,
71,71,1825,178,40000,
72,72,1815,177,40000,
73,73,1805,177,40000,
74,74,1800,176.5,40000,
75,75,1790,176.5,40000,
76,76,1785,176,40000,
77,77,1775,176,40000,
78,78,1765,175,40000,
79,79,1760,175,40000,
80,80,1750,174.5,40000,
81,81,1745,174.5,40000,
82,82,1735,173.5,40000,
83,83,1725,173.5,40000,
84,84,1720,173,40000,
85,85,1710,173,40000,
86,86,1705,172,40000,
87,87,1695,172,40000,
88,88,1685,171.5,40000,
89,89,1680,171.5,40000,
90,90,1670,170.5,40000,
91,91,1665,170.5,40000,
92,92,1655,170,40000,
93,93,1645,170,40000,
94,94,1640,169.5,40000,
95,95,1630,169.5,40000,
96,96,1625,169.5,40000,
