"﻿变量名",cardId,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub
默认值,0,"""""",,80,17,12,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,0,<cn;kr;tw;en>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,卡牌ID,名字,修正稀有度,等级,阶数,星数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,速度值继承比例,语言区域,血量,物攻,特攻,物防,特防,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性
1001,3,Frog Flower,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1002,13,Charizard,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1003,23,Blastoise,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1004,53,Big bird,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1005,93,Raichu,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1006,133,Pixie,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1007,163,Forked bat,3,,,,,,,,,,,,,<cn;kr;en>,,,,,,,,,,,,,,,
1008,222,Gotha Duck,2,,,,,,,,,,,,,<cn;kr;en;tw>,110%,110%,110%,110%,110%,,,,,,,,,,
1009,242,wind speed dog,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,263,Hu Di,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,273,Strange power,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1012,283,big food flower,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1013,303,Rumble Rock,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1014,333,Magneto,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,341,Scallion Duck,2,,,,,,,,,,,,,<cn;kr;en;tw>,110%,110%,110%,110%,110%,,,,,,,,,,
1016,372,smelly mud,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1017,382,Spiny clam,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1018,393,Gengar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,402,steel snake,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,462,flying legs,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1021,463,Kuaiquan Lang,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1022,464,War dancer,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1023,472,Big tongue licking,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1024,482,double bomb gas,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1025,493,Super Armored Rhinoceros,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,552,jewel starfish,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1027,572,Giant Pincer Mantis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,593,Electric Shock Monster,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,603,Platypus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,631,Gyarados,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,641,Laplace,3,,,,,,,,,,,,,<cn;kr;tw>,,,,,,,,,,,,,,,
1032,692,sickle helmet,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1033,701,Fossil pterosaur,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1034,712,Snorlax,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,721,frozen bird,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,731,lightning bird,3,,,,,,,,,,,,,,,90%,90%,,,,,,,,,,,,
1037,741,flame bird,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,753,fast dragon,3,,,,<80;80;80;80;80;80;80>,,,,,,,,,,,,,,,,,,,,,,,,
1039,771,dream,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,783,Geranium,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1041,793,Pyrobeast,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1042,803,big crocodile,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1043,863,Pokkiss,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1044,883,Dianlong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1071,Hercules,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,1032,scorpio king,3,,,,,,,,,,,,,<cn;kr>,,,,,,,,,,,,,,,
1047,1082,Mala,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,1172,Heluga,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,1221,Thunder God,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1231,Yandi,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1241,Suicune,3,,,,,,,,,,,,,,95%,95%,95%,95%,95%,,,,,,,,,,
1051,1253,Bankiras,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1293,lizard king,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1303,flame chicken,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,1313,marsh monster,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1393,Xanadu,3,,,,,,,,,,,,,,95%,,,92%,92%,,,,,,,,,,
1056,1394,Already,3,,,,,,,,,,,,,,95%,,,,,,,,,,,,,,
1057,1423,leave king,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1443,Boom,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1059,1503,Boss Cordora,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,1612,fire camel,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1061,1802,curse doll,2,,,,,,,,,,,,,<cn;kr;en>,110%,110%,110%,110%,110%,,,,,,,,,,
1062,1813,night genie,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,1841,Absolu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,1852,ice ghost guard,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1065,1853,Snow Fairy,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1066,1863,Diya sea lion,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1067,1893,Tyrannosaurus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,1903,Metagros,3,,,,,,,,,,,,,,92%,,,95%,95%,,,,,,,,,,
1069,1911,reggie lock,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,1921,Regis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,1931,Regis Chilloo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,1941,Ladias,3,,,,,,,,,,,,,<cn;kr>,,,,,,,,,,,,,,,
1073,1951,Latios,3,,,,,,,,,,,,,<cn;kr>,,,,,,,,,,,,,,,
1074,2013,Terra Turtle,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1075,2033,Emperor Napoleon,2,,,,,,,,,,,,,<cn;kr>,110%,110%,110%,110%,110%,,,,,,,,,,
1076,2073,roentgen cat,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1077,2233,biting land shark,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,2242,lucario,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,2272,Poison Skeleton Frog,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1080,2302,blizzard king,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1081,2401,Cresselia,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,2473,monarch snake,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,2483,King Yanwu,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1084,2593,Pangyan monster,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1085,2612,Gopher,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1086,2633,construction veteran,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1087,2683,centipede king,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1088,2723,rogue crocodile,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,2822,Zoroak,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,2843,Miss Goth,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1091,2873,double as much ice,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1092,2891,Electric flying squirrel,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1093,2963,Gear Monster,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1094,2993,Crystal Lantern,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,3003,Double Ax War Dragon,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,3012,tundra bear,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1097,3021,geometric snowflake,3,,,,,,,,,,,,,,95%,,,95%,95%,,,,,,,,,,
1098,3143,three dragons,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,3152,Vulcan moth,3,,,,,,,,,,,,,<cn;kr;tw>,,,,,,,,,,,,,,,
1100,3161,Coppaluong,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1101,3171,Delakion,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1102,3181,Billigion,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1103,3251,Keldeo,3,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,
1104,3283,Bricaron,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1105,3293,demon fire red fox,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1106,3303,Koga Ninja Frog,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,3342,Flame Lion,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1108,3353,Mrs. Hua Jie,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,3413,Shield Sword Monster Shield,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,3432,fat sweetie,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
1111,3472,Steel cannon arm shrimp,2,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,
