变量名,rankMax,award,award_kr,award_en,award_tw,version
默认值,,{},{},{},{},0
ID(区间最小排名）,最大排名,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,奖励版本
1,1,{gold=7500000;coin12=420000;rmb=2000;521=15},{gold=6000000;coin12=400000;rmb=1500},{gold=6000000;coin12=400000;rmb=1500},{gold=6000000;coin12=400000;rmb=1500},
2,2,{gold=6875000;coin12=400000;rmb=1750;521=13},{gold=5500000;coin12=380000;rmb=1300},{gold=5500000;coin12=380000;rmb=1300},{gold=5500000;coin12=380000;rmb=1300},
3,3,{gold=6250000;coin12=380000;rmb=1500;521=11},{gold=5000000;coin12=360000;rmb=1100},{gold=5000000;coin12=360000;rmb=1100},{gold=5000000;coin12=360000;rmb=1100},
4,4,{gold=6000000;coin12=370000;rmb=1300;521=10},{gold=4800000;coin12=350000;rmb=1000},{gold=4800000;coin12=350000;rmb=1000},{gold=4800000;coin12=350000;rmb=1000},
5,5,{gold=5750000;coin12=360000;rmb=1200;521=9},{gold=4600000;coin12=340000;rmb=900},{gold=4600000;coin12=340000;rmb=900},{gold=4600000;coin12=340000;rmb=900},
6,6,{gold=5500000;coin12=350000;rmb=1100;521=8},{gold=4400000;coin12=330000;rmb=800},{gold=4400000;coin12=330000;rmb=800},{gold=4400000;coin12=330000;rmb=800},
7,7,{gold=5250000;coin12=340000;rmb=1000;521=7},{gold=4200000;coin12=320000;rmb=750},{gold=4200000;coin12=320000;rmb=750},{gold=4200000;coin12=320000;rmb=750},
8,8,{gold=5000000;coin12=330000;rmb=900;521=6},{gold=4000000;coin12=310000;rmb=700},{gold=4000000;coin12=310000;rmb=700},{gold=4000000;coin12=310000;rmb=700},
9,9,{gold=4750000;coin12=320000;rmb=850;521=5},{gold=3800000;coin12=300000;rmb=650},{gold=3800000;coin12=300000;rmb=650},{gold=3800000;coin12=300000;rmb=650},
10,10,{gold=4500000;coin12=310000;rmb=800;521=5},{gold=3600000;coin12=290000;rmb=600},{gold=3600000;coin12=290000;rmb=600},{gold=3600000;coin12=290000;rmb=600},
11,12,{gold=4250000;coin12=300000;rmb=780},{gold=3400000;coin12=280000;rmb=580},{gold=3400000;coin12=280000;rmb=580},{gold=3400000;coin12=280000;rmb=580},
13,15,{gold=4000000;coin12=290000;rmb=760},{gold=3200000;coin12=270000;rmb=560},{gold=3200000;coin12=270000;rmb=560},{gold=3200000;coin12=270000;rmb=560},
