变量名,_relative,_linked,day,theme,invalidMarkIDs,invalidMegaCardIDs,invalidMarkIDs_kr,invalidMegaCardIDs_kr,invalidMarkIDs_tw,invalidMegaCardIDs_tw,invalidMarkIDs_en,invalidMegaCardIDs_en
默认值,,,0,0,<>,<>,<>,<>,<>,<>,<>,<>
ID,相对时间,关联（1-表示在开战时间，0-表示无）,本期战斗天数,主题,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id
101,20200919,1,1,,<721;731;741>,,,,,,,
102,20200920,1,2,,<721;731;741>,,,,,,,
103,20200921,,3,,<721;731;741>,,,,,,,
104,20200922,,4,,<721;731;741>,,,,,,,
105,20200923,,5,,<721;731;741>,,,,,,,
106,20200924,,6,,<721;731;741>,,,,,,,
107,20200925,,7,,<721;731;741>,,,,,,,
108,20200926,1,8,4,<721;731;741>,,,,,,,
109,20200927,1,9,4,<721;731;741>,,,,,,,
110,20200928,,10,,<721;731;741>,,,,,,,
111,20200929,,11,,<721;731;741>,,,,,,,
112,20200930,,12,,<721;731;741>,,,,,,,
113,20201001,,13,,<721;731;741>,,,,,,,
114,20201002,,14,,<721;731;741>,,,,,,,
115,20201003,1,15,3,<721;731;741>,,,,,,,
116,20201004,1,16,3,<721;731;741>,,,,,,,
117,20201005,,17,,<721;731;741>,,,,,,,
118,20201006,,18,,<721;731;741>,,,,,,,
119,20201007,,19,,<721;731;741>,,,,,,,
120,20201008,,20,,<721;731;741>,,,,,,,
121,20201009,,21,,<721;731;741>,,,,,,,
122,20201010,1,22,2,<721;731;741>,,,,,,,
123,20201011,1,23,2,<721;731;741>,,,,,,,
124,20201012,,24,,<721;731;741>,,,,,,,
125,20201013,,25,,<721;731;741>,,,,,,,
126,20201014,,26,,<721;731;741>,,,,,,,
127,20201015,,27,,<721;731;741>,,,,,,,
128,20201016,,28,,<721;731;741>,,,,,,,
129,20201017,1,29,1,<721;731;741>,,,,,,,
130,20201018,1,30,1,<721;731;741>,,,,,,,
131,20201019,,31,,<721;731;741>,,,,,,,
132,20201020,,32,,<721;731;741>,,,,,,,
133,20201021,,33,,<721;731;741>,,,,,,,
134,20201022,,34,,<721;731;741>,,,,,,,
135,20201023,,35,,<721;731;741>,,,,,,,
136,20201024,1,36,2,<721;731;741>,,,,,,,
137,20201025,1,37,2,<721;731;741>,,,,,,,
138,20201026,,38,,<721;731;741>,,,,,,,
139,20201027,,39,,<721;731;741>,,,,,,,
140,20201028,,40,,<721;731;741>,,,,,,,
141,20201029,,41,,<721;731;741>,,,,,,,
142,20201030,,42,,<721;731;741>,,,,,,,
143,20201031,1,43,3,<721;731;741>,,,,,,,
144,20201101,1,44,3,<721;731;741>,,,,,,,
