﻿变量名,score,minuteRes,growResLimit,battleWinScore,battleWinScoreRatio,battleFailScoreRatio,failAddScore,battleWinAward,battleFailAward,seasonAward,nextSeasonGrade,openRobot
默认值,,{},{},,,,0,{},{},{},,0
ID,段位所需积分,每分钟产出资源,产出资源上限,战斗胜利获得积分,战斗胜利获得积分系数,战斗失败损失积分系数,失败鼓励积分,战斗胜利奖励,战斗失败奖励,赛季结算奖励,次赛季继承段位等级,机器人开关
1,2800,{coin8=20;gold=400},{coin8=28800;gold=576000},50,1.1,1,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=3000000;coin8=150000;coin7=5000;501=10},11,
2,2500,{coin8=18;gold=380},{coin8=25920;gold=547200},50,1.1,1,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=2800000;coin8=145000;coin7=4800;501=9},11,
3,2250,{coin8=16;gold=360},{coin8=23040;gold=518400},50,1.1,1,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=2600000;coin8=140000;coin7=4600;501=9},12,
4,2000,{coin8=14;gold=340},{coin8=20160;gold=489600},50,1.1,0.75,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=2400000;coin8=135000;coin7=4400;501=8},12,
5,1750,{coin8=12;gold=320},{coin8=17280;gold=460800},50,1.1,0.75,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=2200000;coin8=130000;coin7=4200;501=8},13,
6,1550,{coin8=10;gold=300},{coin8=14400;gold=432000},50,1.1,0.75,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=2000000;coin8=125000;coin7=4000;501=8},13,
7,1350,{coin8=9;gold=280},{coin8=12960;gold=403200},50,1.1,0.75,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1900000;coin8=120000;coin7=3800;501=7},14,
8,1150,{coin8=8;gold=260},{coin8=11520;gold=374400},50,1.1,0.75,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1800000;coin8=115000;coin7=3600;501=7},14,
9,1000,{coin8=7;gold=240},{coin8=10080;gold=345600},50,1.2,0.5,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1700000;coin8=110000;coin7=3400;501=7},15,
10,850,{coin8=6;gold=220},{coin8=8640;gold=316800},50,1.2,0.5,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1600000;coin8=105000;coin7=3200;501=6},15,
11,700,{coin8=5;gold=200},{coin8=7200;gold=288000},50,1.2,0.5,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1500000;coin8=100000;coin7=3000;501=6},16,
12,600,{coin8=4.5;gold=180},{coin8=6480;gold=259200},50,1.2,0.5,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1400000;coin8=95000;coin7=2800;501=6},16,
13,500,{coin8=4;gold=160},{coin8=5760;gold=230400},50,1.2,0.5,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1300000;coin8=90000;coin7=2600;501=5},17,
14,400,{coin8=3.5;gold=140},{coin8=5040;gold=201600},50,1,0,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1200000;coin8=85000;coin7=2400;501=5},17,1
15,300,{coin8=3;gold=120},{coin8=4320;gold=172800},50,1,0,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1100000;coin8=80000;coin7=2200;501=5},18,1
16,200,{coin8=2.5;gold=100},{coin8=3600;gold=144000},50,1,0,,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=1000000;coin8=75000;coin7=2000;501=4},18,1
17,100,{coin8=2;gold=80},{coin8=2880;gold=115200},50,1,0,25,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=900000;coin8=70000;coin7=1800;501=4},19,1
18,50,{coin8=1.5;gold=60},{coin8=2160;gold=86400},50,1,0,25,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=800000;coin8=65000;coin7=1600;501=4},19,1
19,0,{coin8=1;gold=40},{coin8=1440;gold=57600},50,1,0,25,{gold=100000;coin8=3000},{gold=50000;coin8=1500},{gold=700000;coin8=60000;coin7=1400;501=3},19,1
