变量名,range,award,flag,version
默认值,0,{},0,0
ID,最大排名,结算奖励,1-全服 0-战区,奖励版本
1,1,{gold=6000000;coin8=400000;rmb=2000;9030=1},1,
2,2,{gold=5800000;coin8=390000;rmb=1900;9030=1},1,
3,3,{gold=5600000;coin8=380000;rmb=1800;9030=1},1,
4,4,{gold=5400000;coin8=370000;rmb=1700;9031=1},1,
5,5,{gold=5200000;coin8=360000;rmb=1600;9031=1},1,
6,6,{gold=5000000;coin8=350000;rmb=1500;9031=1},1,
7,7,{gold=4800000;coin8=340000;rmb=1400;9031=1},1,
8,8,{gold=4600000;coin8=330000;rmb=1300;9031=1},1,
9,9,{gold=4400000;coin8=320000;rmb=1200;9031=1},1,
10,10,{gold=4200000;coin8=310000;rmb=1100;9031=1},1,
11,12,{gold=4000000;coin8=300000;rmb=1050;9032=1},1,
12,15,{gold=3800000;coin8=290000;rmb=1000;9032=1},1,
13,20,{gold=3600000;coin8=280000;rmb=950;9032=1},1,
14,30,{gold=3400000;coin8=270000;rmb=900;9033=1},1,
15,40,{gold=3200000;coin8=260000;rmb=850;9034=1},1,
16,50,{gold=3000000;coin8=250000;rmb=800;9034=1},1,
17,70,{gold=2800000;coin8=240000;rmb=750},1,
18,100,{gold=2600000;coin8=230000;rmb=700},1,
19,150,{gold=2500000;coin8=220000;rmb=650},1,
20,200,{gold=2400000;coin8=210000;rmb=600},1,
21,300,{gold=2300000;coin8=200000;rmb=550},1,
22,400,{gold=2200000;coin8=190000;rmb=500},1,
23,500,{gold=2100000;coin8=180000;rmb=480},1,
24,700,{gold=2000000;coin8=170000;rmb=460},1,
25,1000,{gold=1900000;coin8=160000;rmb=440},1,
26,2000,{gold=1800000;coin8=150000;rmb=420},1,
27,3000,{gold=1700000;coin8=140000;rmb=400},1,
28,4000,{gold=1600000;coin8=130000;rmb=380},1,
29,5000,{gold=1500000;coin8=120000;rmb=360},1,
30,7000,{gold=1400000;coin8=110000;rmb=340},1,
31,10000,{gold=1300000;coin8=100000;rmb=320},1,
32,999999,{gold=1200000;coin8=90000;rmb=300},1,
,,,,
101,1,{gold=10000},0,
102,2,{gold=10000},0,
103,3,{gold=10000},0,
104,4,{gold=10000},0,
105,5,{gold=10000},0,
106,6,{gold=10000},0,
107,7,{gold=10000},0,
108,8,{gold=10000},0,
109,9,{gold=10000},0,
110,10,{gold=10000},0,
111,12,{gold=10000},0,
112,15,{gold=10000},0,
113,20,{gold=10000},0,
114,30,{gold=10000},0,
115,40,{gold=10000},0,
116,50,{gold=10000},0,
117,70,{gold=10000},0,
118,100,{gold=10000},0,
119,150,{gold=10000},0,
120,200,{gold=10000},0,
121,300,{gold=10000},0,
122,400,{gold=10000},0,
123,500,{gold=10000},0,
124,700,{gold=10000},0,
125,1000,{gold=10000},0,
126,2000,{gold=10000},0,
127,3000,{gold=10000},0,
128,4000,{gold=10000},0,
129,5000,{gold=10000},0,
130,7000,{gold=10000},0,
131,10000,{gold=10000},0,
132,999999,{gold=10000},0,
