变量名,level,fight_start,fight_end,stage_start,stage_end,star_start,star_end,skill_level,hpC,attackDamageC,defenceC
默认值,,,,,,,,,1,1,1
序号ID,初始等级,战力上限,战力下限,品级上限,品级下限,星级上限,星级下限,技能等级,血量修正(客户端处理),攻击修正(客户端处理),防御修正(客户端处理)
1,70,1164394,1222611,14,15,4,5,1,,,
2,71,1222613,1283742,14,15,4,5,1,,,
3,72,1283744,1347930,14,15,4,5,1,,,
4,73,1347931,1415326,14,15,4,5,1,,,
5,74,1415328,1486093,14,15,4,5,1,,,
6,75,1486094,1634702,15,16,4,5,1,,,
7,76,1634704,1798173,15,16,4,5,1,,,
8,77,1798174,1977990,15,16,4,5,1,,,
9,78,1977992,2175789,15,16,4,5,1,,,
10,79,2175790,2393368,15,16,4,5,1,,,
11,80,2393370,2632706,16,17,5,6,1,,,
12,81,2632707,2895976,16,17,5,6,1,,,
13,82,2895978,3185574,16,17,5,6,1,,,
14,83,3185576,3504131,16,17,5,6,1,,,
15,84,3504133,3854544,16,17,5,6,1,,,
16,85,3854546,4239998,17,18,5,6,1,,,
17,86,4240000,4663998,17,18,5,6,1,,,
18,87,4664000,5130398,17,18,5,6,1,,,
19,88,5130400,5643438,17,18,5,6,1,,,
20,89,5643440,6207782,17,18,5,6,1,,,
21,90,6207784,6828560,18,19,6,7,1,,,
22,91,6828562,7511416,18,19,6,7,1,,,
23,92,7511418,8262558,18,19,6,7,1,,,
24,93,8262560,9088814,18,19,6,7,1,,,
25,94,9088816,9997696,18,19,6,7,1,,,
26,95,9997698,10997466,18,19,6,7,1,,,
27,96,10997467,12097213,18,19,6,7,1,,,
28,97,12097214,13306934,18,19,6,7,1,,,
29,98,13306936,14637627,18,19,6,7,1,,,
30,99,14637629,16101390,18,19,6,7,1,,,
31,100,16101392,17711530,18,19,6,7,1,,,
