变量名,type,sortID,name,name_tw,name_en,name_vn,name_kr,features,inUnlock,languages
默认值,1,1,,,,,,"""""",0,<cn;tw;en;vn;th;kr>
ID（顺序排序）,类型(1=奖励领取 2=抽卡 3=战斗报名 4=快速冒险 5=公会事宜),排序改这列,Guild Daily Pack,中文繁体,英文,中文简体_越南,中文简体_韩,功能,是否在unlock表中有配置,语言区域
101,1,1,Guild Daily Red Envelope,公會每日禮包,44404,44404,44404,unionDailyGift,,
102,1,2,Adventure License Daily Rewards,公會每日紅包,44404,44404,44404,unionRedpacket,1,
103,1,3,Treasure,冒險執照每日獎勵,44404,44404,44404,trainer,1,
104,1,4,,聚寶,44404,44404,44404,gainGold,,
,,,Diamond Draw,,,,,,,
201,2,1,Gold coin drawing card,鉆石抽卡,44404,44404,44404,drawCardRmb,,
202,2,2,Jewelry drawing card,金幣抽卡,44404,44404,44404,drawCardGold,,
203,2,3,treasure hunt,飾品抽卡,44404,44404,44404,drawEquip,1,
204,2,5,Runestone Extraction,探險尋寶,44404,44404,44404,explorer,1,
205,2,4,chip extraction,符石抽取,44404,44404,44404,gem,1,
206,2,6,,芯片抽取,44404,44404,44404,chip,1,
,,,Quartz Assembly,,,,,,,
301,3,1,Guild Wars,石英大會,44404,44404,44404,craft,1,
302,3,2,Cross-server Quartz Conference,公會戰,44404,44404,44404,unionFight,1,
303,3,3,,跨服石英大會,44404,44404,44404,crossCraft,1,
,,,daily copy,,,,,,,
401,4,1,adventure road,日常副本,44404,44404,44404,activityGate,1,
402,4,2,fishing,冒險之路,44404,44404,44404,endlessTower,1,
403,4,3,,釣魚捕撈,44404,44404,44404,catch,1,
,,,Guild donation,,,,,,,
501,5,1,guild wish,公會捐獻,44404,44404,44404,unionContrib,,
502,5,2,Accelerate for friends,公會許願,44404,44404,44404,unionFragDonate,,
503,5,3,Guild copy,為好友加速,44404,44404,44404,unionTrainingSpeedup,,
504,5,4,Guild Daily Pack,公會副本,44404,44404,44404,unionFuben,,
