变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
默认值,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
ID,技能过程名功能备注(程序不读取，策划使用),前置修改数值的行为,前置修改数值的行为,伤害命中,自然属性克制,伤害加成,伤害加深,物/特/真实伤害加成,自然属性伤害加成,pvp伤害加成/减免,减伤,暴击/格挡,额外伤害,致命,斩杀,最终伤害受血量越低伤害越高buff,buff技能伤害加成,必杀加成,天气效果加成,buff增伤,伤害波动 只有技能才有伤害波动 会预处理,限制<只能填写伤害段id>,计算伤害结束,忽视战斗回合伤害,隐身,离场,免疫全伤害,免疫伤害,免疫物理伤害,免疫特殊伤害,免疫本次伤害,全体护盾,延迟伤害,伤害分摊,伤害链接,保护,护盾,冰冻,最终比率,锁1点血,反伤,吸血,流程结束
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,skill damage,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
2,fixed damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,direct damage,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
4,directNatureDamage,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bleed,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,
6,Death Scythe,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,,,,,,,,,jump,,,
7,Crit really hurt,,,,,,,"multiply|max(sum2(1),0.05)",,,,multiply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
