变量名,fightingPoint
默认值,10000
等级,基准战力
1,500
2,900
3,1200
4,1500
5,1800
6,2100
7,2400
8,2700
9,3000
10,3300
11,3600
12,3900
13,4200
14,4500
15,4800
16,5100
17,5400
18,5700
19,6000
20,6300
21,6600
22,6900
23,7200
24,7500
25,7800
26,8100
27,8400
28,8700
29,9000
30,9300
31,9600
32,9900
33,10200
34,10500
35,10800
36,11100
37,11400
38,11700
39,12000
40,12300
41,12600
42,12900
43,13200
44,13500
45,13800
46,14100
47,14400
48,14700
49,15000
50,15300
51,15600
52,15900
53,16200
54,16500
55,16800
56,17100
57,17400
58,17700
59,18000
60,18300
61,18600
62,18900
63,19200
64,19500
65,19800
66,20100
67,20400
68,20700
69,21000
70,21300
71,21600
72,21900
73,22200
74,22500
75,22800
76,23100
77,23400
78,23700
79,24000
80,24300
81,24600
82,24900
83,25200
84,25500
85,25800
86,26100
87,26400
88,26700
89,27000
90,27300
91,27600
92,27900
93,28200
94,28500
95,28800
96,29100
97,29400
98,29700
99,30000
100,36000
101,42000
102,48000
103,54000
104,60000
105,66000
106,72000
