变量名,name,attrs,cards,priviewId
默认值,"""""",<>,<>,62
ID,组名称,包含属性,卡牌id,预览对应ID
1,Fire,<2>,<601;1171;1231;741;241;3151;2991>,62
2,Water land,<3;9>,<631;1241;1311;2721;491;2031>,62
3,Electricity,<5>,<331;591;731;881;1221>,62
4,ice goblin,<6;18>,<721;3021;1081;1391;3351;1921>,62
5,steel rock,<13;17>,<401;1251;1501;1911;1931;3411;491;2031>,62
6,vicious,<16;8>,<1081;1171;1841;2721;3141;161>,62
7,Grasshopper,<4;12;1>,<1071;1421;571;1291;3151;3661;2471>,62
8,Super Long You,<11;15;14>,<261;391;1811;3541;3001;3591;1391;2991>,62
