变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rmb1,regular single draw,1,0,0,0,0,0,,,,,,{8001=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,rmb10,10 consecutive for the first time,1,0,0,0,0,0,,,,,,{8002=1;8001=9},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,gold1,orange for the first time,1,0,0,0,0,0,,,,,,{8003=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,gold10,orange for the first time,1,0,0,0,0,0,,,,,,{8004=1;8003=9;},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,gold1,Gold coin single draw - a fixed probability of purple about 50 times,1,6,0.015,0.025,,6,,,,,,{8013=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
102,gold1,"Gold coin single draw - about 5 times, there will be a purple guarantee",1,2,0.2,0.3,1,2,,,,,,{8013=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
103,gold1,Gold coin single draw - regular output,0,1,,,,,,,,,,{8011=1},60,{8012=1},25,{8016=1},15,,,,0,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,gold10,Gold coin 10 consecutive draws - follow-up fixed purple about 50 times,1,2,0.15,0.25,,2,,,,,,{8011=5;8012=2;8013=1;8016=2},100,{8011=6;8012=2;8013=1;8016=1},100,,0,,0,,0,,0,,0,,0,,,,
202,gold10,Gold coin 10 consecutive draws - the first draw will be purple,3,1,,,1,,,,,,,{8011=5;8012=2;8013=1;8016=2},100,{8011=6;8012=2;8013=1;8016=1},100,,0,,0,,0,,0,,0,,0,,,,
203,gold10,Gold coin 10 consecutive draws - regular output,0,1,,,,,,,,,,{8011=6;8012=2;8016=2},100,{8011=7;8012=1;8016=2},50,{8011=5;8012=3;8016=2},50,,0,,0,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,rmb1,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8015=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
302,rmb1,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8014=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
303,rmb1,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8014=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
304,rmb1,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8014=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
305,rmb1,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8013=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
306,rmb1,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8011=1},57,{8012=1},22,{8013=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,rmb10,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8011=5;8012=2;8015=1;8017=2},100,{8011=4;8012=3;8015=1;8017=2},100,{8011=5;8012=3;8015=1;8017=1},100,{8011=4;8012=2;8013=1;8015=1;8017=2},50,{8011=4;8012=3;8013=1;8015=1;8017=1},50,{8011=3;8012=3;8013=1;8015=1;8017=2},50,,,,,,,,
402,rmb10,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8011=5;8012=2;8015=1;8017=2},100,{8011=4;8012=3;8015=1;8017=2},100,{8011=5;8012=3;8015=1;8017=1},100,,,,,,,,,,,,,,
403,rmb10,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8011=5;8012=2;8015=1;8017=2},100,{8011=4;8012=3;8015=1;8017=2},100,{8011=5;8012=3;8015=1;8017=1},100,,,,,,,,,,,,,,
404,rmb10,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8011=5;8012=2;8014=1;8017=2},100,{8011=4;8012=3;8014=1;8017=2},100,{8011=5;8012=3;8014=1;8017=1},100,{8011=4;8012=2;8013=1;8014=1;8017=2},50,{8011=4;8012=3;8013=1;8014=1;8017=1},50,{8011=3;8012=3;8013=1;8014=1;8017=2},50,,0,,0,,,,
