变量名,eventID,"
  _name
  ",delay,sound,damageSeg,hpSeg,segInterval,shaker,music,"zOrder ",move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control
默认值,,,,,,,,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
ID,spine里的eventID,技能过程名,延迟,音效（废弃）,伤害分段,加血分段,伤害或加血时间间隔,震动,背景音乐,"调整目标的层级，格式：<{delay=0;zorder=999;lastTime=500};{}> zorder：可正可负.层级值越大，层级越接近玩家的眼睛位置.lastTime：持续时间，配置该字段，一段时间后会自动恢复原来的层级. 示例： <{delay=0;zorder=-999;lastTime=2000};{}>  ",移动（teamClose=per，让目标往中间靠拢，per是靠近的比例值，原始距离为目前和它周围的几个目标的间距）,显示隐藏,特效类型（0-播放本体spine动作; 1-以res为资源路径创建新的特效）,特效资源或动作名.对应到前面的effectType字段，如果是动作，填对应的动作名.如果是创建新资源，填特效资源路径 lugushou/qietu.skel,"特效参数是对新创建资源才有效的参数.配置格式： {offsetX=0;offsetY=0;delay=2000;addTolayer=-1;zorder=6;aniName=genggui_skill2;aniLoop=false;lastTime=60000;screenPos=0} delay表示延迟时间，和其它字段的一样. addToLayer 有两个值，1表示在 角色上层， -1表示在角色下层.默认可以不填，放在下层;offsetxy相对目标的位置偏移/zorder层级(0代表目标本身那层，直接填0会在目标上层显示.值越大层越靠近玩家眼睛)/flytime飞行时间(可以让特效飞行的)/flyXY飞行距离偏移/存活时间 （时间单位都是ms)  ",相关的其他帧事件id组，不能填自己，或者互相调用,跟随骨骼：{bones=<Hitman_move;Hitman_move1;Hitman_move2>},仅显示本次过程段中的目标,大招跳过,单位身上挂件{lifeBar:血条}
,,,,,,,,,,,,,,,,,,,,
90,90,"
  ult skip
  ",1000,,,,,,,,,,,,,,,TRUE,TRUE,
91,91,"
  blood bar display
  ",,,,,,,,,,,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
111,1001,"
  Frog Seeds
  ",,,<0.5;0.5>,,<0;166.6>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
121,1003,"
  Frog Seeds
  ",,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
131,1006,"
  Frog Seeds
  ",,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;1433.3;133.3;133.3;166.6;166.6;200>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
132,1091,"
  target moving
  hide
  ",,,,,,,,"<{delay=0;zorder=999;lastTime=9999}>  ",<{delay=0;t=0;absX=1680;absY=680};{delay=2280;t=80;absX=1000;absY=880};{delay=2420;t=0;absX=1350;absY=-500;scale=1.4};{delay=2460;t=170;absX=1350;absY=700;scale=1.4};{delay=2620;t=900;absX=1350;absY=800;scale=0.8;rot=5}>,<{delay=825;hide=true;lastTime=800};{delay=2420;hide=true;lastTime=100}>,,,,<90;1092>,,TRUE,,
133,1092,"
  sudu_bj
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{offsetX=-350;offsetY=-350;addTolayer=-1;zorder=1;aniName=miaowazhongzi_skill2;scale=1;aniLoop=false;lastTime=4833.3;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
211,2001,"
  Froggrass
  ",,,<0.5;0.5>,,<0;133.3>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
221,2003,"
  Froggrass
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
231,2008,"
  Froggrass
  ",,,<0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.1;0.1>,,<0;133.3;133.3;133.3;133.3;133.3;1233.3;133.3;133.3;433.3;133.3;100;133.3;100;133.3;133.3;100;100>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
232,2091,"
  target moving
  hide
  ",,,,,,,,,<{delay=0;t=0;absX=1700;absY=600;scale=1.2}>,<{delay=0;hide=true;lastTime=4500}>,,,,<90;2092>,,TRUE,,
233,2092,"
  moren_bj
  ",,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{offsetX=0;offsetY=0;addTolayer=-1;zorder=1;aniName=miaowacao_skill2;scale=1;aniLoop=false;lastTime=8166.6;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
311,3001,"
  Frog Flower
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
321,3002,"
  Frog Flower
  ",,,<0.3;0.3;0.4>,,<0;466.6;833.3>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
331,3005,"
  Frog Flower
  ",,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;100;100;100;100;100>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
332,3091,"
  target moving
  hide
  ",,,,,,,,"<{delay=0;zorder=10;lastTime=6000}>  ",<{delay=0;t=0;absX=1900;absY=550;scale=1.3}>,<{delay=0;hide=true;lastTime=6000}>,,,,<90;3092;3093>,,TRUE,,
333,3092,"
  tiankong
  ",,,,,,,,,,,1,koudai_beijing/tiankong.skel,{offsetX=0;offsetY=0;delay=0;addTolayer=-1;zorder=99;aniName=miaowahua_skill2;scale=0.75;aniLoop=false;lastTime=7833.3;screenPos=0},,,TRUE,,
334,3093,"
  huangtu
  ",,,,,,,,,,,1,koudai_beijing/huangtu.skel,{offsetX=0;offsetY=0;delay=0;addTolayer=-1;zorder=99;aniName=miaowahua_skill2;scale=0.75;aniLoop=false;lastTime=7833.3;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
411,3101,"
  Frog flower mega
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
421,3102,"
  Frog flower mega
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;133.3;133.3;133.3>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
431,3107,"
  Frog flower mega
  ",,,<0.05;0.05;0.05;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;2397.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;200;200>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
432,1,"
  target moving
  hide
  ",,,,,,,,,,,,,,<90;3192;3193;3194;3195>,{bones=<hitman_move1>},TRUE,,
433,3192,"
  huahai
  ",,,,,,,,,,,1,koudai_beijing/huahai.skel,{offsetX=0;offsetY=100;delay=0;addTolayer=1;zorder=99;aniName=miaowahuamega_skill2_qian;scale=0.65;aniLoop=false;lastTime=12166.66;screenPos=0},,,TRUE,,
434,3193,"
  huahai
  ",,,,,,,,,,,1,koudai_beijing/huahai.skel,{offsetX=0;offsetY=25;delay=0;addTolayer=-1;zorder=-1;aniName=miaowahuamega_skill2_hou;scale=0.7;aniLoop=false;lastTime=12166.66;screenPos=0},,,TRUE,,
435,3194,"
  dizhen
  ",,,,,,,,,,,1,koudai_beijing/dizhen.skel,{offsetX=0;offsetY=0;delay=0;addTolayer=-1;zorder=-2;aniName=miaowahuamega_skill2;scale=0.7;aniLoop=false;lastTime=12166.66;screenPos=0},,,TRUE,,
436,3195,"
  tiankong_x
  ",,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{offsetX=-80;offsetY=0;delay=0;addTolayer=-1;zorder=-3;aniName=miaowahuamega_skill2;scale=0.6;aniLoop=false;lastTime=12166.66;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
1111,4001,"
  Charmander
  ",,,<0.3;0.3;0.4>,,<0;100;133.3>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1121,4004,"
  Charmander
  ",,,<0.25;0.25;0.25;0.25>,,<0;266.6;166.6;166.6>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1131,4008,"
  Charmander
  ",,,<0.3;0.3;0.4>,,<0;133.3;166.6>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
1132,4091,"
  target moving
  hide
  ",,,,,,,,,,<{delay=0;hide=true;lastTime=1600}>,,,,<90;4092>,,TRUE,,
1133,4092,"
  sudu_bj_guang
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,"{addTolayer=-1;offsetX=-200;offsetY=0;zorder=-1;aniName=xiaohuolong_skill2;aniLoop=false;lastTime=4900;screenPos=0;scale=1.2} ",,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
1211,5001,"
  fire dinosaur
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;366.6;100;100>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1221,5006,"
  fire dinosaur
  ",,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;100;100;666.6;66.6;66.6;66.6>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1231,5013,"
  fire dinosaur
  ",,,<0.2;0.2;0.3;0.3>,,<0;133.3;133.3;133.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
