变量名,_beizhu,type,itemWeightMap,itemCount,itemMap,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable,languages
默认值,,0,{},0,{},{equip_awake_frag=0},0,1,0,20990101,0,<1;200>,0,0,FALSE,<cn;tw;en;vn;th;kr>
商店ID,备注,类型 1-固定；2-刷新,商品ID表({ID=权重;}),商品个数,商品ID表(ID=数量),消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Accessory Awakening Item 1,2,{200=100;201=100;202=100;203=100;204=100;205=100;210=100;211=100;212=100;213=100;214=100;215=100;220=100;221=100;222=100;223=100;224=100;225=100;230=100;231=100;232=100;233=100;234=100;235=100},1,,{equip_awake_frag=200},,,,,1,,,,,
2,Accessories awakening props 2,2,{200=100;201=100;202=100;203=100;204=100;205=100;210=100;211=100;212=100;213=100;214=100;215=100;220=100;221=100;222=100;223=100;224=100;225=100;230=100;231=100;232=100;233=100;234=100;235=100},1,,{equip_awake_frag=200},,,,,2,,,,,
3,carrying props blue,2,{30201=100;30202=100;30203=100;30204=100;30205=100;30206=100;30207=100;30208=100;30209=100;31201=100;31202=100},1,,{equip_awake_frag=60},,,,,3,,,,,
4,carry props purple,2,{30301=100;30302=100;30303=100;30304=100;30305=100;30306=100;30307=150;30308=150;30309=150;30310=150;30311=150;30312=150;30313=100;30314=100;30315=100;30316=100;30317=100},1,,{equip_awake_frag=300},,,,,3,,,,,
5,carrying props blue,2,{30201=100;30202=100;30203=100;30204=100;30205=100;30206=100;30207=100;30208=100;30209=100;31201=100;31202=100},1,,{equip_awake_frag=60},,,,,4,,,,,
6,carry props purple,2,{30301=100;30302=100;30303=100;30304=100;30305=100;30306=100;30307=150;30308=150;30309=150;30310=150;30311=150;30312=150;30313=100;30314=100;30315=100;30316=100;30317=100},1,,{equip_awake_frag=300},,,,,4,,,,,
7,carrying props green,2,{30101=100;30102=100;30103=100;30104=100;30105=100;30106=100},1,,{equip_awake_frag=30},,,,,5,,,,,
8,carrying props green,2,{30101=100;30102=100;30103=100;30104=100;30105=100;30106=100},1,,{equip_awake_frag=30},,,,,6,,,,,
,,,,,,,,,,,,,,,,
61,Accessories Awakening Items,1,,,{501=1},{equip_awake_frag=24},,1,,,7,,,,,
62,Purple favorability gift,1,,,{902=5},{equip_awake_frag=30},,1,,,8,,,,,
63,Purple carrying reinforcements,1,,,{2103=1},{equip_awake_frag=12},,1,,,9,,,,,
64,blue carry random box,1,,,{941=1},{equip_awake_frag=50},,1,,,10,,,,,
65,Green carries a random box,1,,,{940=1},{equip_awake_frag=25},,1,,,11,,,,,
,,,,,,,,,,,,,,,,
301,Purple Magnum,1,,,{2152=1},{equip_awake_frag=100},,1,,,12,,3,3,,
302,Orange Magnum,1,,,{2153=1},{equip_awake_frag=600},,1,,,13,,3,2,,
303,Crimson Claw Fragment,1,,,{28102=1},{equip_awake_frag=36},,1,,,14,<75;200>,4,50,,<>
304,Fragment of the Immortal Shield,1,,,{28103=1},{equip_awake_frag=36},,1,,,15,<75;200>,4,50,,<>
,,,,,,,,,,,,,,,,
101,Pay attention to the headband,2,,,{30201=1},{equip_awake_frag=50},,0,,,4,,,,,
102,Primordial Stone,2,,,{30202=1},{equip_awake_frag=50},,0,,,5,,,,,
103,satiety incense,2,,,{30203=1},{equip_awake_frag=50},,0,,,6,,,,,
104,Momentum is brought,2,,,{30204=1},{equip_awake_frag=50},,0,,,7,,,,,
105,Bulbs,2,,,{30205=1},{equip_awake_frag=50},,0,,,8,,,,,
106,Pay attention to glasses,2,,,{30206=1},{equip_awake_frag=50},,0,,,9,,,,,
107,White Jade Orb,2,,,{30207=1},{equip_awake_frag=50},,0,,,10,,,,,
108,Preemptive Claws,2,,,{30208=1},{equip_awake_frag=50},,0,,,11,,,,,
109,focus lens,2,,,{30209=1},{equip_awake_frag=50},,0,,,12,,,,,
,,,,,,,,,,,,,,,,
201,Platinum Orb,2,,,{30101=1},{equip_awake_frag=10},,0,,,14,,,,,
202,suspicious patch,2,,,{30102=1},{equip_awake_frag=10},,0,,,15,,,,,
203,beautiful scales,2,,,{30103=1},{equip_awake_frag=10},,0,,,16,,,,,
204,whipped cream,2,,,{30104=1},{equip_awake_frag=10},,0,,,17,,,,,
205,Bracers of Strength,2,,,{30105=1},{equip_awake_frag=10},,0,,,18,,,,,
206,Cloth of the Spirit World,2,,,{30106=1},{equip_awake_frag=10},,0,,,19,,,,,
207,Forced Exerciser,2,,,{30107=1},{equip_awake_frag=10},,0,,,20,,,,,
