变量名,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
默认值,701,{},1,{},352,<>,0,<>,0,<>,0,<>,0,<>,
ID,组件道具ID,组件位在界面的坐标,组件位在界面上显示位置顺序，按顺时针算,组件线的坐标及翻转配置,组件线宽度,属性生效目标（空为全队属性）,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,升级消耗序列
,,,,,,,,,,,,,,,
1,4011,{x=197;y=491},1,{flip=4;x=420;y=461},480,<>,1,<155;279;404;546;689;852;1015;1202;1388;1602;1816;2060;2303;2583;2862;3182;3502;3869;4235;4655>,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917>,,,,,1
2,4012,{x=1483;y=823},2,{flip=3;x=1219;y=789},390,<>,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441>,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241>,,,,,2
3,4013,{x=1483;y=322},3,{flip=1;x=1289;y=349},260,<>,9,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483>,10,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357>,,,,,3
4,4021,{x=236;y=590},1,{flip=4;x=483;y=555},420,<>,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917>,10,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483>,,,,,4
5,4022,{x=1442;y=781},2,{flip=3;x=1180;y=750},410,<>,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241>,9,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357>,,,,,5
6,4023,{x=1442;y=280},3,{flip=3;x=1233;y=250},300,<>,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441>,13,<5;7;9;12;14;16;18;21;23;25;28;30;32;35;37;39;41;44;46;48>,,,,,6
7,4031,{x=183;y=511},1,{flip=4;x=363;y=485},240,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,7
8,4032,{x=1483;y=800},2,{flip=3;x=1210;y=770},450,<>,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999>,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,10,<20;36;52;70;88;109;130;154;178;205;232;263;294;330;366;407;448;495;542;596>,,,8
9,4033,{x=1483;y=440},3,{flip=1;x=1313;y=460},215,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,9,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,9
10,4041,{x=135;y=540},1,{flip=4;x=401;y=507},400,<>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,11
11,4042,{x=131;y=318},2,{flip=4;x=330;y=294},260,<>,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,10,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,12
12,4043,{x=1539;y=601},3,{flip=1;x=1345;y=615},250,<>,7,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,13
13,4051,{x=1474;y=802},1,{flip=3;x=1158;y=761},520,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,,,15
14,4052,{x=1475;y=247},2,{flip=1;x=1278;y=269},270,<>,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,16
15,4053,{x=198;y=701},3,{flip=4;x=466;y=661},420,<>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,17
16,4061,{x=200;y=750},1,{flip=4;x=377;y=711},410,<>,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,19
