"﻿变量名",effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr
默认值,1,<>,,,<>,,<>,,<>,,<>,,<>,,<>,,,,,
ID,效果类型（1属性2技能）,目标类型,技能ID,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）_越南,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）_韩
,,,,,,,,,,,,,,,,,,,,
1,1,<>,,1,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%;>,,,,,,,,,,,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
2,1,<>,,1,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,13,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,7,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,8,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,9,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,10,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
3,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
4,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
5,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
6,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
