变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
默认值,,<cn;tw;en;vn;th;kr>,<cn;tw;en;vn;th;kr>,,,,config/portrait/jinglingtouxiang/img_25_pkq@.png,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,"""""",오박사가 연구 제작하였으며 포켓몬의 데이터로 포켓몬의 형태를 구현해내는 첨단 과학 물건,4,1,1,0,{coin5=5},11,10,9999,<1>,<3>,1000,FALSE,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,헤당 조각을 얻을 고정 획득경로 아직 없음,0,100,{drawcard=false;gain=false},0,0
碎片ID,碎片名称,语言区域,抽卡语言区域,碎片名称,碎片名称,碎片名称_韩,碎片图示,描述,描述,描述,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片),公会赠予类型（0-不可赠送；1-可赠送）,对应万能碎片ID,碎片分解价值,产物对应ID,合成数量,堆栈上限,功能按键,特殊页签显示,出售价格,是否自动合成,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述_韩,是否成品(接口显示用),精灵分解消耗,分别表示在抽卡，恭喜获得,排序类型,排序价值
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,Bulbasaur Shard,,,妙蛙種子碎片,Bulbasaur Shard,이상해씨 조각,config/portrait/jinglingtouxiang/img_1_mwzz@.png,Gather %d#C0x55504D#s to get #C0xE77421#Bulbasaur#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#妙蛙種子#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Bulbasaur#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#이상해씨#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1,30,,,,,,20103,21501,shop-2," drawCard-gold",,,,,,,,,,,,
20011,Charmander Shard,,,小火龍碎片,Charmander Shard,파이리 조각,config/portrait/jinglingtouxiang/img_4_xhl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Charmander#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小火龍#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Charmander#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#파이리#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},11,30,,,,,,20403,21801,shop-6," drawCard-gold",,,,,,,,,,,,
20021,Squirtle Shard,,,傑尼龜碎片,Squirtle Shard,꼬부기 조각,config/portrait/jinglingtouxiang/img_7_jng@.png,Gather %d#C0x55504D#s to get #C0xE77421#Squirtle#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#傑尼龜#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Squirtle#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#꼬부기#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},21,30,,,,,,20303,21901,shop-4," drawCard-gold",,,,,,,,,,,,
20031,Caterpie Shard,,,綠毛蟲碎片,Caterpie Shard,캐터피 조각,config/portrait/jinglingtouxiang/img_10_lmc@.png,Gather %d#C0x55504D#s to get #C0xE77421#Caterpie#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#綠毛蟲#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Caterpie#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#캐터피#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},31,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20041,Beedrill Shard,,,大針蜂碎片,Beedrill Shard,독침붕 조각,config/portrait/jinglingtouxiang/img_15_dzf@.png,Gather %d#C0x55504D#s to get #C0xE77421#Beedrill#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大針蜂#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Beedrill#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#독침붕#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},41,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20051,Pidgey Shard,,,波波碎片,Pidgey Shard,구구 조각,config/portrait/jinglingtouxiang/img_16_bb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Pidgey#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#波波#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Pidgey#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#구구#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},51,30,,,,,,20301,21803," drawCard-gold",,,,,,,,,,,,,
20061,Rattata Shard,,,小拉達碎片,Rattata Shard,꼬렛 조각,config/portrait/jinglingtouxiang/img_19_xld@.png,Gather %d#C0x55504D#s to get #C0xE77421#Rattata#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小拉達#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Rattata#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#꼬렛#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},61,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
