"﻿变量名",suitID,suitName,suitName_tw,suitName_en,suitName_kr,suitNum,suitQuality,attrType1,attrNum1,attrType2,attrNum2
默认值,1,"""""","""""","""""","""""",6,1,0,,0,
ID,套装ID,套装名称,套装名称,套装名称,套装名称_韩,套装散件数量,套装品质,属性类型1,属性数值1,属性类型2,属性数值2
,,,,,,,,,,,
1,1,Punch,強擊,Punch,강격,3,2,7,4%,8,4%
2,1,Punch,強擊,Punch,강격,6,2,11,300,12,300
3,1,Punch,強擊,Punch,강격,3,3,7,5%,8,5%
4,1,Punch,強擊,Punch,강격,6,3,11,400,12,400
5,1,Punch,強擊,Punch,강격,3,4,7,6%,8,6%
6,1,Punch,強擊,Punch,강격,6,4,11,500,12,500
7,1,Punch,強擊,Punch,강격,3,5,7,9%,8,9%
8,1,Punch,強擊,Punch,강격,6,5,11,700,12,700
9,1,Punch,強擊,Punch,강격,3,6,7,12%,8,12%
10,1,Punch,強擊,Punch,강격,6,6,11,1000,12,1000
11,2,Deadly,致命,Deadly,치명,3,2,14,200,,
12,2,Deadly,致命,Deadly,치명,6,2,15,300,,
13,2,Deadly,致命,Deadly,치명,3,3,14,300,,
14,2,Deadly,致命,Deadly,치명,6,3,15,450,,
15,2,Deadly,致命,Deadly,치명,3,4,14,400,,
16,2,Deadly,致命,Deadly,치명,6,4,15,600,,
17,2,Deadly,致命,Deadly,치명,3,5,14,600,,
18,2,Deadly,致命,Deadly,치명,6,5,15,900,,
19,2,Deadly,致命,Deadly,치명,3,6,14,800,,
20,2,Deadly,致命,Deadly,치명,6,6,15,1200,,
21,3,Warlike,好戰,Warlike,전투광,3,2,92,200,,
22,3,Warlike,好戰,Warlike,전투광,6,2,22,200,,
23,3,Warlike,好戰,Warlike,전투광,3,3,92,300,,
24,3,Warlike,好戰,Warlike,전투광,6,3,22,300,,
25,3,Warlike,好戰,Warlike,전투광,3,4,92,400,,
26,3,Warlike,好戰,Warlike,전투광,6,4,22,400,,
27,3,Warlike,好戰,Warlike,전투광,3,5,92,600,,
28,3,Warlike,好戰,Warlike,전투광,6,5,22,600,,
29,3,Warlike,好戰,Warlike,전투광,3,6,92,800,,
30,3,Warlike,好戰,Warlike,전투광,6,6,22,800,,
31,4,Defend,守禦,Defend,방어,3,2,17,300,,
32,4,Defend,守禦,Defend,방어,6,2,19,300,,
33,4,Defend,守禦,Defend,방어,3,3,17,400,,
34,4,Defend,守禦,Defend,방어,6,3,19,400,,
35,4,Defend,守禦,Defend,방어,3,4,17,500,,
36,4,Defend,守禦,Defend,방어,6,4,19,500,,
37,4,Defend,守禦,Defend,방어,3,5,17,750,,
38,4,Defend,守禦,Defend,방어,6,5,19,750,,
39,4,Defend,守禦,Defend,방어,3,6,17,1000,,
40,4,Defend,守禦,Defend,방어,6,6,19,1000,,
41,5,Shield,盾甲,Shield,실드,3,2,1,5%,,
42,5,Shield,盾甲,Shield,실드,6,2,16,300,,
43,5,Shield,盾甲,Shield,실드,3,3,1,6.50%,,
44,5,Shield,盾甲,Shield,실드,6,3,16,400,,
45,5,Shield,盾甲,Shield,실드,3,4,1,8%,,
46,5,Shield,盾甲,Shield,실드,6,4,16,500,,
47,5,Shield,盾甲,Shield,실드,3,5,1,12%,,
48,5,Shield,盾甲,Shield,실드,6,5,16,700,,
49,5,Shield,盾甲,Shield,실드,3,6,1,16%,,
50,5,Shield,盾甲,Shield,실드,6,6,16,1000,,
51,6,King Kong,金剛,King Kong,금강,3,2,93,200,,
52,6,King Kong,金剛,King Kong,금강,6,2,23,200,,
53,6,King Kong,金剛,King Kong,금강,3,3,93,300,,
54,6,King Kong,金剛,King Kong,금강,6,3,23,300,,
55,6,King Kong,金剛,King Kong,금강,3,4,93,400,,
56,6,King Kong,金剛,King Kong,금강,6,4,23,400,,
57,6,King Kong,金剛,King Kong,금강,3,5,93,600,,
58,6,King Kong,金剛,King Kong,금강,6,5,23,600,,
59,6,King Kong,金剛,King Kong,금강,3,6,93,800,,
60,6,King Kong,金剛,King Kong,금강,6,6,23,800,,
61,7,Shelter,庇護,Shelter,비호,3,2,28,400,,
62,7,Shelter,庇護,Shelter,비호,3,3,28,500,,
63,7,Shelter,庇護,Shelter,비호,3,4,28,600,,
64,7,Shelter,庇護,Shelter,비호,3,5,28,900,,
65,7,Shelter,庇護,Shelter,비호,3,6,28,1200,,
66,8,Shine,閃耀,Shine,반짝임,3,2,26,200,,
67,8,Shine,閃耀,Shine,반짝임,3,3,26,300,,
68,8,Shine,閃耀,Shine,반짝임,3,4,26,400,,
69,8,Shine,閃耀,Shine,반짝임,3,5,26,600,,
70,8,Shine,閃耀,Shine,반짝임,3,6,26,800,,
71,9,Counter,反制,Counter,반격,3,2,27,300,,
72,9,Counter,反制,Counter,반격,3,3,27,450,,
73,9,Counter,反制,Counter,반격,3,4,27,600,,
74,9,Counter,反制,Counter,반격,3,5,27,900,,
75,9,Counter,反制,Counter,반격,3,6,27,1200,,
