变量名,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
默认值,"""""",0,{},1,1,1,20990101,<cn>,<20160101;20990101>
ID,礼包名字仅备注,0常规（1个码用1次）还是1固定类型（1码反复用）,礼包内容,礼包领取上限（单个玩家的上限）,礼包类型归类（俩码取其1领取时填同个ID）,类型领取上限（单人的上限）,截止日期,语言区域,生效的创角时间区间
,,,,,,,,,
100,Exclusive VIP package (display only),,{rmb=1000;gold=2000000;902=50;502=20},1,100,1,20990101,,
,,,,,,,,,
1001,Membership package,,{rmb=200;gold=100000;19=1;12=10},1,1001,1,20990101,,
1002,Novice gift pack,,{rmb=200;gold=100000;12=10;800=1},1,1002,1,20990101,,
1003,Elite gift pack,,{rmb=200;gold=100000;19=2;800=2},1,1003,1,20990101,,
1004,bug gift pack,,{rmb=200;12=10},1,1004,10,20990101,,
,,,,,,,,,
2001,Guild group gift pack,,{rmb=188;gold=50000;900=10},1,2001,1,20990101,,
2002,Guild login package (7 days),,{rmb=200;451=20;2101=5},1,2002,1,20990101,,
2003,Guild Login Package (15 days),,{rmb=300;2102=10;519=3},1,2003,1,20990101,,
2004,Guild event pack,,{522=2;12=10;gold=50000},20,2004,20,20990101,,
2005,Raiders prize pack,,{rmb=300;519=3;502=3},5,2005,5,20990101,,
,,,,,,,,,
8000,Test fixed code package,,{gold=300},1,8000,1,20990101,,
8001,Membership package,,{rmb=200;gold=100000;19=1;12=10},1,8001,1,20990101,,
8002,Novice gift pack,,{rmb=200;gold=100000;12=10;800=1},1,8002,1,20990101,,
8003,Elite gift pack,,{rmb=200;gold=100000;19=2;800=2},1,8003,1,20990101,,
8004,bug gift pack,,{rmb=200;12=10},1,8004,10,20990101,,
,,,,,,,,,
10001,Membership package,,{rmb=188;gold=200000;12=20;930=5},1,10001,1,20990101,,
10002,bug gift pack,,{rmb=188;gold=100000},10,10002,10,20990101,,
10003,Veteran Player Rewards Package,,{519=10},1,10003,1,20990101,,
,,,,,,,,,
11001,VIP package,,{rmb=1000;gold=2000000;502=20;902=50},1,11001,1,20990101,,
,,,,,,,,,
12001,pikachu gift pack,,{rmb=100;gold=50000;900=10},1,12001,1,20990101,,
12002,Squirrel gift pack,,{rmb=200;gold=100000;2101=5},1,12002,1,20990101,,
12003,Charmander Pack,,{rmb=300;gold=100000;2102=5},1,12003,1,20990101,,
12004,Channel test group gift package,,{rmb=200;gold=100000;2101=5},1,12004,1,20990101,,
