变量名,feelType,level,needExp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,,,1000,7,0,8,0,1,0,9,0,10,0,13,0
好感度序号,好感度标示,好感度等级,升级所需经验,属性类型1,属性加成1,属性类型2,属性加成2,属性类型3,属性加成3,属性类型4,属性加成4,属性类型5,属性加成5,属性类型6,属性加成6
1,1,0,16,7,0,8,0,1,0,9,0,10,0,13,0
2,1,1,16,7,30,8,30,1,0,9,0,10,0,13,0
3,1,2,16,7,30,8,30,1,96,9,0,10,0,13,0
4,1,3,16,7,30,8,30,1,96,9,10,10,10,13,0
5,1,4,16,7,30,8,30,1,96,9,10,10,10,13,3
6,1,5,24,7,60,8,60,1,96,9,10,10,10,13,3
7,1,6,24,7,60,8,60,1,192,9,10,10,10,13,3
8,1,7,24,7,60,8,60,1,192,9,20,10,20,13,3
9,1,8,24,7,60,8,60,1,192,9,20,10,20,13,6
10,1,9,24,7,90,8,90,1,192,9,20,10,20,13,6
11,1,10,32,7,90,8,90,1,288,9,20,10,20,13,6
12,1,11,32,7,90,8,90,1,288,9,30,10,30,13,6
13,1,12,32,7,90,8,90,1,288,9,30,10,30,13,9
14,1,13,32,7,120,8,120,1,288,9,30,10,30,13,9
15,1,14,32,7,120,8,120,1,384,9,30,10,30,13,9
16,1,15,40,7,120,8,120,1,384,9,40,10,40,13,9
17,1,16,40,7,120,8,120,1,384,9,40,10,40,13,12
18,1,17,40,7,150,8,150,1,384,9,40,10,40,13,12
19,1,18,40,7,150,8,150,1,480,9,40,10,40,13,12
20,1,19,40,7,150,8,150,1,480,9,50,10,50,13,12
21,1,20,48,7,165,8,165,1,528,9,55,10,55,13,17
22,1,21,48,7,198,8,198,1,528,9,55,10,55,13,17
23,1,22,48,7,198,8,198,1,634,9,55,10,55,13,17
24,1,23,48,7,198,8,198,1,634,9,66,10,66,13,17
25,1,24,48,7,198,8,198,1,634,9,66,10,66,13,20
26,1,25,56,7,231,8,231,1,634,9,66,10,66,13,20
27,1,26,56,7,231,8,231,1,739,9,66,10,66,13,20
28,1,27,56,7,231,8,231,1,739,9,77,10,77,13,20
29,1,28,56,7,231,8,231,1,739,9,77,10,77,13,23
30,1,29,56,7,264,8,264,1,739,9,77,10,77,13,23
31,1,30,64,7,264,8,264,1,845,9,77,10,77,13,23
32,1,31,64,7,264,8,264,1,845,9,88,10,88,13,23
33,1,32,64,7,264,8,264,1,845,9,88,10,88,13,26
34,1,33,64,7,297,8,297,1,845,9,88,10,88,13,26
35,1,34,64,7,297,8,297,1,950,9,88,10,88,13,26
36,1,35,72,7,297,8,297,1,950,9,99,10,99,13,26
37,1,36,72,7,297,8,297,1,950,9,99,10,99,13,30
38,1,37,72,7,330,8,330,1,950,9,99,10,99,13,30
39,1,38,72,7,330,8,330,1,1056,9,99,10,99,13,30
40,1,39,72,7,330,8,330,1,1056,9,110,10,110,13,30
41,1,40,80,7,330,8,330,1,1056,9,110,10,110,13,33
42,1,41,80,7,363,8,363,1,1056,9,110,10,110,13,33
43,1,42,80,7,363,8,363,1,1162,9,110,10,110,13,33
44,1,43,80,7,363,8,363,1,1162,9,121,10,121,13,33
45,1,44,80,7,363,8,363,1,1162,9,121,10,121,13,36
46,1,45,80,7,396,8,396,1,1162,9,121,10,121,13,36
47,1,46,80,7,396,8,396,1,1267,9,121,10,121,13,36
48,1,47,80,7,396,8,396,1,1267,9,132,10,132,13,36
49,1,48,80,7,396,8,396,1,1267,9,132,10,132,13,40
50,1,49,80,7,429,8,429,1,1267,9,132,10,132,13,40
51,1,50,88,7,429,8,429,1,1373,9,132,10,132,13,40
52,1,51,88,7,429,8,429,1,1373,9,143,10,143,13,40
53,1,52,88,7,429,8,429,1,1373,9,143,10,143,13,43
54,1,53,88,7,462,8,462,1,1373,9,143,10,143,13,43
55,1,54,88,7,462,8,462,1,1478,9,143,10,143,13,43
56,1,55,88,7,462,8,462,1,1478,9,154,10,154,13,43
57,1,56,88,7,462,8,462,1,1478,9,154,10,154,13,46
58,1,57,88,7,495,8,495,1,1478,9,154,10,154,13,46
59,1,58,88,7,495,8,495,1,1584,9,154,10,154,13,46
60,1,59,88,7,495,8,495,1,1584,9,165,10,165,13,46
61,1,60,96,7,540,8,540,1,1728,9,180,10,180,13,54
62,1,61,96,7,576,8,576,1,1728,9,180,10,180,13,54
63,1,62,96,7,576,8,576,1,1843,9,180,10,180,13,54
64,1,63,96,7,576,8,576,1,1843,9,192,10,192,13,54
65,1,64,96,7,576,8,576,1,1843,9,192,10,192,13,58
66,1,65,96,7,612,8,612,1,1843,9,192,10,192,13,58
67,1,66,96,7,612,8,612,1,1958,9,192,10,192,13,58
68,1,67,96,7,612,8,612,1,1958,9,204,10,204,13,58
69,1,68,96,7,612,8,612,1,1958,9,204,10,204,13,61
70,1,69,96,7,648,8,648,1,1958,9,204,10,204,13,61
71,1,70,104,7,648,8,648,1,2074,9,204,10,204,13,61
72,1,71,104,7,648,8,648,1,2074,9,216,10,216,13,61
73,1,72,104,7,648,8,648,1,2074,9,216,10,216,13,65
74,1,73,104,7,684,8,684,1,2074,9,216,10,216,13,65
75,1,74,104,7,684,8,684,1,2189,9,216,10,216,13,65
76,1,75,104,7,684,8,684,1,2189,9,228,10,228,13,65
77,1,76,104,7,684,8,684,1,2189,9,228,10,228,13,68
78,1,77,104,7,720,8,720,1,2189,9,228,10,228,13,68
79,1,78,104,7,720,8,720,1,2304,9,228,10,228,13,68
80,1,79,104,7,720,8,720,1,2304,9,240,10,240,13,68
81,1,80,112,7,720,8,720,1,2304,9,240,10,240,13,72
82,1,81,112,7,756,8,756,1,2304,9,240,10,240,13,72
83,1,82,112,7,756,8,756,1,2419,9,240,10,240,13,72
84,1,83,112,7,756,8,756,1,2419,9,252,10,252,13,72
85,1,84,112,7,756,8,756,1,2419,9,252,10,252,13,76
86,1,85,112,7,792,8,792,1,2419,9,252,10,252,13,76
87,1,86,112,7,792,8,792,1,2534,9,252,10,252,13,76
88,1,87,112,7,792,8,792,1,2534,9,264,10,264,13,76
89,1,88,112,7,792,8,792,1,2534,9,264,10,264,13,79
90,1,89,112,7,828,8,828,1,2534,9,264,10,264,13,79
91,1,90,120,7,828,8,828,1,2650,9,264,10,264,13,79
92,1,91,120,7,828,8,828,1,2650,9,276,10,276,13,79
93,1,92,120,7,828,8,828,1,2650,9,276,10,276,13,83
94,1,93,120,7,864,8,864,1,2650,9,276,10,276,13,83
95,1,94,120,7,864,8,864,1,2765,9,276,10,276,13,83
96,1,95,120,7,864,8,864,1,2765,9,288,10,288,13,83
97,1,96,120,7,864,8,864,1,2765,9,288,10,288,13,86
98,1,97,120,7,900,8,900,1,2765,9,288,10,288,13,86
99,1,98,120,7,900,8,900,1,2880,9,288,10,288,13,86
100,1,99,120,7,900,8,900,1,2880,9,300,10,300,13,86
101,1,100,128,7,900,8,900,1,2880,9,300,10,300,13,90
102,1,101,128,7,936,8,936,1,2880,9,300,10,300,13,90
103,1,102,128,7,936,8,936,1,2995,9,300,10,300,13,90
104,1,103,128,7,936,8,936,1,2995,9,312,10,312,13,90
105,1,104,128,7,936,8,936,1,2995,9,312,10,312,13,94
106,1,105,128,7,972,8,972,1,2995,9,312,10,312,13,94
107,1,106,128,7,972,8,972,1,3110,9,312,10,312,13,94
108,1,107,128,7,972,8,972,1,3110,9,324,10,324,13,94
109,1,108,128,7,972,8,972,1,3110,9,324,10,324,13,97
110,1,109,128,7,1008,8,1008,1,3110,9,324,10,324,13,97
111,1,110,136,7,1008,8,1008,1,3226,9,324,10,324,13,97
112,1,111,136,7,1008,8,1008,1,3226,9,336,10,336,13,97
113,1,112,136,7,1008,8,1008,1,3226,9,336,10,336,13,101
114,1,113,136,7,1044,8,1044,1,3226,9,336,10,336,13,101
115,1,114,136,7,1044,8,1044,1,3341,9,336,10,336,13,101
116,1,115,136,7,1044,8,1044,1,3341,9,348,10,348,13,101
117,1,116,136,7,1044,8,1044,1,3341,9,348,10,348,13,104
118,1,117,136,7,1080,8,1080,1,3341,9,348,10,348,13,104
119,1,118,136,7,1080,8,1080,1,3456,9,348,10,348,13,104
120,1,119,136,7,1080,8,1080,1,3456,9,360,10,360,13,104
121,1,120,144,7,1170,8,1170,1,3744,9,390,10,390,13,117
122,1,121,144,7,1209,8,1209,1,3744,9,390,10,390,13,117
123,1,122,144,7,1209,8,1209,1,3869,9,390,10,390,13,117
124,1,123,144,7,1209,8,1209,1,3869,9,403,10,403,13,117
125,1,124,144,7,1209,8,1209,1,3869,9,403,10,403,13,121
126,1,125,144,7,1248,8,1248,1,3869,9,403,10,403,13,121
127,1,126,144,7,1248,8,1248,1,3994,9,403,10,403,13,121
128,1,127,144,7,1248,8,1248,1,3994,9,416,10,416,13,121
129,1,128,144,7,1248,8,1248,1,3994,9,416,10,416,13,125
130,1,129,144,7,1287,8,1287,1,3994,9,416,10,416,13,125
