"﻿变量名",markID,level,addType,addScene,natureType,desc,desc_tw,desc_en,desc_vn,desc_kr,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,1,,,0,0,"""""","""""","""""","""""","""""",0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
好感度序号,卡牌markID,好感度等级,效果类型(1-自身系列属性加成；2-指定自然属性卡牌属性加成；3-全体卡牌属性加成；4-上阵前排；5-上阵后排),加成场景（-1-所有战斗场景；0-主城固定加成；1-关卡；2-竞技场；3-活动副本；4-无尽之塔；5-公会副本）,自然属性,效果描述,效果描述,效果描述,效果描述_越南,效果描述_韩,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
900001,9001,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
901001,9002,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
902001,9003,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
,,,,,,,,,,,,,,,,,,,,,,
1,1,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
2,1,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
3,1,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
4,1,80,2,0,4,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
5,1,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
6,1,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
7,1,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
8,1,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
9,1,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
10,1,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
11,1,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
12,1,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
13,1,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
1001,11,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
1002,11,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
1003,11,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
1004,11,80,2,0,2,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
1005,11,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
1006,11,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
1007,11,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
1008,11,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
1009,11,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
1010,11,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
1011,11,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
1012,11,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
1013,11,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
2001,21,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
2002,21,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
2003,21,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
2004,21,80,2,0,3,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
2005,21,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
2006,21,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
2007,21,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
2008,21,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
2009,21,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
2010,21,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
2011,21,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
2012,21,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
2013,21,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
3001,31,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
3002,31,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
3003,31,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
3004,31,80,2,0,12,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
3005,31,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
3006,31,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
3007,31,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
3008,31,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
3009,31,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
3010,31,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
3011,31,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
3012,31,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
3013,31,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
4001,41,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
4002,41,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
4003,41,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
4004,41,80,2,0,12,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
4005,41,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
4006,41,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
4007,41,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
4008,41,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
4009,41,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
4010,41,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
4011,41,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
4012,41,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
4013,41,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
5001,51,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
5002,51,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
5003,51,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
5004,51,80,2,0,1,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
5005,51,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
5006,51,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
5007,51,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
5008,51,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
5009,51,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
5010,51,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
5011,51,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
5012,51,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
5013,51,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
6001,61,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
6002,61,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
6003,61,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
6004,61,80,2,0,1,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
6005,61,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
6006,61,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
6007,61,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
6008,61,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
6009,61,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
6010,61,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
6011,61,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
6012,61,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
6013,61,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
7001,71,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
7002,71,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
7003,71,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
7004,71,80,2,0,1,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
7005,71,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
7006,71,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
