"﻿变量名",name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,feature,taskType,taskParam,taskDesc,taskDesc_tw,taskDesc_en,taskDesc_vn,taskDesc_kr,res,icon,award,items,goto
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,9999,"""""","""""","""""","""""","""""","""""",,{},<>,
成就ID,名字,名字,名字,名字_越南,名字_韩,描述,描述,描述,描述_越南,描述_韩,类型（1：奖励 2：任务）,功能key(对应unlock的feature字段),任务类型,任务参数,任务描述,任务描述,任务描述,任务描述_越南,任务描述_韩,右侧大资源图,icon资源,奖励,道具,跳转目标
1,Hard level,困難關卡,Hard level,404404,하드 스테이지,全新难度，新的挑战,全新難度，新的挑戰,"New difficulty modes, new challenges ahead",404404,"새로운 난이도, 새로운 도전",,heroGate,,,,,,,,config/grow_guide/hard.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},<5000;gold>,20000
2,Hard level,困難關卡,Hard level,404404,하드 스테이지,全新难度，新的挑战,全新難度，新的挑戰,"New difficulty modes, new challenges ahead",404404,"새로운 난이도, 새로운 도전",2,heroGate,30,50,挑战困难关卡50次,挑戰困難關卡50次,Challenge Hard levels 50 times,404404,하드 스테이지 도전 50회,config/grow_guide/hard.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},<5000;gold>,20000
3,Arena,競技場,Arena,Sân thi đấu,아레나,狭路相逢勇者胜,狹路相逢勇者勝,Rivals meet on face to face and the winner emerges,404404,외나무다리에서 만나 용감한 자가 승리한다,,arena,,,,,,,,config/grow_guide/arena.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin1>,arena
4,Arena,競技場,Arena,Sân thi đấu,아레나,狭路相逢勇者胜,狹路相逢勇者勝,Rivals meet on face to face and the winner emerges,404404,외나무다리에서 만나 용감한 자가 승리한다,2,arena,41,20,竞技场挑战20次,競技場挑戰20次,Attempt Arena Challenge 20 times,404404,아레나 도전 20회,config/grow_guide/arena.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin1>,arena
5,Daily Dungeon,日常副本,Daily Dungeon,Thường ngày phó bản,일상 던전,轻松挑战，获取高额奖励,輕鬆挑戰，獲取高額獎勵,Clear challenges easily and get lots of rewards,404404,"손쉬운 도전, 푸짐한 보상을 획득하세요",,activityGate,,,,,,,,config/grow_guide/daily.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<gold;12;13;602;603>,activityGate
6,Daily Dungeon,日常副本,Daily Dungeon,Thường ngày phó bản,일상 던전,轻松挑战，获取高额奖励,輕鬆挑戰，獲取高額獎勵,Clear challenges easily and get lots of rewards,404404,"손쉬운 도전, 푸짐한 보상을 획득하세요",2,activityGate,32,10,挑战10次日常副本,挑戰10次日常副本,Clear Daily Dungeon 10 times,404404,일상 던전 도전 10회,config/grow_guide/daily.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<gold;12;13;602;603>,activityGate
7,Adventure Road,冒險之路,Adventure Road,Mạo hiểm con đường,모험의 길,无限征途，勇往直前,無限征途，勇往直前,Go forward and begin the endless journey,404404,"끝없는 여정, 용감한 전진",,endlessTower,,,,,,,,config/grow_guide/endless.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<451;452;19;gold>,endlessTower
,Adventure Road,冒險之路,Adventure Road,Mạo hiểm con đường,모험의 길,无限征途，勇往直前,無限征途，勇往直前,Go forward and begin the endless journey,404404,"끝없는 여정, 용감한 전진",2,endlessTower,77,10,通关10次冒险之路（计数器未实现）,通關10次冒險之路（計數器未實現）,Clear Adventure Road 10 times (counter unavailable yet),404404,모험의 길 클리어 10회(카운트 시스템 미구현),config/grow_guide/endless.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<451;452;19;gold>,endlessTower
9,union,公會,union,Công hội,길드,加入公会，寻找志同道合的伙伴,加入公會，尋找志同道合的夥伴,Join a union and find like-minded companions,404404,"길드에 가입하고, 뜻이 맞는 친구들을 찾으세요",,union,,,,,,,,config/grow_guide/union.jpg,city/levelup/icon_gh_rk@.png,{gold = 10000;rmb = 20},<coin3>,union
10,union,公會,union,Công hội,길드,加入公会，寻找志同道合的伙伴,加入公會，尋找志同道合的夥伴,Join a union and find like-minded companions,404404,"길드에 가입하고, 뜻이 맞는 친구들을 찾으세요",2,union,55,10,捐赠公会10次,捐贈公會10次,Make donation to the union 10 times,404404,길드 공헌 10회,config/grow_guide/union.jpg,city/levelup/icon_gh_rk@.png,{gold = 10000;rmb = 20},<coin3>,union
11,Indigo Plateau Conference,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,竞争角逐，挑战最强,競爭角逐，挑戰最強,Compete to be the best trainer,404404,"치열한 경쟁, 최강에 도전하세요",,craft,,,,,,,,config/grow_guide/sydh.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin6>,craft
12,Indigo Plateau Conference,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,竞争角逐，挑战最强,競爭角逐，挑戰最強,Compete to be the best trainer,404404,"치열한 경쟁, 최강에 도전하세요",2,craft,102,5,手动报名参加5次石英大会,手動報名參加5次石英大會,Manually participate in Indigo Plataeu Conference 5 times,404404,석영 대회 수동 참가 신청 5회,config/grow_guide/sydh.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin6>,craft
13,Talent enhancement,天賦強化,Talent enhancement,404404,특성 강화,全体强化，变得更强,全體強化，變得更強,Enhancements for all and become stronger,404404,"전체 강화로, 더 강해지세요",,talent,,,,,,,,config/grow_guide/talent.jpg,city/levelup/icon_tf_rk@.png,{gold = 10000;rmb = 20},<talent_point>,talent
14,Talent enhancement,天賦強化,Talent enhancement,404404,특성 강화,全体强化，变得更强,全體強化，變得更強,Enhancements for all and become stronger,404404,"전체 강화로, 더 강해지세요",2,talent,99,50,累积使用50点天赋点,累積使用50點天賦點,Use 50 Talent points in total,404404,특성포인트 50개 누적 사용,config/grow_guide/talent.jpg,city/levelup/icon_tf_rk@.png,{gold = 10000;rmb = 20},<talent_point>,talent
15,Daily quest,日常任務,Daily quest,404404,일일 퀘스트,不积跬步，无以千里,不積跬步，無以千里,Small steps get us to faraway places,404404,천릿길도 한 걸음부터,,dailyTask,,,,,,,,config/grow_guide/task.jpg,city/levelup/icon_rw_rk@.png,{gold = 10000;rmb = 20},<role_exp;453;19>,task
