"﻿变量名",name,name_tw,name_en,name_vn,name_kr,namePng,texture,npcID,preGymID,hardDegreeID,limitAttribute,gateAward,leaderAward,crossLeaderAward,crossSubAward,fontColor,spine,posSkew,pos,leaderAwardDesc,leaderAwardDesc_tw,leaderAwardDesc_en,leaderAwardDesc_vn,leaderAwardDesc_kr,crossLeaderAwardDesc,crossLeaderAwardDesc_tw,crossLeaderAwardDesc_en,crossLeaderAwardDesc_vn,crossLeaderAwardDesc_kr,crossSubAwardDesc,crossSubAwardDesc_tw,crossSubAwardDesc_en,crossSubAwardDesc_vn,crossSubAwardDesc_kr
默认值,"""""","""""","""""","""""","""""",,,,,<>,<>,{},{},{},{},#C0x5B545B#,dao6_loop,{x=0;y=0},{x=0;y=0},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,道馆名称,道馆名称,道馆名称,道馆名称,道馆名称,馆主图片名,资源后缀,npcID,前置道馆(可空),难度ID,限定属性,通关奖励,本服荣誉馆主奖励,跨服荣誉馆主奖励,跨服荣誉馆员奖励,字体颜色,spine动画,区域偏移坐标,地图坐标,奖励描述,奖励描述,奖励描述,奖励描述,奖励描述,跨服馆主奖励描述,跨服馆主奖励描述,跨服馆主奖励描述,跨服馆主奖励描述,跨服馆主奖励描述,跨服馆员奖励描述,跨服馆员奖励描述,跨服馆员奖励描述,跨服馆员奖励描述,跨服馆员奖励描述
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Viridian Gym,常青道館,Viridian Gym,404,상록체육관,txt_cq.png,yan.png,4,,<1;2;3;4;5>,<9;13>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;452=30},{151=900;152=30;gold=1000000;452=100},{151=750;152=25;gold=500000;452=60},#C0xD2911E#,dao13_loop,{x=500;y=400},{x=1480;y=2320},Reward for Viridian Gym Leader:,常青館主獎勵：,Reward for Viridian Gym Leader:,404,"상록체육관 관장: ",Global Viridian Gym Leader rewards:,跨服常青館主獎勵：,Global Viridian Gym Leader rewards:,404,"글로벌 상록체육관 관장: ",Rewards for Global Viridian Gym members:,跨服常青館員獎勵：,Rewards for Global Viridian Gym members:,404,"글로벌 상록체육관 트레이너: "
2,Snowpoint Gym,切鋒道館,Snowpoint Gym,404,선단체육관,txt_qf.png,shui.png,8,,<11;12;13;14;15>,<3;6>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;4000=50},{151=900;152=30;gold=1000000;4000=150},{151=750;152=25;gold=500000;4000=80},#C0x078CF3#,dao8_loop,{x=500;y=380},{x=1408;y=820},Reward for Snowpoint Gym Leader:,切鋒館主獎勵：,Reward for Snowpoint Gym Leader:,404,"선단체육관 관장: ",Global Snowpoint Gym Leader rewards:,跨服切鋒館主獎勵：,Global Snowpoint Gym Leader rewards:,404,"글로벌 선단체육관 관장: ",Rewards for Global Snowpoint members:,跨服切鋒館員獎勵：,Rewards for Global Snowpoint members:,404,"글로벌 선단체육관 트레이너: "
3,Violet Gym,桔梗道館,Violet Gym,404,도라지체육관,txt_jg.png,cao.png,2,,<21;22;23;24;25>,<1;4;10>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;529=1000},{151=900;152=30;gold=1000000;529=2000},{151=750;152=25;gold=500000;529=1200},#C0x2C9C1D#,dao6_loop,{x=510;y=450},{x=2427;y=1601},Reward for Violet Gym Leader:,桔梗館主獎勵：,Reward for Violet Gym Leader:,404,"도라지체육관 관장: ",Global Violet Gym Leader rewards:,跨服桔梗館主獎勵：,Global Violet Gym Leader rewards:,404,"글로벌 도라지체육관 관장: ",Rewards for Global Violet Gym members:,跨服桔梗館員獎勵：,Rewards for Global Violet Gym members:,404,"글로벌 도라지체육관 트레이너: "
4,Cinnabar Gym,紅蓮道館,Cinnabar Gym,404,홍련체육관,txt_hl.png,huo.png,6,,<31;32;33;34;35>,<2;7>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;503=1},{151=900;152=30;gold=1000000;503=3},{151=750;152=25;gold=500000;503=2},#C0xFF4810#,dao12_loop,{x=520;y=440},{x=3111;y=2677},Reward for Cinnabar Gym Leader:,紅蓮館主獎勵：,Reward for Cinnabar Gym Leader:,404,"홍련체육관 관장: ",Global Cinnabar Gym Leader rewards:,跨服紅蓮館主獎勵：,Global Cinnabar Gym Leader rewards:,404,"글로벌 홍련체육관 관장: ",Rewards for Global Cinnabar Gym members:,跨服紅蓮館員獎勵：,Rewards for Global Cinnabar Gym members:,404,"글로벌 홍련체육관 트레이너: "
5,Opelucid Gym,雙龍道館,Opelucid Gym,404,쌍용체육관,txt_sl.png,long.png,7,1,<41;42;43;44;45>,<5;15>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;519=1},{151=1080;152=36;gold=1000000;519=3},{151=900;152=30;gold=500000;519=2},#C0x3B4FF3#,dao10_loop,{x=530;y=340},{x=3203;y=847},Reward for Opelucid Gym Leader:,雙龍館主獎勵：,Reward for Opelucid Gym Leader:,404,"쌍용체육관 관장: ",Global Opelucid Gym Leader rewards:,跨服雙龍館主獎勵：,Global Opelucid Gym Leader rewards:,404,"글로벌 쌍용체육관 관장: ",Rewards for Global Opelucid Gym members:,跨服雙龍館員獎勵：,Rewards for Global Opelucid Gym members:,404,"글로벌 쌍용체육관 트레이너: "
6,Ecruteak Gym,緣朱道館,Ecruteak Gym,404,인주체육관,txt_yz.png,e.png,5,2,<51;52;53;54;55>,<14;16>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;520=1},{151=1080;152=36;gold=1000000;520=3},{151=900;152=30;gold=500000;520=2},#C0x1F1D1D#,dao7_loop,{x=510;y=450},{x=4075;y=1696},Reward for Ecruteak Gym Leader:,緣朱館主獎勵：,Reward for Ecruteak Gym Leader:,404,"인주체육관 관장: ",Global Ecruteak Gym Leader rewards:,跨服緣朱館主獎勵：,Global Ecruteak Gym Leader rewards:,404,"글로벌 인주체육관 관장: ",Rewards for Global Ecruteak Gym members:,跨服緣朱館員獎勵：,Rewards for Global Ecruteak Gym members:,404,"글로벌 인주체육관 트레이너: "
7,Olivine Gym,淺蔥道館,Olivine Gym,404,담청체육관,txt_qc.png,du.png,1,3,<61;62;63;64;65>,<8;12;17>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;531=2},{151=1080;152=36;gold=1000000;531=4},{151=900;152=30;gold=500000;531=3},#C0x9B21BC#,dao11_loop,{x=510;y=440},{x=4650;y=2726},Reward for Olivine Gym Leader:,淺蔥館主獎勵：,Reward for Olivine Gym Leader:,404,"담청체육관 관장: ",Global Olivine Gym Leader rewards:,跨服淺蔥館主獎勵：,Global Olivine Gym Leader rewards:,404,"글로벌 담청체육관 관장: ",Rewards for Global Olivine Gym members:,跨服淺蔥館員獎勵：,Rewards for Global Olivine Gym members:,404,"글로벌 담청체육관 트레이너: "
