"﻿变量名",treeID,depth,name,name_tw,name_en,name_vn,name_kr,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,,,加成详情,加成详情,加成详情,加成详情,加成详情,city/drawcard/draw/icon_jbc1.png,1,<>,10,,10,,,0,<>,0,<>,0,<>,"""""","""""","""""","""""",""""""
ID,天赋页id,天赋深度,名称,名称,名称,名称,名称,天赋icon,icon大小修正,前置天赋id,前置天赋等级要求,消耗序列id,等级上限,效果类型(1-属性，2-技能),技能id,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,效果描述,效果描述,效果描述,效果描述,效果描述
,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,1,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj_1.png,,,,1,5,1,,7,<2%;4%;6%;8%;10%>,8,<2%;4%;6%;8%;10%>,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 공격 피해 %s 증가
102,1,2,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj1.png,,<101>,2,2,5,1,,22,<300;600;900;1200;1500>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the damage bonus by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the damage bonus by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 피해 보너스 %s 증가
103,1,2,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj2.png,,<101>,2,2,5,1,,7,<3%;6%;9%;12%;15%>,8,<3%;6%;9%;12%;15%>,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 공격 피해 %s 증가
104,1,3,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj1.png,,<102>,2,3,5,1,,14,<400;800;1200;1600;2000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Crit rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Crit rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타율 %s 증가
105,1,3,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj2.png,,<102;103>,2,3,5,1,,22,<400;800;1200;1600;2000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield will increase Ultimate Skill damage bonus by %s.",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s必殺傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield will increase Ultimate Skill damage bonus by %s.",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 필살기 피해 보너스  %s 증가
106,1,3,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj3.png,,<103>,2,3,5,1,,29,<1000;1500;2000;2500;3000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s屬性克制,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 타입 상성 피해 %s 증가
107,1,4,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj1.png,,<104>,3,4,5,1,,15,<1000;1500;2000;2500;3000>,,,,,"In the battle between non-players in in this server gym, all Pokémon on the battlefield increase their Crit damage by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊傷害,"In the battle between non-players in in this server gym, all Pokémon on the battlefield increase their Crit damage by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타 피해 %s 증가
