变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{151=5;gold=50000},{151=14;gold=50000},{151=18;gold=50000},{151=22;gold=50000},{151=26;gold=50000},{151=30;gold=50000},{151=35;gold=50000},{151=40;gold=50000}
等级,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
,,,,,,,,
0,{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000}
1,{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000}
2,{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000}
3,{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000}
4,{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000}
5,{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000}
6,{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000}
7,{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000}
8,{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000}
9,{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000}
10,{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000}
11,{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000}
12,{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000}
13,{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000}
14,{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000}
