变量名,roomID,furnId,type,res,size,attr
默认值,,,,,{},{}
ID,房间ID,家具ID,类型（0、room，1、地板，2、墙壁，3、家具，4、壁画，5角色）,资源,所占空间(格子为单位),属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity）
1,1,50001,1,home/floor1000.tmx,{x=6;y=6;width=12; height=12;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
2,2,50001,1,home/floor1001.tmx,{x=6;y=6;width=15; height=15;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
3,3,50001,1,home/floor1002.tmx,{x=6;y=6;width=18; height=18;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
4,4,50001,1,home/floor1003.tmx,{x=6;y=6;width=21; height=21;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
5,1,50002,1,home/floor1010.tmx,{x=6;y=6;width=12; height=12;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
6,2,50002,1,home/floor1011.tmx,{x=6;y=6;width=15; height=15;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
7,3,50002,1,home/floor1012.tmx,{x=6;y=6;width=18; height=18;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
8,4,50002,1,home/floor1013.tmx,{x=6;y=6;width=21; height=21;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
9,1,50003,1,home/floor1020.tmx,{x=6;y=6;width=12; height=12;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
10,2,50003,1,home/floor1021.tmx,{x=6;y=6;width=15; height=15;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
11,3,50003,1,home/floor1022.tmx,{x=6;y=6;width=18; height=18;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
12,4,50003,1,home/floor1023.tmx,{x=6;y=6;width=21; height=21;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
13,1,50004,1,home/floor1030.tmx,{x=6;y=6;width=12; height=12;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
14,2,50004,1,home/floor1031.tmx,{x=6;y=6;width=15; height=15;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
15,3,50004,1,home/floor1032.tmx,{x=6;y=6;width=18; height=18;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
16,4,50004,1,home/floor1033.tmx,{x=6;y=6;width=21; height=21;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
17,1,50005,1,home/floor1040.tmx,{x=6;y=6;width=12; height=12;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
18,2,50005,1,home/floor1041.tmx,{x=6;y=6;width=15; height=15;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
19,3,50005,1,home/floor1042.tmx,{x=6;y=6;width=18; height=18;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
20,4,50005,1,home/floor1043.tmx,{x=6;y=6;width=21; height=21;wallHeight=5},{minScale=0.4;maxScale=0.8;k=0.5;maxNum=50}
,,,,,,
1001,1,51001,2,home/wall2020.tmx,{width=12; height=5},
1002,2,51001,2,home/wall2021.tmx,{width=15; height=5},
1003,3,51001,2,home/wall2022.tmx,{width=18; height=5},
1004,4,51001,2,home/wall2023.tmx,{width=21; height=5},
1005,1,51002,2,home/wall2010.tmx,{width=12; height=5},
1006,2,51002,2,home/wall2011.tmx,{width=15; height=5},
1007,3,51002,2,home/wall2012.tmx,{width=18; height=5},
1008,4,51002,2,home/wall2013.tmx,{width=21; height=5},
1009,1,51003,2,home/wall2000.tmx,{width=12; height=5},
1010,2,51003,2,home/wall2001.tmx,{width=15; height=5},
1011,3,51003,2,home/wall2002.tmx,{width=18; height=5},
1012,4,51003,2,home/wall2003.tmx,{width=21; height=5},
1013,1,51004,2,home/wall2030.tmx,{width=12; height=5},
1014,2,51004,2,home/wall2031.tmx,{width=15; height=5},
1015,3,51004,2,home/wall2032.tmx,{width=18; height=5},
1016,4,51004,2,home/wall2033.tmx,{width=21; height=5},
1017,1,51005,2,home/wall2040.tmx,{width=12; height=5},
1018,2,51005,2,home/wall2041.tmx,{width=15; height=5},
1019,3,51005,2,home/wall2042.tmx,{width=18; height=5},
1020,4,51005,2,home/wall2043.tmx,{width=21; height=5},
