变量名,gateGroup,gateGroup_tw,gateGroup_en,gateGroup_kr,randomValue,markIDs,dropItems,date,cd
默认值,<>,<>,<>,<>,100,<>,<>,<>,0
ID,包含关卡,包含关卡,包含关卡,包含关卡,随机权值,上阵阵容的markID,增值掉落道具,日期限制（周几）,冷却天数
1,<60301;60302;60303;60304;60305;60306;60307>,<60301;60302;60303;60304;60305;60306>,<60301;60302;60303;60304;60305;60306>,<60301;60302;60303;60304;60305;60306>,100,<271;261;751;131;1241;2011>,<<20271;1;100>;<20261;1;100>;<20751;1;100>;<20131;1;100>;<21241;1;100>;<22011;1;100>>,<1;2;3;4;5;6;7>,2
2,<60321;60322;60323;60324;60325;60326;60327>,<60321;60322;60323;60324;60325;60326>,<60321;60322;60323;60324;60325;60326>,<60321;60322;60323;60324;60325;60326>,100,<1221;91;11;1421;731;2481>,<<21221;1;100>;<20091;1;100>;<20011;1;100>;<21421;1;100>;<20731;1;100>;<22481;1;100>>,<1;2;3;4;5>,2
3,<60341;60342;60343;60344;60345;60346;60347>,<60341;60342;60343;60344;60345;60346>,<60341;60342;60343;60344;60345;60346>,<60341;60342;60343;60344;60345;60346>,200,<471;391;721;1611;1291;3291>,<<20471;1;100>;<20391;1;100>;<20721;1;100>;<21611;1;100>;<21291;1;100>;<23291;1;100>>,<4;5;6;7>,2
4,<60361;60362;60363;60364;60365;60366;60367>,<60361;60362;60363;60364;60365;60366>,<60361;60362;60363;60364;60365;60366>,<60361;60362;60363;60364;60365;60366>,100,<1171;301;1;3541;21;1231>,<<21171;1;100>;<20301;1;100>;<20001;1;100>;<23541;1;100>;<20021;1;100>;<21231;1;100>>,<1;2;3;4;5;6;7>,2
5,<60381;60382;60383;60384;60385;60386;60387>,<60381;60382;60383;60384;60385;60386>,<60381;60382;60383;60384;60385;60386>,<60381;60382;60383;60384;60385;60386>,100,<631;3281;791;741;3301;691>,<<20631;1;100>;<23281;1;100>;<20791;1;100>;<20741;1;100>;<23301;1;100>;<20691;1;100>>,<5;6;7>,2
6,<60401;60402;60403;60404;60405;60406;60407>,<60401;60402;60403;60404;60405;60406>,<60401;60402;60403;60404;60405;60406>,<60401;60402;60403;60404;60405;60406>,300,<1251;591;2271;3471;601;331>,<<21251;1;100>;<20591;1;100>;<22271;1;100>;<23471;1;100>;<20601;1;100>;<20331;1;100>>,<6;7>,1
7,<60411;60412;60413;60414;60415;60416;60417>,<60411;60412;60413;60414;60415;60416>,<60411;60412;60413;60414;60415;60416>,<60411;60412;60413;60414;60415;60416>,300,<51;801;2631;1841;3351;3411>,<<20051;1;100>;<20801;1;100>;<22631;1;100>;<21841;1;100>;<23351;1;100>;<23411;1;100>>,<1;2;3;4;5;6;7>,1
8,<60421;60422;60423;60424;60425;60426;60427>,<60421;60422;60423;60424;60425;60426>,<60421;60422;60423;60424;60425;60426>,<60421;60422;60423;60424;60425;60426>,300,<461;1441;2871;1071;3141;1391>,<<20461;1;100>;<21441;1;100>;<22871;1;100>;<21071;1;100>;<23141;1;100>;<21391;1;100>>,<1;2;3;4;5;6;7>,1
9,<60431;60432;60433;60434;60435;60436;60437>,<60431;60432;60433;60434;60435;60436>,<60431;60432;60433;60434;60435;60436>,<60431;60432;60433;60434;60435;60436>,300,<481;2071;3011;3501;1501;571>,<<20481;1;100>;<22071;1;100>;<23011;1;100>;<23501;1;100>;<21501;1;100>;<20571;1;100>>,<1;2;3;4;5;6;7>,1
10,<60441;60442;60443;60444;60445;60446;60447>,<60441;60442;60443;60444;60445;60446>,<60441;60442;60443;60444;60445;60446>,<60441;60442;60443;60444;60445;60446>,200,<551;2301;3341;3431;1811;3021>,<<20551;1;100>;<22301;1;100>;<23341;1;100>;<23431;1;100>;<21811;1;100>;<23021;1;100>>,<1;2;3;4;5;6;7>,2
