变量名,name,name_tw,name_en,name_vn,name_kr,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
默认值,"""""","""""","""""","""""","""""",,TRUE,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,9999,{},{},{},{},<>,<>,0,0,1,1,0,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该物品,暫無固定獲取途徑可獲得該物品,There is no any fixed way to get this item,Không có cách cố định để có được mặt hàng này,지금은 해당 아이템을 획득할 수 있는 경로가 없다.,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
道具ID,物品名,物品名,物品名,物品名_越南,物品名_韩,_备注,是否显示给外网玩家,图标,功能描述,功能描述,功能描述,功能描述_越南,功能描述_韩,世界观描述,世界观描述,世界观描述,世界观描述_越南,世界观描述_韩,品质作者:1.灰2.绿3.蓝4.紫5.金6.红7.彩,使用跳转,类型,堆栈上限,特殊参数,特殊参数,特殊参数,特殊参数,功能按键1.获取途径2.使用3.打开4.出售,特殊页签显示作者:默认不填写则读取类型，若填写，则无视类型强制页签0-全部1-消耗品2-材料3-碎片,出售价格,是否可自动出售,排序类型,排序优先级,碎片ID(可选，现在给材料用),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_越南,前三个都没就读描述_韩,分别表示在抽卡，恭喜获得,高级重生需要钻石,有效期类型作者:0.永久有效1.绝对有效期，获取后可保持时间2.终止有效期，有效期直到…,有效日期,有效时间-有效期类型为1时填写对应数字表示分钟/秒-有效期类型为2时填写数字如1809122355,过期处理作者:1.过期清理2.过期后消失3.过期后不可使用4.过期后仅标记（用于活动物品排序,最终掉落权值，等于配置权值（包括随机和固定掉落）*该修正值,最终掉落库权值，等于配置权值（drawitemslib中）*该修正值,重复获得道具转换,是否限时掉落
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sweet Ice Water,甘甜冰水,Sweet Ice Water,Nước đá ngọt,달콤한 얼음물,,,config/item/icon_yl.png,Can be given to the Pokémon as food to increase 100 EXP,可以給精靈食用，增加100點經驗,Can be given to the Pokémon as food to increase 100 EXP,Có thể bị yêu tinh ăn thịt  thêm 100 điểm kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 100포인트가 증가한다,食用可以增加少量经验值,食用可以增加少量經驗值,Eat to increase a small amount of EXP,Ăn có thể tăng một lượng nhỏ điểm kinh nghiệm,사용 시 경험치가 소량 증가한다.,2," strengthen-attribute",1,99999,{exp=100;buy_rmb=1;buy_level=5},{exp=100;buy_rmb=1;buy_level=5},{exp=100;buy_rmb=1;buy_level=5},{exp=100;buy_rmb=1;buy_level=5},<1;2>,<1>,,,17,1,,10000,20000,activityGate-exp,,,,,,,,,,,0.0022,,,,,,,,
12,Soda Pop,勁爽汽水,Soda Pop,Nước giải khát,미네랄사이다,,,config/item/icon_yl1.png,Can be given to the Pokémon as food to increase 300 EXP,可以給精靈食用，增加300點經驗,Can be given to the Pokémon as food to increase 300 EXP,Có thể bị yêu tinh ăn thịt  thêm 300 điểm kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 300포인트가 증가한다,食用可以增加少量经验值,食用可以增加少量經驗值,Eat to increase a small amount of EXP,Ăn có thể tăng một lượng nhỏ điểm kinh nghiệm,사용 시 경험치가 소량 증가한다.,2," strengthen-attribute",1,99999,{exp=300;buy_rmb=2;buy_level=20},{exp=300;buy_rmb=2;buy_level=20},{exp=300;buy_rmb=2;buy_level=20},{exp=300;buy_rmb=2;buy_level=20},<1;2>,<1>,,,17,2,,10000,20000,activityGate-exp,,,,,,,,,,,0.0067,,,,,,,,
13,Fresh Water,美味之水,Fresh Water,Nước ngon,맛있는 물,,,config/item/icon_yl2.png,Can be given to the Pokémon as food to increase 1000 EXP,可以給精靈食用，增加1000點經驗,Can be given to the Pokémon as food to increase 1000 EXP,Có thể bị yêu tinh ăn thịt  thêm 1000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 1000포인트가 증가한다,食用可以增加中量经验值,食用可以增加中量經驗值,Eat to increase decent amount of EXP,Ăn uống có thể tăng một lượng kinh nghiệm vừa phải,사용 시 경험치가 일정량 증가한다.,3," strengthen-attribute",1,99999,{exp=1000;buy_rmb=3;buy_level=35},{exp=1000;buy_rmb=3;buy_level=35},{exp=1000;buy_rmb=3;buy_level=35},{exp=1000;buy_rmb=3;buy_level=35},<1;2>,<1>,,,17,3,,10000,20000,activityGate-exp,,,,,,,,,,,0.0222,,,,,,,,
14,Moomoo Milk,哞哞鮮奶,Moomoo Milk,Sữa tươi Moo Moo,맛있는우유,,,config/item/icon_yl3.png,Can be given to the Pokémon as food to increase 3000 EXP,可以給精靈食用，增加3000點經驗,Can be given to the Pokémon as food to increase 3000 EXP,Có thể bị yêu tinh ăn thịt  thêm 3000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 3000포인트가 증가한다,食用可以增加大量经验值,食用可以增加大量經驗值,Eat to increase a huge amount of EXP,Ăn uống có thể tăng rất nhiều điểm kinh nghiệm,사용 시 경험치가 대량으로 증가한다.,3," strengthen-attribute",1,99999,{exp=3000;buy_rmb=6;buy_level=50},{exp=3000;buy_rmb=6;buy_level=50},{exp=3000;buy_rmb=6;buy_level=50},{exp=3000;buy_rmb=6;buy_level=50},<1;2>,<1>,,,17,4,,10000,20000,activityGate-exp,,,,,,,,,,,0.0667,,,,,,,,
15,Lemonade,果汁牛奶,Lemonade,Nước ép sữa,후루츠밀크,,,config/item/icon_yl4.png,Can be given to the Pokémon as food to increase 10000 EXP,可以給精靈食用，增加10000點經驗,Can be given to the Pokémon as food to increase 10000 EXP,Có thể bị yêu tinh ăn thịt  tăng thêm 10.000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 10000포인트가 증가한다,食用可以增加巨量经验值,食用可以增加巨量經驗值,Eat to increase an immense amount of EXP,Ăn uống có thể tăng một lượng lớn điểm kinh nghiệm,사용 시 경험치가 초대량 증가한다.,4," strengthen-attribute",1,49999,{exp=10000;buy_rmb=15;buy_level=60},{exp=10000;buy_rmb=15;buy_level=60},{exp=10000;buy_rmb=15;buy_level=60},{exp=10000;buy_rmb=15;buy_level=60},<1;2>,<1>,,,17,5,,10000,20000,activityGate-exp,,,,,,,,,,,0.2222,,,,,,,,
16,Berry Juice,樹果汁,Berry Juice,Nước ép cây,나무열매쥬스,,,config/item/icon_yz.png,Can be given to the Pokémon as food to increase 30000 EXP,可以給精靈食用，增加30000點經驗,Can be given to the Pokémon as food to increase 30000 EXP,Có thể bị yêu tinh ăn thịt  thêm 30.000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 30000포인트가 증가한다,食用可以增加超量经验值,食用可以增加超量經驗值,Consume it to increase an immense amount of EXP,Ăn uống có thể làm tăng điểm kinh nghiệm,사용 시 막대한 양의 경험치가 증가한다.,5," strengthen-attribute",1,29999,{exp=30000;buy_rmb=40;buy_level=70},{exp=30000;buy_rmb=40;buy_level=70},{exp=30000;buy_rmb=40;buy_level=70},{exp=30000;buy_rmb=40;buy_level=70},<1;2>,<1>,,,17,6,,10000,20000,activityGate-exp,,,,,,,,,,,0.6667,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
