变量名,gateID,extraVersion,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight,weightMin_tw,weightMax_tw,firstWeight_tw
默认值,,,,5000,1,0,0,-1,0,0,-1
ID,关卡ID,额外配置的版本（yyhuodong用）,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值,权值上限,权值下限,首次权值
,,,,,,,,,,,
8000,10101,1,(Drop item 1 will additionally drop a blue shopping coupon) (On the Journey 1-1) (Normal level),6301,1,0.35,0.55,0,0.35,0.55,0
8001,10102,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( On the Journey 1-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8002,10103,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Start the Journey 1-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8003,10104,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( On the Journey 1-4) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8004,10105,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Start the Journey 1-5) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8005,10201,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-1) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8006,10202,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8007,10203,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8008,10204,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-4) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8009,10205,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-5) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8010,10206,1,( Drop item 1 additionally drops blue shopping coupon ) ( Crisis Overture 2-6) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8011,10301,1,( Drop item 1 will additionally drop blue shopping coupons ) ( Overcoming Thorns 3-1) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8012,10302,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Thunderstorm 3-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8013,10303,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Thunderstorm 3-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8014,10304,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Thunderstorm 3-4) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8015,10305,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Break through thorns 3-5) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8016,10306,1,( Drop item 1 will additionally drop blue shopping coupons ) ( Overcoming Thorns 3-6) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8017,10307,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Thunderstorm 3-7) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8018,10308,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Thunderstorm 3-8) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8019,10401,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-1) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8020,10402,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8021,10403,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8022,10404,1,( Drop item 1 additionally drops blue shopping coupon ) ( Indomitable 4-4) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8023,10405,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-5) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8024,10406,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-6) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8025,10407,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-7) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8026,10408,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Indomitable 4-8) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8027,10501,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-1) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8028,10502,1,( Drop item 1 additionally drops blue shopping coupon ) ( Turn 5-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8029,10503,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8030,10504,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-4) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8031,10505,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-5) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8032,10506,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-6) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8033,10507,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-7) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8034,10508,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-8) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8035,10509,1,( Drop item 1 additionally drops blue shopping coupon ) ( Turn 5-9) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8036,10510,1,( Drop item 1 will additionally drop a blue shopping coupon ) ( Turn 5-10) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8037,10601,1,( Drop item 1 additionally drops blue shopping coupon ) ( Longtan Tiger Cave 6-1) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8038,10602,1,( Drop item 1 additionally drops blue shopping coupon ) ( Longtan Tiger Cave 6-2) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
8039,10603,1,( Drop item 1 additionally drops blue shopping coupon ) ( Longtan Tiger Cave 6-3) ( Normal level ),6301,1,0.35,0.55,0,0.35,0.55,0
