"﻿变量名",_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,subject,subject_tw,subject_en,subject_vn,subject_kr,content,content_tw,content_en,content_vn,content_kr,attachs,special
默认值,,2,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},FALSE
ID,邮件功能（备注）,邮件类型1.通知2.系统,邮件图标,发件人名称,发件人名称,发件人名称,发件人名称_越南,发件人名称_韩,标题,标题,标题,标题_越南,标题_韩,内容,内容,内容,内容_越南,内容_韩,附件,是否特殊邮件
1,system mail,1,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,System Mail,系統郵件,System Mail,Hệ thống bưu kiện,시스템 우편,,,,,,,
2,GM mail,2,,Daluoluo,大羅羅,Daluoluo,Lớn Lala,로로,Game Developer mail,GM郵件,Game Developer mail,GM Bưu kiện,GM 우편,,,,,,,
3,Arena reward email,2,,Arena Staff,競技場管理員,Arena Staff,Sân thi đấu nhân viên quản lý,아레나 관리자,Rank Rewards,競技場結算獎勵,Rank Rewards,404404,아레나 결산 보상,"Dear trainer: \n    Your performance in the ranked matches was amazing! As of 21:00, you achieved rank No. %d. Rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在競技場中的表現精彩絕倫，截止到今天21:00，您的名次是%d，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    Your performance in the ranked matches was amazing! As of 21:00, you achieved rank No. %d. Rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",404404,"""트레이너님: \n   아레나에서 멋진 활약을 펼치셨군요. 오늘 21:00까지 %d위를 달성하였으며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
4,Archaeological Mine Settlement Mail,2,,Abandoned,廢棄,Abandoned,404404,폐기,The mine has run out of resources!,礦洞采幹了！,The mine has run out of resources!,404404,광산 고갈!,"Dear trainers:\n    Your mine has been looted empty! The %s production reward has sent via mail, please check.\n    Happy gaming!",親愛的小夥伴:\n    您的礦洞已經被采幹了，%s產出獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Your mine has been looted empty! The %s production reward has sent via mail, please check.\n    Happy gaming!",404404,트레이너님: \n   광물이 고갈되었습니다. %s 생산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
5,The archaeological mine was robbed and the settlement email,2,,Abandoned,廢棄,Abandoned,404404,폐기,Your mine has been looted!,礦洞被搶了！,Your mine has been looted!,404404,광산 약탈!,Dear trainers:\n    Your mine has been occupied by %s! The %s production reward has been sent via mail.\n    Better luck next time!,親愛的小夥伴:\n    您的礦洞已經被%s搶佔了，%s產出獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Your mine has been occupied by %s! The %s production reward has been sent via mail.\n    Better luck next time!,404404,트레이너님: \n   광물이 이미 %s 님에 의해 점령되었습니다. %s 생산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
6,Endless Tower Settlement Rewards,2,,Endless Tower Guardian,無盡之塔守護者,Endless Tower Guardian,404404,무한의 탑 수호자,Endless Tower Rewards,無盡之塔結算獎勵,Endless Tower Rewards,404404,무한의 탑 결산 보상,Dear trainer:\n Yo'veu displayed an excellent performance in the ranked match and achieved rank %d in Endless Tower today. Please check and claim the rewards that have been sent via mail.\n Happy gaming!,親愛的小夥伴:\n    您的表現精彩絕倫，今天在無盡之塔的名次是%d，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainer:\n Yo'veu displayed an excellent performance in the ranked match and achieved rank %d in Endless Tower today. Please check and claim the rewards that have been sent via mail.\n Happy gaming!,404404,"""트레이너님: \n   멋진 활약을 펼치셨군요. 오늘 무한의 탑 순위는 %d위이며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
7,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{rmb=3000;gold=100000;vip=5},
8,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{rmb=3000;gold=100000;vip=3},
