变量名,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_tw,storyNames_en,weatherTypeId
默认值,,,,<>,,FALSE,,,,1,1,1,1,1,1,stage/mgcb.csv,<>,<>,<>,<>,<>,<>,
ID,对应scene_conf里的关卡id,关卡名字,当前波次,怪物id,boss标志位<0;1;0;0;0;0>,是否显示BOSS标志位上的简介,站位微调<0;{x=10;y=20};0;0;0;0>,boss血条数,复活序列,整体hp修正,速度修正,整体物攻修正,整体特攻修正,整体防御力修正,整体特防修正,背景配置 ,剧情ID配置<round; storyId; heroId>,获胜剧情,失败剧情,剧情角色名,劇情角色名,剧情角色名,场景默认天气ID
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,<<0;5001>;<1;5101>;<1;5501;5>;<1;5601;1>;<1;5701;2>;<1;5801;8>;<1;5801;9>;<99;5201>>,,,,,,
9999999,0,battle,1,<>,,,,,,,,,,,,stage/xszd.csv,,,,,,,
10000000,1,newbie,1,<>,,,,,,,0.5,,,,,stage/xszd.csv,<<0;101>;<1;111>;<2;121;1>;<2;131;3>;<2;141;9>;<2;151;7>;<2;161;2>;<2;171;12>;<2;181;4>;<2;191;8>;<2;201;11>;<2;211;5>;<3;301>>,,,,,,
10000001,2,pvp,1,<>,,,,,,,,,,,,stage/smxy.csv,,,,,,,
10000002,13,unionFight,1,<>,,,,,,,,,,,,stage/ghz.csv,,,,,,,
10000003,9,firendFight,1,<>,,,,,,,,,,,,stage/smxy.csv,,,,,,,
10000004,10,craft,1,<>,,,,,,,,,,,,stage/sydh.csv,,,,,,,
10000005,11,random,1,<>,,,,,,0.86,0.43,0.86,0.86,0.88,0.88,stage/ytly.csv,,,,,,,
10000006,12,clone,1,<>,,,,,,,0.75,,,,,stage/ystz.csv,,,,,,,
10000007,999999,test,1,<>,,,,,,,,,,,,stage/xszd.csv,,,,,,,
10000008,14,cross_craft,1,<>,,,,,,,,,,,,stage/sydh.csv,,,,,,,
10000009,17,cross_pvp,1,<>,,,,,,,,,,,,stage/kfjjc.csv,,,,,,,
