变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
默认值,,,,,,1,0,,0,0,,,FALSE,0,,,1,1,,,,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""",,,<>,,,0,,,FALSE,,,,,
ID,_备注id,_注释（这里只是界面引导，战斗内引导另外配置）,所属阶段(-1:完成新手战斗，-2:主城点15下跳过引导),名称(特殊非正常引导触发),打开该场景/界面时触发，默认主城触发（all为对应战斗胜利，升级，主城等界面触发）,起始等级,触发关卡,补充条件（公式可扩展）,排序（多个stage满足，小的越先触发）,服务器交互(1、记录引导；3、进关卡记录引导，战斗返回继续引导),默默塞奖励,默默塞和初始选择卡牌相关的奖励,客户端显示奖励,1主城2关卡界面(每条引导最后触发),跳转步骤（该stage的最后一条配置生效）,出来延时,表现样式（1、引导员，2剧情对话，3、空白）,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段> id 0 为主角形象（样式2）,unitID（样式2）,对话角色额外偏移位置（样式2）,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,要点击的控件名称（样式1）,跳到目标节点（需要程序逻辑增加）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,强制上阵,任意位置取消（样式1）,明亮的地方（样式1）,选项文本1（样式1）,对应功能（样式1）,选项文本2（样式1）,对应功能（样式1）
,,demo,0,,city.view,,10101,,,1,{gold=10},{1={gold=5};11={gold=6};21={gold=7},,10102,11,0.5,,,<3;resAct>,1,{x=0;y=0},config/big_role/act/img_role_3@.png,{x=0;y=0},Dr.XXX,XXXX博士,Dr.XXX,XXXX 박사,Hello there,你好,Hello there,,반갑구나!,,,<panel; icon; arena>,,effect/shouyindao.skel,90,{x=0;y=0},{3=91},TRUE,{width=6240;height=2880;dx=0;dy=0},否,,是,arena
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,name image,1,nameAndFigure,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Choose an initial card,2,chooseCard,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Name Image - Foreword,3,nameAndFigureBefore,,,,not finish(1),1,,,,,,,,2,2,<32>,,,,,,,,,"Hello, new trainer, welcome to this magical world.",你好啊，新來的訓練家，歡迎來到這個神奇的世界。,"Hello, new trainer, welcome to this magical world.",,"""신참 트레이너, 포켓몬의 세계에 온 것을 환영한다!""",,,,,,,,,,,,,,
12,12,Name Image - Foreword,3,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,People here like to call me Professor Oak. I'll be guiding you into this magical world.,這裡的人們喜歡叫我大木博士，我負責指引你進入這個神奇的世界。,People here like to call me Professor Oak. I'll be guiding you into this magical world.,,이곳 사람들은 날 오박사라고 부르지. 난 너를 이 신비한 세계로 안내하는 일을 맡을 거란다.,,,,,,,,,,,,,,
13,13,Name Image - Foreword,3,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"By the way, please tell me your name. I still don't know your name yet, since you've just arrived. ",對了，你剛來，我還不知道你叫啥呢，告訴我下你的名字吧。,"By the way, please tell me your name. I still don't know your name yet, since you've just arrived. ",,"""참, 그러고 보니 아직 네 이름도 듣지 못했구나.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Choose the initial card - Preface,4,chooseCardBefore,,,,finish(1) and not finish(2),2,,,,,,,,2,2,<32>,,,,,,,,,"Sounds like a good name, I seem to be able to see your future as a Pokémon master!",聽起來是個不錯的名字呢，我在你身上仿佛看到了你成為神奇寶貝大師的未來呢。,"Sounds like a good name, I seem to be able to see your future as a Pokémon master!",,좋은 이름이로구나. 왠지 네가 장차 포켓몬 마스터가 될 수 있을 것 같다는 느낌이 드는걸.,,,,,,,,,,,,,,
22,22,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,I'll keep trying my best!,我會一直努力的！,I'll keep trying my best!,,최선을 다할게요!,,,,,,,,,,,,,,
23,23,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Well, well, well. I hope you can become a master of the generation through fighting and catching Pokémons.",嗯，很好，很好，希望你能夠通過對戰、收服，成為一代大師呢。,"Well, well, well. I hope you can become a master of the generation through fighting and catching Pokémons.",,"""그래, 아주 좋아. 부디 다양한 대결과 포획을 통해 뛰어난 트레이너가 될 수 있길 바란다.""",,,,,,,,,,,,,,
24,24,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"But, since we are going on a journey, I'll have to give you a new companion first, otherwise nothing can be started.",不過，既然要踏上旅途，我得先給你一個新的夥伴，不然什麼都沒法開始啊。,"But, since we are going on a journey, I'll have to give you a new companion first, otherwise nothing can be started.",,하지만 여정에 오르기 위해서는 새로운 동료가 필요하지. 그렇지 않으면 아무것도 시작할 수 없을 거야.,,,,,,,,,,,,,,
25,25,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,Which is the Pokémon of your choice?,你有心儀的精靈麼？,Which is the Pokémon of your choice?,,마음에 드는 포켓몬이 있니?,,,,,,,,,,,,,,
26,26,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,I'm not too sure of that...,不太清楚呢,I'm not too sure of that...,,잘 모르겠어요,,,,,,,,,,,,,,
27,27,Choose the initial card - Preface,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Well, since you don't have any idea yet, come here and take a closer look at them. Choose carefully, as there is no turning back.",嘛，既然還沒想法，那就這邊來，仔細看看他們，你一定要認真選擇哦，這兒可沒後悔藥。,"Well, since you don't have any idea yet, come here and take a closer look at them. Choose carefully, as there is no turning back.",,"""뭐, 그럼 이쪽으로 와서 자세히 살펴 보거라. 신중하게 선택하는 게 좋아. 다시 바꿀 수 없으니 말이야.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test after selection,,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Alright, enjoy your new adventure!",那麼，請盡情開始冒險吧,"Alright, enjoy your new adventure!",,그럼 모험을 시작하거라.,,,,,,,,,,,,,,
,,Test after selection,,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,I'm looking to see you becoming the next Pokémon Master!,我期待你能成為新的神奇寶貝大師哦,I'm looking to see you becoming the next Pokémon Master!,,네가 새로운 포켓몬 마스터가 되는 날을 기대하고 있으마.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,Initial Card Presentation - Doctor Dialogue,10,,city.view,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Wait, I forgot to tell you something.",等等，還有個事情忘記交代給你了,"Wait, I forgot to tell you something.",,"""아, 잠깐, 중요한 일을 하나 잊었구나.""",,,,,,,,,,,,,,
102,102,Initial Card Presentation - Doctor Dialogue,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"I have another Pokémon for you. although he can be a little feisty at times, I believe he will also grow into a good companion in your adventure.",這還有一隻精靈要交給你，雖然他偶爾脾氣有點暴躁，但是我相信他也會成長為你冒險旅途中的好夥伴,"I have another Pokémon for you. although he can be a little feisty at times, I believe he will also grow into a good companion in your adventure.",,"""이 포켓몬도 네게 부탁하마. 가끔 성격이 거칠어지긴 하지만, 네 좋은 동료가 되어줄 거라고 믿는다.""",,,,,,,,,,,,,,
103,103,Initial card gift - get Pikachu,10,,,,,,,1,{card={id=92;character=5;nvalue={hp=12;speed=12;damage=12;defence=12;specialDamage=12;specialDefence=12}}},,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,Initial Card Presentation - Pikachu Dialogue,10,,,,,,,,,,,,,,2,2,,92,,,,,,,,Pika! Pika!,皮卡！皮卡！,Pika! Pika!,,피카! 피카!,,,,,,,,,,,,,,
105,105,Initial Card Presentation - Let's Talk,10,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,"Pikachu, let's fight together!",皮卡丘，那就讓我們一起並肩作戰吧！,"Pikachu, let's fight together!",,"""피카츄, 그럼 이제 함께 힘을 합쳐 싸우자!""",,,,,,,,,,,,,,
106,106,Initial Card Presentation - Doctor Dialogue,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Next, let's familiarize and understand this magical Pokémon World with the Rotom Pokédex.",接下來，就讓圖鑒洛托姆來幫助你熟悉和瞭解這個神奇的精靈世界吧,"Next, let's familiarize and understand this magical Pokémon World with the Rotom Pokédex.",,이제부터 로토무 도감이 널 도와서 이 신비한 포켓몬의 세계를 안내해줄 거다.,,,,,,,,,,,,,,
,,Initial Card Presentation - Doctor Dialogue,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,The first battle - the arrival of the main city,11,,city.view,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Hello, I'm Rotom Pokédex.",你好啊，我叫圖鑒洛托姆,"Hello, I'm Rotom Pokédex.",,안녕! 나는 로토무 도감이다 로토!,,,,,,,,,,,,,,
112,112,The first battle - the arrival of the main city,11,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Next, let's begin your adventure.",接下來，我將帶你開始冒險,"Next, let's begin your adventure.",,이제 내가 널 데리고 모험을 시작할 거야.,,,,,,,,,,,,,,
