"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,openLv,noticeLv,type,goToPanel
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,""""""
ID,功能/特权名称,功能/特权名称,功能/特权名称,功能/特权名称_越南,功能/特权名称_韩,功能展示logo,相关简单说明,相关简单说明,相关简单说明,相关简单说明_越南,相关简单说明_韩,开启等级,开始提醒等级,提示的优先级 1.基础功能、布阵、公会、聊天等 2.活动功能、竞技场、王者等活动 3.附属功能、如同XX特权、XX星座什么的,特殊跳转
1,Draw a card,抽卡,Draw a card,Rút thẻ,뽑기,city/levelup/icon_nd_rk@.png,Draw powerful Pokémons to enhance your strength,抽取強力精靈，提升實力,Draw powerful Pokémons to enhance your strength,404404,강력한 포켓몬을 획득해 실력을 높이세요.,2,1,1,
2,Adjust line-up,佈陣,Adjust line-up,404404,라인업,city/levelup/icon_bd_rk@.png,Send out Pokémons and adjust the formation,上陣精靈，調整站位,Send out Pokémons and adjust the formation,404404,포켓몬을 출전시켜 라인업을 구성하세요.,2,1,1,
3,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,city/levelup/icon_yc_rk@.png,"Upgrade Pokémons to boost the Pokémon's energy and combat power ",精靈進階，提升精力戰鬥力,"Upgrade Pokémons to boost the Pokémon's energy and combat power ",404404,포켓몬을 진화시켜 전투력을 높이세요.,3,2,1,
4,Upgrade move,技能升級,Upgrade move,404404,기술 레벨업,city/levelup/icon_yc_rk@.png,Level up move to enhance its power,技能升級，提升技能威力,Level up move to enhance its power,404404,기술을 레벨업해 기술 위력을 높이세요.,3,2,1,
5,Pokémon upgrade,精靈升級,Pokémon upgrade,404404,포켓몬 레벨업,city/levelup/icon_yc_rk@.png,Quick upgrade in Pokémon level,快速提升精靈等級,Quick upgrade in Pokémon level,404404,포켓몬의 레벨을 빠르게 높일 수 있어요.,4,3,1,
6,Shop,商店,Shop,Cửa hàng,상점,city/levelup/icon_sd_rk.png,"Shop is now open, you may now purchase various items",商店開啟，可以購買各種道具,"Shop is now open, you may now purchase various items",404404,상점에서 각종 아이템을 구매할 수 있어요.,9,3,1,
7,Pokédex,圖鑒,Pokédex,Đồ giám,도감,city/levelup/icon_tj_rk@.png,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,포켓몬을 수집하고 도감을 개방해 더욱 강한 트레이너가 되세요.,10,3,1,
8,Held Items,攜帶道具,Held Items,Mang theo đạo cụ,휴대 아이템,city/levelup/icon_yc_rk@.png,"Held Item, it gives additional effects",攜帶道具，獲得額外效果,"Held Item, it gives additional effects",404404,휴대 아이템으로 추가 효과를 획득하세요.,11,4,1,
