变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,libs
默认值,"""""","""""",2,0,0,0,0,0,{}
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,随机库
,default,,4,1,,,,,{1=10;2=10;3=10;4=10}
,default,,1,24,0.2,0.3,,21,{1=10;2=10;3=10;4=10}
,default,,1,6,0.2,0.3,5,1,{1=10;2=10;3=10;4=10}
,,,,,,,,,
,default,每10次高概率,1,0,0.05,0.15,,1,{4=10}
,default,每5次中概率,1,0,0.15,0.25,,1,{2=10;3=10}
,default,固定初始,0,0,,,,,{1=10}
,,,,,,,,,
1,default,,0,1,,,,,{1=10}
2,default,,0,11,,,,,{2=10}
3,default,,0,31,,,,,{3=10}
4,default,,0,51,,,,,{4=10}
5,default,,0,81,,,,,{5=10}
